pmid,eligibility_reason,affected,unaffected,female_affected,female_unaffected
10788334,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
11139248,unresolved_source_sex_germline_or_breast_endpoint,5.0,4.0,0.0,0.0
11879560,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
12204006,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
12442275,unresolved_source_sex_germline_or_breast_endpoint,8.0,1.0,0.0,0.0
12552570,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
12655567,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
14517958,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
14722926,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
14746861,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
15024741,unresolved_source_sex_germline_or_breast_endpoint,15.0,0.0,0.0,0.0
15766593,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
15858120,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
15955690,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
16168118,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
16389418,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
16455195,unresolved_source_sex_germline_or_breast_endpoint,16.0,0.0,0.0,0.0
16644204,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
16672066,unresolved_source_sex_germline_or_breast_endpoint,1332.0,1225.0,0.0,0.0
16764716,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
16825431,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
16949048,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
17011978,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
17018160,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
17100994,five_confirmed_female_controls_case_sex_unresolved,26.0,5.0,0.0,5.0
17100994,unresolved_source_sex_germline_or_breast_endpoint,0.0,0.0,0.0,0.0
17224268,unresolved_source_sex_germline_or_breast_endpoint,3.0,1.0,0.0,0.0
17257844,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
17972177,unresolved_source_sex_germline_or_breast_endpoint,4.0,1.0,0.0,0.0
18431501,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
18597679,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
18694767,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
18819001,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
19267246,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
19393826,unresolved_source_sex_germline_or_breast_endpoint,1.0,1.0,0.0,0.0
19476645,unresolved_source_sex_germline_or_breast_endpoint,20.0,9.0,0.0,0.0
19649703,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
19656415,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
19851859,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
20104584,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
