gene,variant_type,affected,unaffected,prior_mean,prior_strength,posterior_mean,example_only_not_added_to_fit
HNF1A,missense,0,0,0.10367699098603383,2.2499673176131747,0.10367699098603383,True
HNF1A,missense,0,1,0.10367699098603383,2.2499673176131747,0.07177605757536318,True
HNF1A,missense,0,2,0.10367699098603383,2.2499673176131747,0.05488744356699161,True
HNF1A,missense,0,5,0.10367699098603383,2.2499673176131747,0.03217529556862177,True
HNF1A,missense,0,10,0.10367699098603383,2.2499673176131747,0.019042486829467145,True
HNF1A,missense,0,100,0.10367699098603383,2.2499673176131747,0.002281368370343427,True
HNF1A,missense,1,0,0.10367699098603383,2.2499673176131747,0.37947145948925537,True
HNF1A,missense,1,1,0.10367699098603383,2.2499673176131747,0.2901833706334638,True
HNF1A,nonsense,0,0,0.4664532153231939,6.396540104089577,0.4664532153231939,True
HNF1A,nonsense,0,1,0.4664532153231939,6.396540104089577,0.4033895113806857,True
HNF1A,nonsense,0,2,0.4664532153231939,6.396540104089577,0.3553471622249646,True
HNF1A,nonsense,0,5,0.4664532153231939,6.396540104089577,0.2618063615136723,True
HNF1A,nonsense,0,10,0.4664532153231939,6.396540104089577,0.1819705059454682,True
HNF1A,nonsense,0,100,0.4664532153231939,6.396540104089577,0.02804308011874585,True
HNF1A,nonsense,1,0,0.4664532153231939,6.396540104089577,0.538587858976624,True
HNF1A,nonsense,1,1,0.4664532153231939,6.396540104089577,0.47444383628395526,True
GCK,missense,0,0,0.37041792226820786,2.918755445884497,0.37041792226820786,True
GCK,missense,0,1,0.37041792226820786,2.918755445884497,0.2758935439589609,True
GCK,missense,0,2,0.37041792226820786,2.918755445884497,0.21980343193889698,True
GCK,missense,0,5,0.37041792226820786,2.918755445884497,0.13653147079260386,True
GCK,missense,0,10,0.37041792226820786,2.918755445884497,0.0836891241112529,True
GCK,missense,0,100,0.37041792226820786,2.918755445884497,0.01050497864251802,True
GCK,missense,1,0,0.37041792226820786,2.918755445884497,0.5310766024093694,True
GCK,missense,1,1,0.37041792226820786,2.918755445884497,0.4231068917270221,True
GCK,nonsense,0,0,0.7059030877040944,5.15191451083596,0.7059030877040944,True
GCK,nonsense,0,1,0.7059030877040944,5.15191451083596,0.5911578183313293,True
GCK,nonsense,0,2,0.7059030877040944,5.15191451083596,0.5085005358042999,True
GCK,nonsense,0,5,0.7059030877040944,5.15191451083596,0.35823315463352584,True
GCK,nonsense,0,10,0.7059030877040944,5.15191451083596,0.24001932945079602,True
GCK,nonsense,0,100,0.7059030877040944,5.15191451083596,0.03458569801324791,True
GCK,nonsense,1,0,0.7059030877040944,5.15191451083596,0.7537088417954239,True
GCK,nonsense,1,1,0.7059030877040944,5.15191451083596,0.6483232362133843,True
LDLR,missense,0,0,0.15377610786006457,2.634120000898839,0.15377610786006457,True
LDLR,missense,0,1,0.15377610786006457,2.634120000898839,0.1114615701392324,True
LDLR,missense,0,2,0.15377610786006457,2.634120000898839,0.08740919986880065,True
LDLR,missense,0,5,0.15377610786006457,2.634120000898839,0.053059779166017965,True
LDLR,missense,0,10,0.15377610786006457,2.634120000898839,0.03206117413367575,True
LDLR,missense,0,100,0.15377610786006457,2.634120000898839,0.00394668674872475,True
LDLR,missense,1,0,0.15377610786006457,2.634120000898839,0.386631349825282,True
LDLR,missense,1,1,0.15377610786006457,2.634120000898839,0.3031999001109262,True
LDLR,nonsense,0,0,0.5665540134584413,3.6551914208898664,0.5665540134584413,True
LDLR,nonsense,0,1,0.5665540134584413,3.6551914208898664,0.44485031489170407,True
LDLR,nonsense,0,2,0.5665540134584413,3.6551914208898664,0.3661880235944618,True
LDLR,nonsense,0,5,0.5665540134584413,3.6551914208898664,0.23926257303401205,True
LDLR,nonsense,0,10,0.5665540134584413,3.6551914208898664,0.1516539245503352,True
LDLR,nonsense,0,100,0.5665540134584413,3.6551914208898664,0.01997838546315849,True
LDLR,nonsense,1,0,0.5665540134584413,3.6551914208898664,0.6596642526199284,True
LDLR,nonsense,1,1,0.5665540134584413,3.6551914208898664,0.5430166975640242,True
BRCA2,missense,0,0,0.1485981658574783,6.106774427938625,0.1485981658574783,True
BRCA2,missense,0,1,0.1485981658574783,6.106774427938625,0.12768879728749818,True
