gene,vclass,canonical_wt_status,units,affected,unaffected
BRCA2,frameshift,match,1553,2483.0,2223.0
BRCA2,frameshift,not_applicable,1,0.0,1.0
BRCA2,indel_cdna,match,9,34.0,8.0
BRCA2,indel_cdna,unavailable,142,178.0,7.0
BRCA2,inframe,match,131,0.0,1314.0
BRCA2,inframe_indel,match,85,122.0,4143.0
BRCA2,missense,match,6656,5056.0,1518256.0
BRCA2,noncoding,not_applicable,2157,0.0,2318181.0
BRCA2,nonsense,match,519,1368.0,13837.0
BRCA2,other_coding,match,1,0.0,1.0
BRCA2,other_transcript,not_applicable,272,0.0,36761.0
BRCA2,region_only_unannotated,unavailable,15814,0.0,9088070.0
BRCA2,splice,match,17,7.0,329.0
BRCA2,splice,not_applicable,182,109.0,116360.0
BRCA2,splice,unavailable,88,170.0,8.0
BRCA2,start_loss,match,2,0.0,2.0
BRCA2,stop_gained,match,58,2.0,157.0
BRCA2,substitution_cdna,match,3,6.0,0.0
BRCA2,substitution_cdna,unavailable,18,21.0,1.0
BRCA2,synonymous,match,1424,413.0,2780045.0
GCK,frameshift,match,39,36.0,25.0
GCK,indel_cdna,unavailable,6,6.0,0.0
GCK,inframe,match,7,0.0,22.0
GCK,inframe_indel,match,18,54.0,3.0
GCK,missense,match,634,670.0,4441.0
GCK,noncoding,not_applicable,1005,0.0,800465.0
GCK,nonsense,match,26,62.0,20.0
GCK,other_transcript,not_applicable,412,0.0,178626.0
GCK,region_only_unannotated,unavailable,12002,0.0,7618871.0
GCK,splice,match,8,0.0,16.0
GCK,splice,not_applicable,86,21.0,307795.0
GCK,splice,unavailable,19,24.0,2.0
GCK,start_loss,match,2,0.0,2.0
GCK,stop_gained,match,7,0.0,9.0
GCK,substitution_cdna,unavailable,10,16.0,0.0
GCK,synonymous,match,272,9.0,21703.0
HNF1A,frameshift,match,56,127.0,155.0
HNF1A,indel_cdna,unavailable,3,3.0,0.0
HNF1A,inframe,match,12,0.0,141.0
HNF1A,inframe_indel,match,6,14.0,0.0
HNF1A,missense,match,785,526.0,1721346.0
HNF1A,noncoding,not_applicable,971,0.0,2845739.0
HNF1A,nonsense,match,21,41.0,18.0
HNF1A,other_transcript,not_applicable,183,0.0,318443.0
HNF1A,region_only_unannotated,unavailable,5546,0.0,7013411.0
HNF1A,splice,match,12,0.0,362.0
HNF1A,splice,not_applicable,58,8.0,472884.0
HNF1A,splice,unavailable,11,15.0,1.0
HNF1A,start_loss,match,1,0.0,1.0
HNF1A,start_lost,match,1,2.0,0.0
HNF1A,stop_gained,match,7,0.0,13.0
HNF1A,substitution_cdna,unavailable,1,1.0,0.0
HNF1A,synonymous,match,389,3.0,1622357.0
KCNQ1,frameshift,match,136,204.0,333.0
KCNQ1,frameshift,not_applicable,2,0.0,4.0
KCNQ1,indel_cdna,match,2,14.0,36.0
KCNQ1,indel_cdna,unavailable,10,13.0,5.0
KCNQ1,inframe,match,28,0.0,2194.0
KCNQ1,inframe_indel,match,26,91.0,22.0
KCNQ1,missense,match,1061,6511.0,24396.0
KCNQ1,noncoding,not_applicable,1804,0.0,2208565.0
KCNQ1,nonsense,match,41,455.0,862.0
KCNQ1,other_transcript,not_applicable,525,0.0,920489.0
KCNQ1,region_only_unannotated,unavailable,109809,0.0,63051788.0
KCNQ1,splice,match,13,10.0,130.0
KCNQ1,splice,not_applicable,123,38.0,2490.0
KCNQ1,splice,unavailable,36,625.0,21.0
KCNQ1,start_lost,match,1,5.0,3.0
KCNQ1,stop_gained,match,14,0.0,20.0
KCNQ1,stop_loss,not_applicable,1,0.0,1.0
KCNQ1,substitution_cdna,unavailable,33,44.0,8.0
KCNQ1,synonymous,match,471,206.0,611942.0
LDLR,frameshift,match,145,235.0,167.0
LDLR,frameshift,not_applicable,2,0.0,2.0
LDLR,indel_cdna,match,1,2.0,0.0
LDLR,indel_cdna,unavailable,29,48.0,1.0
LDLR,inframe,match,20,0.0,88.0
LDLR,inframe_indel,match,19,88.0,4.0
LDLR,missense,match,1376,1400.0,108138.0
LDLR,noncoding,not_applicable,1766,0.0,3175986.0
LDLR,nonsense,match,61,348.0,123.0
LDLR,other_transcript,not_applicable,377,0.0,253649.0
LDLR,region_only_unannotated,unavailable,10167,0.0,8651395.0
LDLR,splice,match,23,7.0,204.0
LDLR,splice,not_applicable,145,103.0,1201608.0
LDLR,splice,unavailable,49,204.0,3.0
LDLR,start_lost,match,1,1.0,0.0
LDLR,stop_gained,match,34,7.0,64.0
LDLR,substitution_cdna,unavailable,10,14.0,0.0
LDLR,synonymous,match,504,31.0,2971855.0
