gene,variant_type,variants,population_only,affected,unaffected_literature,unaffected_gnomad,with_population_members,population_only_pct,n1_units,n1_pct,population_only_n1_units,population_only_n1_pct,affected_singletons,unaffected_singletons,n1_weight_share_pct,total_prior_fit_weight,posterior_median,posterior_below_0_10_pct
HNF1A,missense,785,640,526,76,1721270,722,81.52866242038218,348,44.3312101910828,312,48.75,36,312,1.0222588087121858,337.0520777214973,0.07177605757536316,85.60509554140128
HNF1A,nonsense,28,7,41,2,29,14,25.0,16,57.14285714285714,4,57.14285714285714,12,4,1.971855076789892,8.03384809810941,0.538587858976624,0.0
GCK,missense,634,385,670,72,4369,468,60.72555205047318,332,52.36593059936908,246,63.896103896103895,86,246,1.5252025690930484,215.52079569508984,0.2758935439589609,4.889589905362776
GCK,nonsense,33,7,62,0,29,15,21.21212121212121,16,48.484848484848484,5,71.42857142857143,11,5,1.3638026012042508,11.615745669078198,0.7537088417954239,0.0
LDLR,missense,1376,1005,1400,114,108024,1225,73.03779069767442,595,43.241279069767444,504,50.14925373134328,90,505,0.99743071086641,590.6264008848946,0.1114615701392324,40.55232558139535
LDLR,nonsense,95,33,355,19,168,65,34.73684210526316,39,41.05263157894737,21,63.63636363636363,18,21,0.9419674464234781,40.99277690832121,0.5430166975640242,0.0
BRCA2,missense,6656,2971,5056,1482,1516774,4210,44.636418269230774,3791,56.956129807692314,1454,48.93975092561427,2296,1495,1.8119163053089937,2071.5445495671293,0.14921617257000813,19.471153846153847
BRCA2,nonsense,577,57,1370,108,13886,197,9.878682842287695,293,50.77989601386482,38,66.66666666666666,254,39,1.4949643284140586,194.05079063574954,0.7112659650483513,0.34662045060658575
KCNQ1,missense,1061,666,6511,1756,22640,831,62.77097078228087,455,42.88407163053723,371,55.70570570570571,76,379,0.9512210580892477,473.59659006064965,0.20163698153597734,15.645617342130066
KCNQ1,nonsense,55,14,455,218,664,30,25.454545454545453,25,45.45454545454545,11,78.57142857142857,13,12,1.0849407138527751,22.814587867778783,0.5210862390026408,1.8181818181818181
