gene,variant_type,method,mean,variance,mean_historical_weight,n_units,fit_status,strength,alpha_empirical,beta_empirical,A0_U1_posterior_mean,A1_U0_posterior_mean,A0_U1_absolute_drop_from_prior,A0_U1_relative_drop_from_prior,A0_U10_posterior_mean,prior_weight_after_one_observation,A0_U1_lower_95,A0_U1_upper_95
HNF1A,missense,historical_weighted_mean_mse,0.10367699098603383,0.028593540625006495,0.42936570410381825,785,valid,2.2499673176131747,0.23326984130705183,2.016697476306123,0.07177605757536318,0.37947145948925537,0.031900933410670664,0.3076954019138922,0.019042486829467145,0.6923045980861078,3.417295749663599e-08,0.4614456068163062
HNF1A,missense,normalized_weighted_mse,0.10367699098603383,0.06659484060257578,0.42936570410381825,785,valid,0.3954245056413781,0.04099642290703804,0.35442808273434007,0.029379176545416105,0.7460069811720595,0.07429781444061773,0.7166278046266434,0.003943698776783011,0.28337219537335656,5.292089943354758e-40,0.39495342032990155
HNF1A,missense,equal_variant_mean_mse,0.10930631413731766,0.08255176441769005,0.42936570410381825,785,valid,0.17936236146842077,0.019605438627078323,0.15975692284134246,0.01662376150674136,0.8645395782832771,0.0926825526305763,0.8479158167765357,0.0019259986952905905,0.15208418322346423,1.5267695833701862e-82,0.2260605349154003
HNF1A,nonsense,historical_weighted_mean_mse,0.4664532153231939,0.03364743646833527,0.2869231463610503,28,valid,6.396540104089577,2.9836866984963404,3.412853405593236,0.4033895113806857,0.538587858976624,0.06306370394250821,0.13519834759593827,0.1819705059454682,0.8648016524040617,0.10834743340112642,0.7473562307886413
HNF1A,nonsense,normalized_weighted_mse,0.4664532153231939,0.11726985743420973,0.2869231463610503,28,valid,1.1222385588510724,0.52347178413575,0.5987667747153222,0.24666019847417378,0.7178607597067316,0.2197930168490201,0.4712005612325578,0.04706532604618262,0.5287994387674422,0.00050122865721891,0.838189107350738
HNF1A,nonsense,equal_variant_mean_mse,0.6207282913165265,0.17933196808135018,0.2869231463610503,28,valid,0.3127870183691759,0.19415575145828953,0.11863126691088635,0.14789584962493127,0.9096340341190626,0.4728324416915952,0.7617381844941314,0.01882670039752189,0.23826181550586858,4.779475212514598e-09,0.8388644604919178
GCK,missense,historical_weighted_mean_mse,0.37041792226820786,0.05951085449224164,0.339938163556924,634,valid,2.918755445884497,1.0811593278735518,1.837596118010945,0.2758935439589609,0.5310766024093694,0.09452437830924694,0.25518305845040845,0.0836891241112529,0.7448169415495915,0.011986133168677112,0.7390452757550289
GCK,missense,normalized_weighted_mse,0.37041792226820786,0.17506376415508376,0.339938163556924,634,valid,0.33213452970267077,0.12302858240599167,0.2091059472966791,0.09235447296261538,0.8430294068397498,0.27806344930559246,0.7506749338771345,0.011907373258866392,0.24932506612286554,7.20288748386941e-14,0.7302556884475588
GCK,missense,equal_variant_mean_mse,0.31827836692059724,0.19064207791823273,0.339938163556924,634,valid,0.1381393365006094,0.043966762428908804,0.09417257407170057,0.03863038647279481,0.9172574296911228,0.2796479804478024,0.878627043218328,0.004336768411794669,0.12137295678167206,3.16855539086929e-37,0.5153909502532525
GCK,nonsense,historical_weighted_mean_mse,0.7059030877040944,0.03374622942309215,0.3519922930023696,33,valid,5.15191451083596,3.636752360786633,1.5151621500493269,0.5911578183313293,0.7537088417954239,0.11474526937276505,0.16255102346409459,0.24001932945079602,0.8374489765359054,0.21976262633202312,0.9074186899326505
