gene,variant_type,n_bucket,n_units,unit_share,population_only_units,equal_variant_fraction_mean,historical_weight_sum,historical_weight_share,weighted_affected_fraction_sum
HNF1A,missense,1,348,0.44331210191082804,312,0.10344827586206896,3.4455445544554486,0.010222588087121856,0.35643564356435675
HNF1A,missense,2,114,0.14522292993630573,89,0.17105263157894737,57.28358208955223,0.1699546920962317,9.798507462686565
HNF1A,missense,3-4,91,0.1159235668789809,76,0.1053113553113553,63.998566706158186,0.1898773837526661,6.751611419955096
HNF1A,missense,5-9,86,0.10955414012738854,58,0.1754891103728313,72.54467332802915,0.21523283232204868,12.71206527049952
HNF1A,missense,10-19,53,0.06751592356687898,47,0.04928554150252264,49.00258833492363,0.14538580704259585,2.3961584989323326
HNF1A,missense,20-99,69,0.08789808917197452,49,0.03821709507915272,66.86983406463185,0.19839614850226708,2.55075833477558
HNF1A,missense,100+,24,0.030573248407643312,9,0.015872771345929272,23.907288643746803,0.07093054819706868,0.3790085933422036
HNF1A,nonsense,1,16,0.5714285714285714,4,0.75,0.15841584158415856,0.01971855076789892,0.11881188118811892
HNF1A,nonsense,2,6,0.21428571428571427,2,0.4166666666666667,3.014925373134328,0.37527786638682215,1.2562189054726367
HNF1A,nonsense,3-4,2,0.07142857142857142,0,0.6666666666666666,1.4183975277752463,0.1765526943568967,0.9732148035227546
HNF1A,nonsense,5-9,2,0.07142857142857142,1,0.1,1.6007984031936129,0.19925674267731372,0.1600798403193613
HNF1A,nonsense,10-19,2,0.07142857142857142,0,0.6735294117647059,1.8413109524220634,0.2291941458110685,1.239088846278389
GCK,missense,1,332,0.5236593059936908,246,0.25903614457831325,3.28712871287129,0.015252025690930482,0.8514851485148522
GCK,missense,2,104,0.1640378548895899,54,0.41346153846153844,52.25870646766169,0.24247639908306207,21.60696517412935
GCK,missense,3-4,81,0.1277602523659306,37,0.4187242798353909,56.65803100222865,0.2628889282795065,23.580726340295442
GCK,missense,5-9,62,0.09779179810725552,28,0.36296722990271374,51.36918465805552,0.23834908595424162,18.69258337523478
GCK,missense,10-19,30,0.0473186119873817,11,0.4318306352516879,27.5581004353979,0.12786747722658742,11.820748336100648
GCK,missense,20-99,17,0.026813880126182965,5,0.19847152791818795,16.44400949713525,0.07629894574257036,3.241695454888207
GCK,missense,100+,8,0.012618296529968454,4,0.004864334357991376,7.945634921739563,0.03686713802310162,0.03856151780282827
GCK,nonsense,1,16,0.48484848484848486,5,0.6875,0.15841584158415856,0.013638026012042507,0.10891089108910901
GCK,nonsense,2,6,0.18181818181818182,2,0.5,3.014925373134328,0.2595550435612789,1.507462686567164
GCK,nonsense,3-4,6,0.18181818181818182,0,0.888888888888889,4.255192583325739,0.366329696306395,3.810009859073247
GCK,nonsense,5-9,4,0.12121212121212122,0,0.7,3.2348082537088887,0.2784847693695756,2.274329211792721
GCK,nonsense,20-99,1,0.030303030303030304,0,0.5238095238095238,0.9524036173250833,0.081992464750708,0.49887808526551985
LDLR,missense,1,595,0.4324127906976744,504,0.15126050420168066,5.891089108910896,0.0099743071086641,0.8910891089108919
LDLR,missense,2,221,0.16061046511627908,169,0.167420814479638,111.04975124378109,0.18802029688717428,18.592039800995025
LDLR,missense,3-4,177,0.12863372093023256,117,0.22080979284369112,123.00127588006728,0.20825563451918674,26.906618420725597
LDLR,missense,5-9,132,0.09593023255813954,89,0.14048220298220299,110.84809115861302,0.18767886263217665,15.66439615015467
