model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
am_fit,all,610,0.12463616395541247,0.024887571688933668,0.3668417690914308,0.15846245428750616,0.9819042062604676,0.5008094200965264,0.36007802610792145,0.32627179573732285,all_common
am_fit,kish_ge_5,604,0.12514892030979868,0.025042731901284056,0.3681966210499669,0.15950770653508228,0.9852717851692835,0.496634237281251,0.3613656885666214,0.3295129062910049,all_common
am_fit,kish_lt_5,6,0.07301869094720155,0.009268110312328114,0.23045333859880268,0.05324039469817945,0.642901262773003,,0.23045333859880268,0.0,all_common
am_fit,origin:literature_and_population,79,0.15419482556738134,0.037859262880941144,0.21200613660930964,0.06581886681621849,2.0858965546009935,0.46437002270878763,0.3936765588346223,0.5075954154937892,all_common
am_fit,origin:literature_only,163,0.16212315208171296,0.037752263420398016,0.5450942356314215,0.30886797030777946,1.2892126241463204,0.11852815104124685,0.4317332136943639,0.9750046477040343,all_common
am_fit,origin:population_only,368,0.10168639946646542,0.016404668546549758,0.3211267226785751,0.11173078118676481,0.6087882616020557,,0.3211267226785751,0.0,all_common
am_plus_density,all,610,0.12340019896025388,0.0245662341908122,0.36488235234654925,0.15710923984210412,0.9749931058133402,0.5126957068691387,0.36010167115483177,0.32627179573732285,all_common
am_plus_density,kish_ge_5,604,0.1237353062290153,0.024712517627454904,0.36649471250315213,0.15826137317450917,0.9789404122194715,0.5084864619693524,0.3616665411009209,0.3295129062910049,all_common
am_plus_density,kish_lt_5,6,0.08966606723827124,0.009840368235446513,0.2025714299151933,0.04112781771332808,0.5776309275961206,,0.2025714299151933,0.0,all_common
am_plus_density,origin:literature_and_population,79,0.1518782440874565,0.037088020918572606,0.21028308942266472,0.06451098185166748,2.07507598252927,0.4798817486259099,0.39658956511578886,0.5075954154937892,all_common
am_plus_density,origin:literature_only,163,0.1597831362699004,0.03729254050114922,0.5425731140251977,0.30617835255295434,1.2837225231852805,0.07615855673189771,0.4343864446589128,0.9750046477040343,all_common
am_plus_density,origin:population_only,368,0.10117143714905445,0.016241209516687182,0.3193653621763513,0.11095977519366905,0.6020870126280556,,0.3193653621763513,0.0,all_common
am_plus_sequence,all,610,0.12281836717354319,0.024549384281339744,0.3646013023157403,0.15657640718364574,0.9761490744496966,0.5196615730190511,0.36012632112566834,0.32627179573732285,all_common
am_plus_sequence,kish_ge_5,604,0.12322930933831036,0.024701892734996133,0.36609246532706047,0.15767404534689297,0.9798532781351356,0.5156024713578924,0.36157303068145796,0.3295129062910049,all_common
am_plus_sequence,kish_lt_5,6,0.08145018925364932,0.009196866613263454,0.21449089250951578,0.046080832083426,0.6032592367821449,,0.21449089250951578,0.0,all_common
am_plus_sequence,origin:literature_and_population,79,0.1527559470775655,0.03715455740677892,0.21149841284787488,0.06462849192480766,2.079507281102596,0.4746048165496738,0.3959538943975262,0.5075954154937892,all_common
am_plus_sequence,origin:literature_only,163,0.15919612084334953,0.03760784460564563,0.5417148501588028,0.3052931180777859,1.2831002543800867,0.07195283799842889,0.43556931906453084,0.9750046477040343,all_common
am_plus_sequence,origin:population_only,368,0.10027857733496658,0.016059336156960525,0.3190187478851484,0.11044342193827446,0.6033274965849336,,0.3190187478851484,0.0,all_common
density_fit,all,610,0.13938444681369466,0.02965287625943509,0.3899625682068757,0.1755305539543412,1.0509554891153465,0.37247960859293694,0.36010209044076685,0.32627179573732285,all_common
density_fit,kish_ge_5,604,0.139764182451511,0.029805242879110457,0.391662616854057,0.1767926837484555,1.0547397433812686,0.36562084939357475,0.3615055118253709,0.3295129062910049,all_common
density_fit,kish_lt_5,6,0.10115772594018517,0.014314636545447531,0.21882433772396112,0.04847615468017386,0.6700072263458492,,0.21882433772396112,0.0,all_common
density_fit,origin:literature_and_population,79,0.16561646679653155,0.04330184611655216,0.23560537799142142,0.07580751687640466,2.1272528691901917,0.34675579708402493,0.38169644876434755,0.5075954154937892,all_common
density_fit,origin:literature_only,163,0.19617001540251183,0.05016864251255288,0.5792246539249886,0.3484155736955292,1.4106325754979736,-0.000837964562138446,0.39667197890420586,0.9750046477040343,all_common
density_fit,origin:population_only,368,0.10860081295874545,0.017635652025819737,0.33926826944320315,0.12036169990907858,0.6605890268700179,,0.33926826944320315,0.0,all_common
density_unfitted,all,610,0.14179250461209558,0.029589991843916873,0.39293720260135384,0.17638488756312057,1.054128267801057,0.37312241684083086,0.3684829311900659,0.32627179573732285,all_common
density_unfitted,kish_ge_5,604,0.14214725791393173,0.029727824622914335,0.39465827951752247,0.17764871367889998,1.0577875672722385,0.3662746267505035,0.3699610848802946,0.3295129062910049,all_common
density_unfitted,kish_lt_5,6,0.10608067222725233,0.015714825424839138,0.2196821263737133,0.04915972524133006,0.6857587877021087,,0.2196821263737133,0.0,all_common
density_unfitted,origin:literature_and_population,79,0.16236862253266407,0.042024600188597605,0.2326085063618568,0.07383337314299511,2.115691401661269,0.34675579708402493,0.3894598041064494,0.5075954154937892,all_common
density_unfitted,origin:literature_only,163,0.18862316316081898,0.04669226682184369,0.571841403567134,0.33918535485302975,1.3821023773360903,-0.000837964562138446,0.4043054644094136,0.9750046477040343,all_common
density_unfitted,origin:population_only,368,0.11663242129914227,0.019345413363939017,0.3481126978336856,0.12629003286457358,0.680967215004407,,0.3481126978336856,0.0,all_common
empirical_prior,all,610,0.16397236539091237,0.03490146408073039,0.4191856850081091,0.1947240561277779,1.1376757729343014,,0.3704179222682078,0.32627179573732285,all_common
empirical_prior,kish_ge_5,604,0.163884250001032,0.03486464606888795,0.4196701329823465,0.19529539340251578,1.1379393632472945,,0.3704179222682078,0.3295129062910049,all_common
empirical_prior,kish_lt_5,6,0.17284264797220603,0.038607810606202664,0.3704179222682078,0.13720943713749603,1.1111410147596392,,0.3704179222682078,0.0,all_common
empirical_prior,origin:literature_and_population,79,0.18829804616823695,0.05077404438545422,0.2619430108666697,0.08780834321028885,2.2091770383054485,,0.3704179222682077,0.5075954154937892,all_common
empirical_prior,origin:literature_only,163,0.22181166470610475,0.05690398250046901,0.6054967766980317,0.37639105679590873,1.4820693165618202,,0.3704179222682078,0.9750046477040343,all_common
empirical_prior,origin:population_only,368,0.13313123884258352,0.021748354443527726,0.3704179222682078,0.13720943713749606,0.7551085240875451,,0.3704179222682078,0.0,all_common
intercept_only,all,610,0.16125253222771893,0.03490884988755776,0.4164658518449157,0.1941621139346848,1.1351387380039308,-0.8156747510842383,0.3600750202126641,0.32627179573732285,all_common
intercept_only,kish_ge_5,604,0.16123749205412283,0.034905412381781784,0.4170233750354374,0.19480101301792546,1.13572423129049,-0.8175070939753946,0.36007236957902433,0.3295129062910049,all_common
intercept_only,kish_lt_5,6,0.16276657636972736,0.03525489213567329,0.36034185066572916,0.1298462728884581,1.0761990804902741,,0.36034185066572916,0.0,all_common
intercept_only,origin:literature_and_population,79,0.19293478545915557,0.05278290653464738,0.2665797501575883,0.09097653277069528,2.223522106916367,-0.9855062298517767,0.359920791432841,0.5075954154937892,all_common
intercept_only,origin:literature_only,163,0.23228154262841816,0.06179220030977253,0.6159666546203452,0.3894822815918452,1.5215210637257024,-0.20906699762986594,0.3596945714521337,0.9750046477040343,all_common
intercept_only,origin:population_only,368,0.12298995967174756,0.01916418523010915,0.3602766430973718,0.12979927041250547,0.7303490498606394,,0.3602766430973718,0.0,all_common
sequence_fit,all,610,0.14159401783432904,0.030814064602787388,0.39471702374733625,0.178332213920829,1.0720530053513895,0.35388509849779365,0.3601133443981876,0.32627179573732285,all_common
sequence_fit,kish_ge_5,604,0.14213505578985536,0.030958979750302762,0.3959572229145795,0.1793788801260198,1.0747494685492391,0.34722301238780356,0.36100979840633346,0.3295129062910049,all_common
sequence_fit,kish_lt_5,6,0.0871295303113487,0.016225939752906277,0.26987030757817726,0.07296781593162033,0.8006090434345327,,0.26987030757817726,0.0,all_common
sequence_fit,origin:literature_and_population,79,0.1751386175907414,0.04542750047498531,0.24351998582050288,0.07930423097477059,2.1566592751440425,0.34017803989132117,0.37578743387994984,0.5075954154937892,all_common
sequence_fit,origin:literature_only,163,0.20252134016615345,0.052940890235460045,0.5849554773218145,0.3546956911951738,1.4334939644502909,0.012470671026292,0.3913519632133669,0.9750046477040343,all_common
sequence_fit,origin:population_only,368,0.10740603707116611,0.017876200439664352,0.34291185544184677,0.12147342005403663,0.6791215606591599,,0.34291185544184677,0.0,all_common
