cohort_id,cohort,gene,tp,fp,fn,precision,recall,carrier_supply_rate,carrier_conditional_mae
gold_120_current,gold_120 current lock (118 attempts),KCNH2,60,41,28,0.594059405940594,0.6818181818181818,0.3181818181818182,0.17857142857142858
gold_120_current,gold_120 current lock (118 attempts),KCNQ1,145,100,22,0.5918367346938775,0.8682634730538922,0.5449101796407185,0.10989010989010989
gold_120_current,gold_120 current lock (118 attempts),RYR2,154,24,24,0.8651685393258427,0.8651685393258427,0.25842696629213485,0.21739130434782608
gold_120_current,gold_120 current lock (118 attempts),SCN5A,184,110,15,0.6258503401360545,0.9246231155778895,0.21105527638190955,0.2857142857142857
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),APOE,2,0,0,1.0,1.0,1.0,0.0
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),BRCA1,0,0,13,0.0,0.0,0.0,
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),KCNH2,25,20,34,0.5555555555555556,0.423728813559322,0.2711864406779661,0.0625
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),KCNQ1,37,16,11,0.6981132075471698,0.7708333333333334,0.4375,0.14285714285714285
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),MYBPC3,25,5,3,0.8333333333333334,0.8928571428571429,0.5714285714285714,0.0
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),RYR2,63,11,14,0.8513513513513513,0.8181818181818182,0.19480519480519481,0.4666666666666667
mixed_continuation_120,mixed continuation tranche 01 (120 attempts),SCN5A,109,89,48,0.5505050505050505,0.6942675159235668,0.3821656050955414,0.31666666666666665
