model,prediction_bin,n_variants,mean_prediction,mean_empirical_posterior,mean_observed_fraction
am_fit,"(0.6, 0.8]",54,0.7661369374796039,0.7673885791139144,0.7937340779933373
am_fit,"(0.8, 1.0]",188,0.839299596845806,0.8388383124772637,0.925299785911488
am_plus_density,"(0.6, 0.8]",49,0.7603044424097878,0.7757712236943164,0.7974408811143505
am_plus_density,"(0.8, 1.0]",193,0.8388385120569367,0.8348590469267122,0.9209502424269264
am_plus_sequence,"(0.6, 0.8]",55,0.7647650496637239,0.7714002768568717,0.8020298220298221
am_plus_sequence,"(0.8, 1.0]",187,0.8397800316417774,0.8380404855120269,0.923563421130266
density_fit,"(0.6, 0.8]",13,0.7669848032384187,0.7346421472194327,0.7294871794871794
density_fit,"(0.8, 1.0]",229,0.8261644935686857,0.8279049698865691,0.9053915573347888
density_unfitted,"(0.6, 0.8]",27,0.7540757795848223,0.775511520921934,0.8114050558495003
density_unfitted,"(0.8, 1.0]",215,0.8392429712784333,0.8288454648976035,0.9065584346747138
empirical_prior,"(0.8, 1.0]",242,0.8073449217263232,0.8228949835449462,0.8959421486074379
intercept_only,"(0.8, 1.0]",242,0.8228949835449462,0.8228949835449462,0.8959421486074379
sequence_fit,"(0.6, 0.8]",8,0.7659718284485704,0.875518994256844,0.96875
sequence_fit,"(0.8, 1.0]",234,0.8244875127660594,0.8210958720676163,0.8934529912948717
sequence_unfitted,"(0.2, 0.4]",1,0.28878028425286095,0.8914344782757933,1.0
sequence_unfitted,"(0.4, 0.6]",1,0.5393766262918877,0.7782107225562004,0.75
sequence_unfitted,"(0.6, 0.8]",46,0.741220939426107,0.7870499874294975,0.8212387853692201
sequence_unfitted,"(0.8, 1.0]",194,0.8449723271626585,0.8312713473983923,0.9138712156495662
