model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction
am_fit,all,242,0.06783554231876673,0.01340158538046266,0.19389081015221968,0.05177684507511725,0.7986311198278723,0.1896377275268146,0.822974044755827,0.8959421486074379
am_fit,kish_ge_5,226,0.06770761135566587,0.013805525604583688,0.19209911697588197,0.049995383462510444,0.7893760657204144,0.15243449165022355,0.8254264159372452,0.9027061491442021
am_fit,kish_lt_5,16,0.06964256717256631,0.007695929714753139,0.21919847626798955,0.07693999035318838,0.9293587590957135,0.6195880067564125,0.7883343018182971,0.800400641025641
am_plus_density,all,242,0.06829041084977076,0.013459494984455696,0.19371396862582946,0.051644919096135035,0.7984876044965749,0.19082396426770035,0.8229369855581339,0.8959421486074379
am_plus_density,kish_ge_5,226,0.06856120817991684,0.013940217574189083,0.19216167145652832,0.05009174228510952,0.7903707810302575,0.15304129264050106,0.8255796693746293,0.9027061491442021
am_plus_density,kish_lt_5,16,0.06446539856145736,0.006669288404471646,0.21564016614220785,0.07358354155187036,0.9131377359583063,0.6082342998263213,0.7856090766501367,0.800400641025641
am_plus_sequence,all,242,0.06827991481213276,0.013612344837339588,0.19398832911801436,0.051985796340076995,0.8006597889205964,0.19207012829930536,0.8227311721013105,0.8959421486074379
am_plus_sequence,kish_ge_5,226,0.06828982480855816,0.014034730060735016,0.19221917012084364,0.05021433551859597,0.7915125021358351,0.15373996108532823,0.8251065182666439,0.9027061491442021
am_plus_sequence,kish_lt_5,16,0.0681399361126242,0.007646153556879135,0.2189776999530507,0.07700768044349644,0.9298652147553497,0.6244538811550231,0.7891794075159784,0.800400641025641
density_fit,all,242,0.07226103909292854,0.014428212073356527,0.19887365206147217,0.054421887479918364,0.8204958443446411,0.06418121417602574,0.8229854192947458,0.8959421486074379
density_fit,kish_ge_5,226,0.0719398406228984,0.0146241346298033,0.19673801768306687,0.05207844722536101,0.8075995172953185,0.061973016112821265,0.8233285785408732,0.9027061491442021
density_fit,kish_lt_5,16,0.07679796748210405,0.011660805963545833,0.22903948765644708,0.08752298107554107,1.0026564639163222,0.08278075537334527,0.8181382949431972,0.800400641025641
density_unfitted,all,242,0.06849507873776706,0.014390632312939456,0.19273772697839756,0.05245537468429309,0.8104172700318751,0.08939602578648234,0.8297408465853444,0.8959421486074379
density_unfitted,kish_ge_5,226,0.06871076479473834,0.014721154204547691,0.19113090311818062,0.05058532804288029,0.7994630032268819,0.08410072632254986,0.8309098759134365,0.9027061491442021
density_unfitted,kish_lt_5,16,0.0654485131830478,0.009722010593973101,0.21543411400396217,0.07886978349424881,0.9651462886524034,0.1184901008285138,0.8132283073260459,0.800400641025641
empirical_prior,all,242,0.08206208415239413,0.014607370237787565,0.20882661450462348,0.05721287891067984,0.829344372021613,,0.8073449217263229,0.8959421486074379
empirical_prior,kish_ge_5,226,0.08178993267624149,0.014722077485496093,0.20675078233309996,0.05475117891025491,0.815773477791018,,0.807344921726323,0.9027061491442021
empirical_prior,kish_lt_5,16,0.08590622375305054,0.012987130363904628,0.23814774392739355,0.09198439141668195,1.0210332530287678,,0.8073449217263232,0.800400641025641
intercept_only,all,242,0.0731112674813181,0.014485029465794526,0.1998757978335475,0.05490502133732967,0.8235335908381198,-0.6504420274324776,0.8228949835449462,0.8959421486074379
intercept_only,kish_ge_5,226,0.0724565582843251,0.014536850395682328,0.1974174079411836,0.052227566761942436,0.8086722743781822,-0.6382766859059155,0.8228865362322476,0.9027061491442021
intercept_only,kish_lt_5,16,0.08235903488884452,0.013753058831129351,0.23460055506318753,0.09272406721467433,1.0334496858347357,-0.7989583187996275,0.8230143018368148,0.800400641025641
sequence_fit,all,242,0.07287803064438872,0.01473272688464359,0.19956500788773615,0.05501373097003176,0.8246391758962147,0.04764928795080332,0.8225531099787045,0.8959421486074379
sequence_fit,kish_ge_5,226,0.07224280593165372,0.014820329769520057,0.1971206119940457,0.05238594635801263,0.8100670397870607,0.0557599363906366,0.8225249864151946,0.9027061491442021
sequence_fit,kish_lt_5,16,0.08185057971177045,0.013495336135763498,0.23409209988611346,0.09213118861480202,1.0304705984380136,-0.07304184297648111,0.8229503553132828,0.800400641025641
sequence_unfitted,all,242,0.07433552172851234,0.01689216735348647,0.19572939056437647,0.05521953249116915,0.8223833952746505,0.12456746017193158,0.8216898826186011,0.8959421486074379
sequence_unfitted,kish_ge_5,226,0.07423279877878353,0.01722554783222227,0.19356898646356363,0.05305946703426598,0.8090206659746343,0.1385102210749182,0.8222002120528431,0.9027061491442021
sequence_unfitted,kish_lt_5,16,0.07578648339343161,0.012183168091343281,0.22624509848835792,0.08573045706992637,1.0111319466373818,-0.040578801653600616,0.8144814793599302,0.800400641025641
