role,source,sha256,hash_verified_now
archived_features,/Users/kronckbm/GitRepos/BayesianPenetranceEstimator/iterations/grant_e2e_20260909/results/GCK_protocol/variants_features.csv,b329170a9166361efc38404bbd4e1bd2065c05e89a0cf457b0cb5443590fc769,True
archived_observations,/Users/kronckbm/GitRepos/BayesianPenetranceEstimator/iterations/grant_e2e_20260909/results/GCK_protocol/observations.csv,2feee25af4eb4ed3c4700ebd91a0d3f1024c50a31dd2334a86bb7b8715da3a14,True
canonical_fasta,docs/evidence/gck_structural_pilot_20260912/geometry/P35557-1.fasta,4c5dec7349184d7d7437065146449757b2261065eedddc6a52a15b0dae6cc9e7,True
source_counts,docs/evidence/structural_density_plan_20260912/full_universe_source_counts.csv.gz,670f557ab4c3e930133f84544411b5f862453f9a55b8fadab1dcf3ec7114c2c8,True
empirical_posteriors,docs/evidence/structural_density_plan_20260912/full_universe_empirical_posteriors.csv.gz,6034faf94e5975a04848c67ed5993de1f68325b16a35fad978df9d447d909a77,True
gvf_shard_0,results/grant_e2e_20260909/shards/GCK_0/GCK/20260909_093947/GCK.db,48cd9e536f0daad2a774fe29c255f61d3d290fbe273d09d3a18a5df7236d1059,True
gvf_shard_1,results/grant_e2e_20260909/shards/GCK_0/GCK/20260909_093947/GCK.refresh_20260909_211010.db,6dadfb8cc407094829451ede560f78ed3924699b95f3d55a2ac9d010eeef35e3,True
gvf_shard_2,results/grant_e2e_20260909/shards/GCK_1/GCK/20260909_093950/GCK.db,3be9405326440ab5d4da935f8b0bff25fd7f9be07d79c15399988f5da7bf84aa,True
gvf_shard_3,results/grant_e2e_20260909/shards/GCK_1/GCK/20260909_093950/GCK.refresh_20260909_204653.db,5c8877966338567768aaab65595d170a2abb161cfaf72b4251862e21fb5dc55c,True
gvf_shard_4,results/grant_e2e_20260909/shards/GCK_2/GCK/20260909_093953/GCK.db,7342d22f4258067490bf68bcb8c70c1963f9285ceddee8688724ef1b3056c955,True
gvf_shard_5,results/grant_e2e_20260909/shards/GCK_2/GCK/20260909_093953/GCK.refresh_20260909_204753.db,586824d9ec9c0e523b506a3459420a1aab11970b06cca5c0a4b62c3f2faa8688,True
