scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,158,127,0.6478282956565913,0.5673076923076923,0.7261686165263531,,,,,,,,
clinvar_plp_binary,0.25,5,158,127,0.7240284480568961,0.6741475050373356,0.7750093652813118,0.48031496062992124,0.967741935483871,0.9838709677419355,0.3125,61.0,1.0,66.0,30.0
alphamissense_missense_only,0.25,5,112,82,0.5550813008130081,0.4449319068144499,0.6666719812925169,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,283,250,0.9726060606060606,0.9533056245226145,0.9888423746872973,,,,,,,,
base_oof_prior,0.25,5,283,250,0.48654545454545456,0.3932073680053316,0.594086433583048,,,,,,,,
class_oof_prior,0.25,5,283,250,0.7478787878787879,0.6591759016377337,0.8318035261131269,,,,,,,,
insilico_oof_prior,0.25,5,283,250,0.7867878787878788,0.7046008650079314,0.858685122497042,,,,,,,,
clinvar_oof_prior,0.25,5,283,250,0.7173333333333334,0.6247151515151514,0.8019529930642834,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,283,250,0.7031515151515152,0.6212403761954625,0.7815036295789066,,,,,,,,
split_alternating_posterior_from_half_A,0.25,5,121,117,0.6816239316239316,0.13898305084745766,0.9916666666666667,,,,,,,,
split_alternating_prior_only,0.25,5,121,117,0.8183760683760684,0.6166666666666667,0.9497478991596638,,,,,,,,
split_alternating_pooled_rate_half_A,0.25,5,121,117,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.25,5,121,117,0.6442307692307693,0.0,1.0,,,,,,,,
split_design_posterior_from_half_A,0.25,5,32,29,0.39080459770114945,0.16129032258064516,0.622090517241379,,,,,,,,
split_design_prior_only,0.25,5,32,29,0.25862068965517243,0.16666666666666666,0.35185185185185186,,,,,,,,
split_design_pooled_rate_half_A,0.25,5,32,29,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.25,5,32,29,0.3045977011494253,0.04838709677419355,0.5483870967741935,,,,,,,,
split_alternating_clinvar_ordinal,0.25,5,121,117,0.6378205128205128,0.5,0.9041666666666667,,,,,,,,
split_design_clinvar_ordinal,0.25,5,32,29,0.3160919540229885,0.06661290322580646,0.5004032258064512,,,,,,,,
clinvar_ordinal,0.5,5,158,100,0.6624137931034483,0.5797564992877493,0.7432477713867806,,,,,,,,
clinvar_plp_binary,0.5,5,158,100,0.7555172413793103,0.6882373123020037,0.8094782913165266,0.58,0.9310344827586207,0.9354838709677419,0.5625,58.0,4.0,42.0,54.0
alphamissense_missense_only,0.5,5,112,56,0.5293367346938775,0.4218795739046702,0.6472142774096035,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,283,219,0.9895119863013698,0.9804141662200275,0.9961199559639243,,,,,,,,
base_oof_prior,0.5,5,283,219,0.4464897260273973,0.3706413591885316,0.525290215588723,,,,,,,,
class_oof_prior,0.5,5,283,219,0.7507848173515982,0.6853342281434347,0.813272379180768,,,,,,,,
insilico_oof_prior,0.5,5,283,219,0.7880279680365296,0.7238078930202217,0.8433026175858068,,,,,,,,
clinvar_oof_prior,0.5,5,283,219,0.7334474885844748,0.6641637844527033,0.7965588417588196,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,283,219,0.710259703196347,0.6453662064733333,0.7748679264247447,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,121,114,0.6077694235588973,0.31451748841129373,0.882787356321839,,,,,,,,
split_alternating_prior_only,0.5,5,121,114,0.7694235588972431,0.5586775362318841,0.9412346294449982,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,121,114,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,121,114,0.7575187969924813,0.4485007496251874,0.9574079219788602,,,,,,,,
split_design_posterior_from_half_A,0.5,5,32,28,0.4330357142857143,0.21269262566137567,0.6451612903225806,,,,,,,,
split_design_prior_only,0.5,5,32,28,0.25,0.1580689655172414,0.3419310344827585,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,32,28,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,32,28,0.2857142857142857,0.08888888888888889,0.5,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,121,114,0.7111528822055138,0.5508474576271186,0.8517887931034482,,,,,,,,
split_design_clinvar_ordinal,0.5,5,32,28,0.34375,0.11438172043010753,0.5348214285714286,,,,,,,,
clinvar_ordinal,0.75,5,158,73,0.827477840451249,0.7560487948630658,0.8970536733420172,,,,,,,,
clinvar_plp_binary,0.75,5,158,73,0.8609991941982272,0.7975363693864643,0.914668261121653,0.7808219178082192,0.9411764705882353,0.9193548387096774,0.8333333333333334,57.0,5.0,16.0,80.0
alphamissense_missense_only,0.75,5,112,28,0.6014030612244898,0.4519149875363523,0.7467816048129664,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,283,177,0.9857158085491952,0.9744918253091656,0.9938743377785897,,,,,,,,
base_oof_prior,0.75,5,283,177,0.4310841061720499,0.3653517573482799,0.4945178019088479,,,,,,,,
class_oof_prior,0.75,5,283,177,0.7890416799914721,0.7287975960470797,0.8441708265061159,,,,,,,,
insilico_oof_prior,0.75,5,283,177,0.8195821341008421,0.7621841982095022,0.8723538118733088,,,,,,,,
clinvar_oof_prior,0.75,5,283,177,0.7995949259140817,0.7440733151183971,0.8525595498452934,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,283,177,0.7800874107238034,0.7219569059744422,0.835324137530638,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,121,102,0.554437564499484,0.37853164780763787,0.7178630952380952,,,,,,,,
split_alternating_prior_only,0.75,5,121,102,0.6963364293085655,0.5657489225864334,0.8234635796467348,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,121,102,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,121,102,0.7383900928792569,0.5872594417460614,0.8647363495358492,,,,,,,,
split_design_posterior_from_half_A,0.75,5,32,17,0.6176470588235294,0.39580078125,0.8373552754435106,,,,,,,,
split_design_prior_only,0.75,5,32,17,0.6784313725490196,0.47654115005060727,0.8421339807852966,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,32,17,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,32,17,0.5764705882352941,0.36416940789473684,0.7774414062499999,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,121,102,0.7045923632610939,0.5798716842582563,0.8201365291262136,,,,,,,,
split_design_clinvar_ordinal,0.75,5,32,17,0.5823529411764706,0.38748511904761906,0.775305818256579,,,,,,,,
