model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,2.958,1.173,1.742,5.145,0.567,0.316,7.0,29.0,1.53
base,sigma,1.386,0.622,0.05,2.042,0.292,0.165,7.0,31.0,1.53
base,tau,1.439,0.669,0.038,2.069,0.322,0.184,7.0,31.0,1.53
base,g0,0.408,1.563,-2.392,1.613,0.773,0.441,7.0,29.0,1.54
base,g1,-1.826,2.254,-3.995,2.344,1.101,0.615,7.0,27.0,1.53
base,g2,-0.981,0.809,-1.835,0.433,0.386,0.204,7.0,28.0,1.54
base,p_asc,0.865,0.219,0.479,0.996,0.109,0.063,7.0,31.0,1.53
class,alpha,2.689,1.409,1.281,5.366,0.686,0.392,7.0,27.0,1.53
class,sigma,1.458,0.413,0.324,1.966,0.177,0.195,11.0,11.0,1.3
class,beta[trunc],1.175,0.501,0.065,1.901,0.214,0.166,7.0,13.0,1.52
class,tau,1.393,0.671,0.006,1.995,0.323,0.188,7.0,32.0,1.53
class,g0,0.344,1.552,-2.424,1.506,0.769,0.44,7.0,15.0,1.55
class,g1,-1.915,2.221,-4.123,2.282,1.083,0.606,7.0,19.0,1.54
class,g2,-0.791,0.68,-1.46,0.398,0.33,0.18,7.0,26.0,1.53
class,p_asc,0.866,0.219,0.484,0.998,0.109,0.063,7.0,14.0,1.55
insilico,alpha,2.977,1.876,1.345,6.544,0.922,0.529,7.0,30.0,1.54
insilico,sigma,1.927,0.6,1.251,3.162,0.282,0.156,7.0,31.0,1.54
insilico,beta[trunc],1.649,0.493,0.898,2.656,0.206,0.108,7.0,32.0,1.49
insilico,beta[am],0.236,0.131,-0.007,0.489,0.003,0.005,1838.0,885.0,1.01
insilico,beta[am_missing],0.48,0.645,-0.578,1.846,0.229,0.101,9.0,33.0,1.36
insilico,tau,1.834,0.196,1.495,2.234,0.058,0.022,12.0,41.0,1.25
insilico,g0,0.083,1.994,-3.541,1.585,0.989,0.569,7.0,23.0,1.54
insilico,g1,-1.603,2.763,-3.992,3.621,1.357,0.768,7.0,29.0,1.53
insilico,g2,-0.81,0.679,-1.486,0.402,0.327,0.177,7.0,30.0,1.54
insilico,p_asc,0.885,0.186,0.551,0.997,0.093,0.054,7.0,28.0,1.53
clinvar,alpha,3.195,1.903,1.407,6.899,0.928,0.524,7.0,34.0,1.54
clinvar,sigma,1.927,0.62,1.226,3.186,0.292,0.163,7.0,29.0,1.53
clinvar,beta[trunc],1.919,0.479,1.09,2.854,0.15,0.058,11.0,35.0,1.27
clinvar,beta[clinvar_plp],0.134,0.515,-0.883,1.038,0.115,0.039,21.0,41.0,1.12
clinvar,beta[clinvar_blb],-0.155,0.326,-0.769,0.458,0.051,0.005,42.0,151.0,1.06
clinvar,beta[clinvar_none],-0.808,0.466,-1.646,0.095,0.144,0.036,11.0,39.0,1.28
clinvar,tau,1.858,0.198,1.502,2.241,0.055,0.02,14.0,48.0,1.2
clinvar,g0,0.031,1.996,-3.623,1.602,0.986,0.563,7.0,35.0,1.53
clinvar,g1,-1.528,2.729,-4.003,3.567,1.339,0.756,7.0,31.0,1.53
clinvar,g2,-1.037,0.882,-2.151,0.427,0.395,0.178,7.0,32.0,1.53
clinvar,p_asc,0.884,0.187,0.552,0.998,0.093,0.054,7.0,26.0,1.53
insilico_clinvar,alpha,3.183,1.787,1.507,6.62,0.871,0.49,7.0,33.0,1.53
insilico_clinvar,sigma,1.906,0.568,1.208,3.017,0.264,0.143,7.0,38.0,1.53
insilico_clinvar,beta[trunc],2.346,0.589,1.361,3.528,0.224,0.101,8.0,34.0,1.42
insilico_clinvar,beta[am],0.243,0.134,-0.003,0.503,0.006,0.003,1216.0,456.0,1.01
insilico_clinvar,beta[am_missing],1.288,0.681,0.026,2.582,0.218,0.082,11.0,32.0,1.29
insilico_clinvar,beta[clinvar_plp],-0.292,0.562,-1.389,0.736,0.155,0.059,14.0,35.0,1.2
insilico_clinvar,beta[clinvar_blb],-0.137,0.31,-0.728,0.434,0.022,0.005,196.0,1565.0,1.03
insilico_clinvar,beta[clinvar_none],-1.301,0.4,-2.097,-0.607,0.018,0.006,524.0,2474.0,1.02
insilico_clinvar,tau,1.848,0.19,1.497,2.202,0.052,0.017,14.0,48.0,1.2
insilico_clinvar,g0,-0.02,1.994,-3.634,1.533,0.986,0.563,7.0,39.0,1.54
insilico_clinvar,g1,-1.543,2.758,-3.946,3.651,1.355,0.766,7.0,30.0,1.53
insilico_clinvar,g2,-1.028,0.864,-2.058,0.425,0.395,0.188,7.0,28.0,1.53
insilico_clinvar,p_asc,0.885,0.187,0.552,0.998,0.093,0.054,7.0,27.0,1.53
