model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,5962,6527.0,13228,0.4713394662738637,0.07888085902873727,0.03976161727537236,0.19591857124853085,-0.31533189815491947,-0.15559202443734194,-1.0701026925705113,1.1050736767756595,1.03,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,5962,6527.0,13228,0.4596807421885021,0.0754204523472383,0.03964631202132815,0.1944851821245481,-0.31292305611883614,-0.15440344627212305,-0.9946538271912663,1.0803776869213124,1.05,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,5962,6527.0,13228,0.4616702654923331,0.07605729925672941,0.039586732404502854,0.1942557421167247,-0.31266303414842406,-0.15427514544048712,-0.9885811310964905,1.0700875439043398,1.03,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,5962,6527.0,13228,0.45049991781774684,0.07321486785671792,0.03955552814873693,0.19356320367803362,-0.3111972484924605,-0.15355189302315467,-0.9934560716427409,1.1046209166502277,1.84,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,5962,6527.0,13228,0.45403212045159647,0.07402411659125457,0.03941759971870597,0.19272038069605119,-0.3114986475185385,-0.15370061024746756,-0.9894730012094259,1.086170578240946,1.02,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,-0.011658724085361618,-0.017821660790619687,-0.004790554539058277
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,-0.009669200781530584,-0.014583698911668991,-0.0038784086072559784
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,-0.020839548456116817,-0.032897460956302034,-0.008854586873254248
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,-0.017307345822267242,-0.028415992946309237,-0.006863265080813988
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,0.020839548456116817,0.008935810766220948,0.03281871515880282
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,0.0091808243707552,0.0025018971596084895,0.016335043348566013
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,0.011170347674586233,0.00273290192452186,0.02139571489930424
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,5962,6527.0,13228,,,,,,,,,,,0.003532202633849575,-0.001895533625834941,0.009396208297283158
posterior_from_half_A,split_paper_half_B,alternating,121,,1190,0.44049966745471997,0.05580568170892488,0.05127120876363314,0.3290265019917248,,,,,,,,,
prior_only,split_paper_half_B,alternating,121,,1190,0.42716470376599225,0.05313940005301996,0.04587734414745269,0.31145313890352266,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,121,,1190,0.4911949667245804,0.07511045832073936,0.0864973452411005,0.43306081956456804,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,121,,1190,0.4621545222913241,0.06521934140412917,0.06934976790532318,0.38607843287655874,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,121,,1190,,,,,,,,,,,-0.02165485483660412,-0.07940268209238313,0.040991511306148504
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,121,,1190,,,,,,,,,,,-0.05069529926986042,-0.10911836126583718,0.007413527641558782
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,121,,1190,,,,,,,,,,,0.01333496368872774,-0.02958752439608967,0.060483780532271506
posterior_from_half_A,split_paper_half_B,design,32,,816,0.8252119168925588,0.07439285344438233,0.0924507562330327,0.6707178064101604,,,,,,,,,
prior_only,split_paper_half_B,design,32,,816,0.7890810158447654,0.06525138511139014,0.0878072001619994,0.647056555881967,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,32,,816,0.7673301235282084,0.059223182590400984,0.0780119804534084,0.6074921219496124,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,32,,816,0.7960642807905732,0.06415296481581385,0.09072522574133798,0.6791618010757425,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,32,,816,,,,,,,,,,,0.02914763610198555,-0.011226190663531267,0.05929418137438292
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,32,,816,,,,,,,,,,,0.05788179336435039,0.0072922120184763526,0.11244449120650046
posterior_from_half_A,split_delta_nll_vs_prior_only,design,32,,816,,,,,,,,,,,0.03613090104779341,-0.015251563741898596,0.0872691193812991
