model,parameter,mean,sd,hdi_3%,hdi_97%,r_hat
base,alpha,-5.237,0.009,-5.254,-5.22,1.0
class,alpha,-4.221,0.01,-4.24,-4.201,1.0
class,beta[trunc],2.189,0.01,2.17,2.209,1.0
insilico,alpha,-3.376,0.011,-3.397,-3.354,1.0
insilico,beta[trunc],-0.777,0.024,-0.823,-0.732,1.0
insilico,beta[am],1.508,0.013,1.483,1.531,1.0
insilico,beta[am_missing],2.694,0.025,2.648,2.739,1.0
clinvar,alpha,-0.122,0.021,-0.16,-0.082,1.0
clinvar,beta[trunc],0.987,0.027,0.941,1.043,1.0
clinvar,beta[clinvar_plp],-0.162,0.02,-0.199,-0.123,1.0
clinvar,beta[clinvar_blb],-2.335,0.012,-2.356,-2.312,1.0
clinvar,beta[clinvar_none],0.314,0.022,0.27,0.353,1.0
insilico_clinvar,alpha,-0.047,0.022,-0.085,-0.005,1.0
insilico_clinvar,beta[trunc],1.003,0.035,0.937,1.069,1.0
insilico_clinvar,beta[am],0.586,0.022,0.546,0.629,1.0
insilico_clinvar,beta[am_missing],0.082,0.038,0.012,0.152,1.0
insilico_clinvar,beta[clinvar_plp],-0.336,0.022,-0.374,-0.292,1.0
insilico_clinvar,beta[clinvar_blb],-2.207,0.013,-2.233,-2.184,1.0
insilico_clinvar,beta[clinvar_none],0.239,0.033,0.177,0.298,1.0
