scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,35,34,0.45588235294117646,0.4069602272727273,0.5,,,,,,,,
clinvar_plp_binary,0.25,5,35,34,0.45588235294117646,0.40360383064516125,0.5,0.9117647058823529,0.0,0.96875,0.0,31.0,1.0,3.0,0.0
alphamissense_missense_only,0.25,5,37,36,0.3611111111111111,0.2222222222222222,0.5277777777777778,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,46,45,1.0,1.0,1.0,,,,,,,,
base_oof_prior,0.25,5,46,45,0.0,0.0,0.0,,,,,,,,
class_oof_prior,0.25,5,46,45,0.06666666666666667,0.0,0.13953488372093023,,,,,,,,
insilico_oof_prior,0.25,5,46,45,0.044444444444444446,0.0,0.11363636363636363,,,,,,,,
clinvar_oof_prior,0.25,5,46,45,0.6222222222222222,0.4666666666666667,0.7555555555555555,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,46,45,0.6,0.4482323232323232,0.7333333333333333,,,,,,,,
clinvar_ordinal,0.5,5,35,33,0.7196969696969697,0.4411764705882353,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,35,33,0.7196969696969697,0.4411764705882353,1.0,0.9393939393939394,0.5,0.96875,0.3333333333333333,31.0,1.0,2.0,1.0
alphamissense_missense_only,0.5,5,37,35,0.32857142857142857,0.17647058823529413,0.4857142857142857,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,46,44,0.9886363636363636,0.9534883720930233,1.0,,,,,,,,
base_oof_prior,0.5,5,46,44,0.17045454545454544,0.0,0.427020202020202,,,,,,,,
class_oof_prior,0.5,5,46,44,0.38636363636363635,0.022222222222222223,0.8,,,,,,,,
insilico_oof_prior,0.5,5,46,44,0.14772727272727273,0.0,0.3371212121212121,,,,,,,,
clinvar_oof_prior,0.5,5,46,44,0.3409090909090909,0.022222222222222223,0.7111111111111111,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,46,44,0.29545454545454547,0.0,0.6888888888888889,,,,,,,,
clinvar_ordinal,0.75,5,35,33,0.7196969696969697,0.4411764705882353,0.9852941176470589,,,,,,,,
clinvar_plp_binary,0.75,5,35,33,0.7196969696969697,0.4411764705882353,1.0,0.9393939393939394,0.5,0.96875,0.3333333333333333,31.0,1.0,2.0,1.0
alphamissense_missense_only,0.75,5,37,35,0.32857142857142857,0.16666666666666666,0.48456221198156685,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,46,43,1.0,1.0,1.0,,,,,,,,
base_oof_prior,0.75,5,46,43,0.14728682170542637,0.0,0.3634343434343436,,,,,,,,
class_oof_prior,0.75,5,46,43,0.24806201550387597,0.0,0.7284848484848481,,,,,,,,
insilico_oof_prior,0.75,5,46,43,0.13178294573643412,0.022588383838383838,0.28888888888888886,,,,,,,,
clinvar_oof_prior,0.75,5,46,43,0.2248062015503876,0.0,0.6369623059866962,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,46,43,0.23255813953488372,0.0,0.6308668076109939,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,27,26,0.2692307692307692,0.11538461538461539,0.46153846153846156,,,,,,,,
split_alternating_prior_only,0.75,5,27,26,0.34615384615384615,0.16333333333333333,0.52,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,27,26,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,27,26,0.5384615384615384,0.36,0.7198695652173911,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,27,26,0.40384615384615385,0.3269230769230769,0.47962499999999997,,,,,,,,
