model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,391,508.0,1005,0.25023152276807104,0.04273144381054595,0.02779939611488251,0.18124577837635614,-0.34286677529776005,-0.17330977298633046,-1.8938890499599261,1.6484468607099088,1.83,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,391,508.0,1005,0.25008911161992947,0.04249527734879231,0.027952173072103837,0.18203304886070734,-0.32302597024273155,-0.16328078893861456,-1.6808481778763424,1.569881299887018,1.83,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,391,508.0,1005,0.25221024105531503,0.04318667702454437,0.027940311255483925,0.1824239626689637,-0.34492651476785857,-0.17435091492743499,-1.9753931986405653,1.677020073562545,2.15,55.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,391,508.0,1005,0.25014084485117904,0.04232050389152697,0.027903309026796847,0.18179794822505232,-0.31821823955873263,-0.1608506126326728,-1.4951292731473178,1.5055123786874707,1.83,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,391,508.0,1005,0.25219293004590715,0.04276351022584244,0.02785213570113327,0.18210419343603815,-0.3182042979177728,-0.1608435655146553,-1.4181470634726188,1.470503009451054,1.84,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,-0.00014241114814154656,-0.0031497431893832938,0.0024445276912086473
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,0.0019787182872439972,-0.00014447845456882672,0.004515136671991747
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,-9.067791689196737e-05,-0.005791415361640059,0.0043752273494952
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,0.001961407277836098,-0.0025465803819801915,0.006873137901723882
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,9.067791689196737e-05,-0.004344504221934499,0.005191013115583635
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,-5.1733231249579206e-05,-0.0025060003313139107,0.0028244828307104905
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,0.0020693962041359645,-0.0036137980138319873,0.010218078915950864
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,508.0,1005,,,,,,,,,,,0.002052085194728065,-0.0006775153632217095,0.005128901770412412
posterior_from_half_A,split_paper_half_B,alternating,27,,153,0.2480244106427293,0.02109967609064486,0.022245925506022002,0.22156474959605083,,,,,,,,,
prior_only,split_paper_half_B,alternating,27,,153,0.24883502876413663,0.020941481334894433,0.02261661925733156,0.22446635716065716,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,27,,153,0.20361224644608578,0.010749069516037843,0.010623678428928736,0.17104419711860763,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,27,,153,0.2155833503788316,0.016339910392490282,0.01830861512237273,0.189675624423659,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,27,,153,,,,,,,,,,,0.03244106026389766,-0.01675475591264177,0.07062663362345739
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,27,,153,,,,,,,,,,,0.0444121641966435,0.01952378661351152,0.07089129928036428
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,27,,153,,,,,,,,,,,-0.0008106181214073375,-0.012935682118176391,0.011033810198307896
posterior_from_half_A,split_paper_half_B,design,7,,31,0.46366974615158074,0.05818118198775851,0.06307359118558745,0.42888715598858784,,,,,,,,,
prior_only,split_paper_half_B,design,7,,31,0.43643781851134517,0.051702643783818815,0.06052693085692329,0.41766896803425074,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,7,,31,0.6479156586256849,0.07324946236559142,0.07802896825396828,0.5993426326316007,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,7,,31,0.5768464174313732,0.06925480797908902,0.07566052146327941,0.5561014767307942,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,7,,31,,,,,,,,,,,-0.11317667127979249,-0.43979917979394156,0.1543485910112701
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,7,,31,,,,,,,,,,,-0.18424591247410416,-0.5504491125483755,0.1572946439515359
posterior_from_half_A,split_delta_nll_vs_prior_only,design,7,,31,,,,,,,,,,,0.027231927640235586,-0.01804641553101578,0.08473754746497779
