scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,48,42,0.8809523809523809,0.6515071712178916,1.0,,,,,,,,
clinvar_plp_binary,0.25,5,48,42,0.8452380952380952,0.6520627470355731,0.9666666666666667,0.8571428571428571,0.8333333333333334,0.972972972972973,0.45454545454545453,36.0,1.0,6.0,5.0
alphamissense_missense_only,0.25,5,50,44,0.7651515151515151,0.4614479512735327,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,59,53,0.8050314465408805,0.5370166122004357,0.9945766733266733,,,,,,,,
base_oof_prior,0.25,5,59,53,0.5943396226415094,0.3242936507936508,0.85546750524109,,,,,,,,
class_oof_prior,0.25,5,59,53,0.6194968553459119,0.24556438265475009,0.9599158249158248,,,,,,,,
insilico_oof_prior,0.25,5,59,53,0.710691823899371,0.40732005590496156,0.9561584249084248,,,,,,,,
clinvar_oof_prior,0.25,5,59,53,0.8679245283018868,0.7229672057502246,0.9755602240896358,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,59,53,0.7515723270440252,0.4559538784067086,0.9643170426065163,,,,,,,,
split_design_posterior_from_half_A,0.25,5,10,9,0.8888888888888888,0.625,1.0,,,,,,,,
split_design_prior_only,0.25,5,10,9,0.8888888888888888,0.618125,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.25,5,10,9,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.25,5,10,9,0.0,0.0,0.0,,,,,,,,
split_design_clinvar_ordinal,0.25,5,10,9,0.3888888888888889,0.2222222222222222,0.5,,,,,,,,
clinvar_ordinal,0.5,5,48,38,0.9315789473684211,0.8070643619471745,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,48,38,0.9236842105263158,0.8076923076923077,1.0,0.9473684210526315,0.9,0.972972972972973,0.8181818181818182,36.0,1.0,2.0,9.0
alphamissense_missense_only,0.5,5,50,40,0.775,0.5526054720133668,0.9584264905149051,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,59,49,0.7714285714285715,0.5229942375886525,0.9673666966786715,,,,,,,,
base_oof_prior,0.5,5,59,49,0.5285714285714286,0.33442028985507244,0.7020722135007849,,,,,,,,
class_oof_prior,0.5,5,59,49,0.5918367346938775,0.39215686274509803,0.7892179985201627,,,,,,,,
insilico_oof_prior,0.5,5,59,49,0.753061224489796,0.5459279609279609,0.9469387755102041,,,,,,,,
clinvar_oof_prior,0.5,5,59,49,0.8367346938775511,0.732907196969697,0.9247653554175294,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,59,49,0.7551020408163265,0.5399444444444444,0.9219948823339781,,,,,,,,
split_design_posterior_from_half_A,0.5,5,10,8,0.6875,0.25,1.0,,,,,,,,
split_design_prior_only,0.5,5,10,8,0.6875,0.25,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,10,8,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,10,8,0.09375,0.0,0.375,,,,,,,,
split_design_clinvar_ordinal,0.5,5,10,8,0.375,0.2,0.5,,,,,,,,
clinvar_ordinal,0.75,5,48,34,0.8455882352941176,0.7201365301365301,0.9583550759013283,,,,,,,,
clinvar_plp_binary,0.75,5,48,34,0.842436974789916,0.7136502761502762,0.9545454545454546,0.9705882352941176,0.7142857142857143,0.8918918918918919,0.9090909090909091,33.0,4.0,1.0,10.0
alphamissense_missense_only,0.75,5,50,36,0.7559523809523809,0.5832899305555556,0.8933345588235294,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,59,44,0.7318181818181818,0.5421291297526762,0.8789636507657103,,,,,,,,
base_oof_prior,0.75,5,59,44,0.5015151515151515,0.3510372340425532,0.6544330495356037,,,,,,,,
class_oof_prior,0.75,5,59,44,0.5424242424242425,0.3817916974624292,0.7073633069828722,,,,,,,,
insilico_oof_prior,0.75,5,59,44,0.7121212121212122,0.5401304347826087,0.8571631493506493,,,,,,,,
clinvar_oof_prior,0.75,5,59,44,0.7318181818181818,0.5868082871446451,0.8619257703081232,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,59,44,0.7136363636363636,0.5396773182957393,0.8599424789708066,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,27,26,0.15384615384615385,0.038461538461538464,0.3076923076923077,,,,,,,,
split_alternating_prior_only,0.75,5,27,26,0.07692307692307693,0.0,0.19230769230769232,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,27,26,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,27,26,0.7115384615384616,0.5386153846153846,0.8653846153846154,,,,,,,,
split_design_posterior_from_half_A,0.75,5,10,7,0.7619047619047619,0.36675,1.0,,,,,,,,
split_design_prior_only,0.75,5,10,7,0.7619047619047619,0.3861904761904762,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,10,7,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,10,7,0.30952380952380953,0.0,0.8572916666666638,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,27,26,0.40384615384615385,0.32,0.46901223776223816,,,,,,,,
split_design_clinvar_ordinal,0.75,5,10,7,0.35714285714285715,0.1875,0.5,,,,,,,,
