model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,-4.037,0.681,-5.349,-2.807,0.013,0.01,2600.0,2763.0,1.0
base,sigma,1.581,0.415,0.847,2.386,0.007,0.007,3430.0,2749.0,1.0
base,tau,0.519,0.371,0.002,1.187,0.007,0.005,2486.0,2732.0,1.0
base,g0,4.407,0.493,3.559,5.402,0.008,0.008,3985.0,2488.0,1.0
base,g1,-1.68,0.755,-3.077,-0.226,0.013,0.014,4069.0,2576.0,1.0
base,g2,-0.157,0.211,-0.544,0.24,0.003,0.005,6069.0,2069.0,1.0
base,p_asc,0.955,0.008,0.94,0.971,0.0,0.0,3443.0,2926.0,1.0
class,alpha,-4.046,0.662,-5.246,-2.824,0.013,0.01,2772.0,2774.0,1.0
class,sigma,1.563,0.418,0.797,2.347,0.007,0.006,3224.0,2222.0,1.0
class,beta[trunc],0.474,0.942,-1.291,2.276,0.01,0.016,9094.0,3023.0,1.0
class,tau,0.516,0.373,0.001,1.18,0.006,0.005,3490.0,2150.0,1.0
class,g0,4.403,0.48,3.513,5.317,0.008,0.007,3944.0,3190.0,1.0
class,g1,-1.678,0.738,-3.05,-0.298,0.012,0.014,4323.0,2714.0,1.0
class,g2,-0.15,0.226,-0.532,0.284,0.003,0.006,6309.0,2150.0,1.0
class,p_asc,0.955,0.008,0.941,0.971,0.0,0.0,3786.0,2717.0,1.0
insilico,alpha,-3.238,0.546,-4.295,-2.255,0.009,0.008,3425.0,2691.0,1.0
insilico,sigma,0.625,0.439,0.0,1.387,0.009,0.006,2292.0,2446.0,1.0
insilico,beta[trunc],0.544,0.89,-1.163,2.202,0.01,0.015,7394.0,3104.0,1.0
insilico,beta[am],1.605,0.455,0.768,2.493,0.007,0.008,4554.0,2527.0,1.0
insilico,beta[am_missing],0.09,1.035,-1.785,2.022,0.011,0.018,8278.0,2861.0,1.0
insilico,tau,0.478,0.348,0.0,1.095,0.006,0.005,2563.0,2008.0,1.0
insilico,g0,4.301,0.482,3.431,5.215,0.008,0.008,4148.0,2713.0,1.0
insilico,g1,-1.66,0.707,-2.999,-0.328,0.009,0.013,5740.0,2786.0,1.0
insilico,g2,-0.144,0.218,-0.532,0.255,0.004,0.007,5122.0,1740.0,1.0
insilico,p_asc,0.957,0.008,0.941,0.971,0.0,0.0,4535.0,2783.0,1.0
clinvar,alpha,-3.798,0.679,-5.067,-2.565,0.014,0.01,2294.0,2894.0,1.0
clinvar,sigma,1.088,0.531,0.005,1.935,0.014,0.007,1360.0,1335.0,1.0
clinvar,beta[trunc],0.423,0.94,-1.292,2.222,0.012,0.016,6232.0,3142.0,1.0
clinvar,beta[clinvar_plp],0.39,0.805,-1.056,1.902,0.013,0.012,3645.0,3087.0,1.0
clinvar,beta[clinvar_blb],-1.564,0.894,-3.15,0.178,0.016,0.012,3186.0,3342.0,1.0
clinvar,beta[clinvar_none],0.559,0.93,-1.255,2.272,0.013,0.015,4806.0,2642.0,1.0
clinvar,tau,0.596,0.416,0.001,1.347,0.009,0.005,1831.0,1803.0,1.0
clinvar,g0,4.259,0.514,3.28,5.233,0.012,0.008,1821.0,2136.0,1.0
clinvar,g1,-1.688,0.725,-3.095,-0.361,0.012,0.012,3721.0,2805.0,1.0
clinvar,g2,-0.153,0.208,-0.517,0.248,0.004,0.006,3875.0,1705.0,1.0
clinvar,p_asc,0.957,0.009,0.94,0.974,0.0,0.0,1917.0,1955.0,1.0
insilico_clinvar,alpha,-2.882,0.632,-4.007,-1.673,0.01,0.011,3775.0,3029.0,1.0
insilico_clinvar,sigma,0.569,0.422,0.0,1.296,0.008,0.006,2729.0,2403.0,1.0
insilico_clinvar,beta[trunc],0.352,0.884,-1.271,2.01,0.01,0.015,7091.0,2991.0,1.0
insilico_clinvar,beta[am],1.527,0.511,0.627,2.548,0.008,0.008,4060.0,2504.0,1.0
insilico_clinvar,beta[am_missing],0.134,1.042,-1.73,2.141,0.01,0.023,10661.0,2580.0,1.0
insilico_clinvar,beta[clinvar_plp],-0.466,0.759,-1.949,0.917,0.013,0.012,3667.0,2591.0,1.0
insilico_clinvar,beta[clinvar_blb],-0.973,0.865,-2.548,0.669,0.01,0.014,7263.0,3418.0,1.0
insilico_clinvar,beta[clinvar_none],0.564,0.918,-1.125,2.331,0.011,0.017,6576.0,3066.0,1.0
insilico_clinvar,tau,0.477,0.35,0.0,1.099,0.006,0.005,3060.0,2675.0,1.0
insilico_clinvar,g0,4.195,0.499,3.251,5.116,0.009,0.009,3017.0,2009.0,1.0
insilico_clinvar,g1,-1.675,0.687,-2.931,-0.354,0.009,0.012,6793.0,2748.0,1.0
insilico_clinvar,g2,-0.147,0.19,-0.491,0.207,0.003,0.004,6016.0,2552.0,1.0
insilico_clinvar,p_asc,0.958,0.008,0.942,0.974,0.0,0.0,2815.0,1490.0,1.0
