model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.17132141796062003,0.02621124521144664,0.028065322149898878,0.1801672287631049,-0.35810195217823326,-0.09592016576202678,-2.002070344891458,1.6695140506731547,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.17232405236867773,0.026333465185380562,0.028001866328859138,0.17994585659114135,-0.35898059894682577,-0.0961555175750426,-2.026633919768441,1.6799800120751804,1.01,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.14455942622665913,0.024055839362048387,0.02833137344648268,0.18101140793950193,-0.346381716029907,-0.0927808167937251,-1.417600695858457,1.4514647296629826,1.01,1.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.16048592960850733,0.024984574814945974,0.028132311152833586,0.18032527378120486,-0.35507948642318715,-0.09511057672049657,-1.772599413106442,1.5861601329112751,1.01,1.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.14180870382932861,0.023899917018844523,0.028283463581360736,0.18058650447174085,-0.34483943748972723,-0.09236770647046265,-1.4082449020843586,1.4503697673640246,1.01,1.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.0010026344080577006,-0.0005054621673969353,0.0017262227876360882
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.0267619917339609,-0.04155795852392458,0.0005590530024115283
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.010835488352112697,-0.017025129750661568,0.00014812435148515171
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.02951271413129141,-0.045254861777504526,-1.9492137282348408e-05
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.010835488352112697,-0.00021183919676983967,0.01691525213455996
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.011838122760170398,-0.0003064499846277929,0.01869922205981883
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.015926503381848204,-0.025057208929054442,0.001581349090707748
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.018677225779178713,-0.02965638388326268,0.000489255317248233
posterior_from_half_A,split_paper_half_B,alternating,27,,153,0.18307515820198342,0.007809456904859205,0.007427208906642873,0.14841200814351438,,,,,,,,,
prior_only,split_paper_half_B,alternating,27,,153,0.1831226881915343,0.007820312849343874,0.007428528023202464,0.14840690422281902,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,27,,153,0.2663038075903266,0.025783503179636454,0.028046682128156204,0.24409827180996355,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,27,,153,0.2711149486187814,0.028685001757829617,0.032299672696964245,0.2527105991190074,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,27,,153,,,,,,,,,,,-0.08803979041679794,-0.13378275507405532,-0.03825820877389588
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,27,,153,,,,,,,,,,,-0.08322864938834318,-0.12578031362126357,-0.03399708936217538
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,27,,153,,,,,,,,,,,-4.752998955087012e-05,-0.00021408657631766365,7.608917281210907e-05
posterior_from_half_A,split_paper_half_B,design,10,,68,0.9153946351786563,0.24322060377418186,0.09719049845787446,0.5187902199647788,,,,,,,,,
prior_only,split_paper_half_B,design,10,,68,0.9288197573327899,0.24685253056167944,0.09808223942584415,0.5220776653014975,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,10,,68,0.6895157150403106,0.1596531760152076,0.16114939008054388,0.6578494678757704,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,10,,68,1.0050772520585785,0.2785610587580183,0.15227080493056144,0.6557954537683196,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,10,,68,,,,,,,,,,,-0.08968261687992234,-0.2682747904251724,0.015440095956491519
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,10,,68,,,,,,,,,,,0.22587892013834554,-0.40778788861682247,0.6033229273847028
posterior_from_half_A,split_delta_nll_vs_prior_only,design,10,,68,,,,,,,,,,,-0.013425122154133613,-0.024050830376687163,0.00024023678891116375
