scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,48,42,0.8809523809523809,0.6515071712178916,1.0,,,,,,,,
clinvar_plp_binary,0.25,5,48,42,0.8452380952380952,0.6520627470355731,0.9666666666666667,0.8571428571428571,0.8333333333333334,0.972972972972973,0.45454545454545453,36.0,1.0,6.0,5.0
alphamissense_missense_only,0.25,5,50,44,0.7651515151515151,0.4614479512735327,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,59,53,0.9968553459119497,0.9810765815760266,1.0,,,,,,,,
base_oof_prior,0.25,5,59,53,0.3867924528301887,0.1,0.7318181818181818,,,,,,,,
class_oof_prior,0.25,5,59,53,0.5125786163522013,0.31972727272727275,0.7153703703703703,,,,,,,,
insilico_oof_prior,0.25,5,59,53,0.7735849056603774,0.5074242424242424,0.9821428571428571,,,,,,,,
clinvar_oof_prior,0.25,5,59,53,0.8962264150943396,0.6923809523809523,1.0,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,59,53,0.8742138364779874,0.6347303921568627,1.0,,,,,,,,
split_design_posterior_from_half_A,0.25,5,10,9,0.8888888888888888,0.625,1.0,,,,,,,,
split_design_prior_only,0.25,5,10,9,0.2222222222222222,0.0,0.5555555555555556,,,,,,,,
split_design_pooled_rate_half_A,0.25,5,10,9,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.25,5,10,9,0.0,0.0,0.0,,,,,,,,
split_design_clinvar_ordinal,0.25,5,10,9,0.3888888888888889,0.2222222222222222,0.5,,,,,,,,
clinvar_ordinal,0.5,5,48,38,0.9315789473684211,0.8070643619471745,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,48,38,0.9236842105263158,0.8076923076923077,1.0,0.9473684210526315,0.9,0.972972972972973,0.8181818181818182,36.0,1.0,2.0,9.0
alphamissense_missense_only,0.5,5,50,40,0.775,0.5526054720133668,0.9584264905149051,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,59,49,0.9938775510204082,0.9732924528301887,1.0,,,,,,,,
base_oof_prior,0.5,5,59,49,0.37551020408163266,0.17608344474153298,0.6004901960784313,,,,,,,,
class_oof_prior,0.5,5,59,49,0.5224489795918368,0.3444047619047619,0.7143367346938775,,,,,,,,
insilico_oof_prior,0.5,5,59,49,0.7755102040816326,0.5769710183227625,0.9643367346938775,,,,,,,,
clinvar_oof_prior,0.5,5,59,49,0.9387755102040817,0.8186799719887955,1.0,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,59,49,0.9204081632653062,0.7761253369272237,1.0,,,,,,,,
split_design_posterior_from_half_A,0.5,5,10,8,0.8125,0.5416666666666666,1.0,,,,,,,,
split_design_prior_only,0.5,5,10,8,0.5625,0.1111111111111111,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,10,8,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,10,8,0.09375,0.0,0.375,,,,,,,,
split_design_clinvar_ordinal,0.5,5,10,8,0.375,0.2,0.5,,,,,,,,
clinvar_ordinal,0.75,5,48,34,0.8455882352941176,0.7201365301365301,0.9583550759013283,,,,,,,,
clinvar_plp_binary,0.75,5,48,34,0.842436974789916,0.7136502761502762,0.9545454545454546,0.9705882352941176,0.7142857142857143,0.8918918918918919,0.9090909090909091,33.0,4.0,1.0,10.0
alphamissense_missense_only,0.75,5,50,36,0.7559523809523809,0.5832899305555556,0.8933345588235294,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,59,44,0.9893939393939394,0.9634109009457441,1.0,,,,,,,,
base_oof_prior,0.75,5,59,44,0.35454545454545455,0.17889731121281463,0.5667078488372093,,,,,,,,
class_oof_prior,0.75,5,59,44,0.47424242424242424,0.3078867623604466,0.637780303030303,,,,,,,,
insilico_oof_prior,0.75,5,59,44,0.7257575757575757,0.5283463876548984,0.8761970514950166,,,,,,,,
clinvar_oof_prior,0.75,5,59,44,0.8242424242424242,0.6523391590678825,0.9593164229602551,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,59,44,0.8212121212121212,0.6419607047364401,0.9548942500294568,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,27,26,0.23076923076923078,0.07692307692307693,0.42076923076923023,,,,,,,,
split_alternating_prior_only,0.75,5,27,26,0.5384615384615384,0.34615384615384615,0.7307692307692307,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,27,26,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,27,26,0.7115384615384616,0.5386153846153846,0.8653846153846154,,,,,,,,
split_design_posterior_from_half_A,0.75,5,10,7,0.7619047619047619,0.4,1.0,,,,,,,,
split_design_prior_only,0.75,5,10,7,0.47619047619047616,0.0,0.9047619047619048,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,10,7,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,10,7,0.30952380952380953,0.0,0.8572916666666638,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,27,26,0.40384615384615385,0.32,0.46901223776223816,,,,,,,,
split_design_clinvar_ordinal,0.75,5,10,7,0.35714285714285715,0.1875,0.5,,,,,,,,
