model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,3.441,0.327,2.843,4.045,0.011,0.006,921.0,1710.0,1.01
base,sigma,2.38,0.269,1.919,2.907,0.01,0.005,753.0,1648.0,1.01
base,tau,0.875,0.338,0.233,1.512,0.017,0.009,415.0,428.0,1.02
class,alpha,3.226,0.326,2.629,3.828,0.009,0.006,1398.0,2114.0,1.0
class,sigma,2.372,0.259,1.899,2.858,0.008,0.005,1007.0,2015.0,1.0
class,beta[trunc],1.557,0.543,0.552,2.581,0.01,0.008,2916.0,3090.0,1.0
class,tau,0.958,0.33,0.294,1.533,0.014,0.007,589.0,786.0,1.0
insilico,alpha,2.953,0.304,2.413,3.532,0.008,0.004,1633.0,2241.0,1.0
insilico,sigma,1.937,0.231,1.516,2.372,0.006,0.003,1353.0,2420.0,1.0
insilico,beta[trunc],1.462,0.512,0.54,2.455,0.009,0.009,3501.0,2705.0,1.0
insilico,beta[am],1.195,0.202,0.819,1.568,0.006,0.003,1339.0,2412.0,1.0
insilico,beta[am_missing],1.435,0.609,0.246,2.548,0.009,0.01,4853.0,3239.0,1.0
insilico,tau,1.057,0.295,0.471,1.584,0.011,0.006,676.0,894.0,1.0
clinvar,alpha,0.914,0.387,0.22,1.69,0.011,0.007,1206.0,1784.0,1.0
clinvar,sigma,1.628,0.226,1.203,2.036,0.006,0.003,1237.0,2023.0,1.0
clinvar,beta[trunc],0.765,0.503,-0.112,1.776,0.008,0.008,3939.0,2993.0,1.0
clinvar,beta[clinvar_plp],1.908,0.404,1.18,2.71,0.01,0.006,1540.0,2122.0,1.0
clinvar,beta[clinvar_blb],-2.684,0.783,-4.028,-1.082,0.014,0.012,3234.0,3192.0,1.0
clinvar,beta[clinvar_none],2.8,0.463,1.967,3.711,0.011,0.007,1850.0,2439.0,1.0
clinvar,tau,0.893,0.3,0.307,1.443,0.013,0.008,515.0,517.0,1.01
insilico_clinvar,alpha,1.301,0.393,0.583,2.059,0.009,0.006,2105.0,2311.0,1.0
insilico_clinvar,sigma,1.483,0.217,1.096,1.894,0.006,0.003,1546.0,2413.0,1.0
insilico_clinvar,beta[trunc],0.787,0.507,-0.135,1.777,0.008,0.008,4490.0,2819.0,1.0
insilico_clinvar,beta[am],0.856,0.189,0.502,1.206,0.004,0.003,1939.0,2529.0,1.0
insilico_clinvar,beta[am_missing],0.758,0.622,-0.419,1.911,0.008,0.008,5598.0,3717.0,1.0
insilico_clinvar,beta[clinvar_plp],1.431,0.406,0.713,2.229,0.008,0.006,2550.0,3014.0,1.0
insilico_clinvar,beta[clinvar_blb],-2.359,0.762,-3.783,-0.912,0.014,0.01,3111.0,3154.0,1.0
insilico_clinvar,beta[clinvar_none],2.306,0.488,1.416,3.256,0.01,0.007,2535.0,2948.0,1.0
insilico_clinvar,tau,1.044,0.288,0.453,1.538,0.01,0.006,799.0,1012.0,1.01
