model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,3.217,0.266,2.731,3.723,0.005,0.004,2382.0,2350.0,1.0
base,sigma,2.181,0.213,1.783,2.567,0.005,0.003,1672.0,2319.0,1.0
base,tau,0.008,0.006,0.0,0.019,0.0,0.0,3728.0,2417.0,1.0
class,alpha,2.99,0.272,2.476,3.486,0.005,0.004,2575.0,3187.0,1.0
class,sigma,2.148,0.211,1.777,2.557,0.005,0.003,1652.0,2330.0,1.0
class,beta[trunc],1.386,0.507,0.457,2.35,0.008,0.007,4247.0,3290.0,1.0
class,tau,0.008,0.006,0.0,0.019,0.0,0.0,3685.0,1719.0,1.0
insilico,alpha,2.749,0.255,2.292,3.239,0.005,0.004,2669.0,2786.0,1.0
insilico,sigma,1.78,0.192,1.422,2.138,0.004,0.003,1888.0,2538.0,1.0
insilico,beta[trunc],1.266,0.462,0.424,2.133,0.007,0.008,4745.0,2907.0,1.0
insilico,beta[am],1.047,0.178,0.701,1.375,0.003,0.002,2657.0,2770.0,1.0
insilico,beta[am_missing],1.287,0.567,0.301,2.411,0.008,0.009,5447.0,3365.0,1.0
insilico,tau,0.008,0.006,0.0,0.019,0.0,0.0,3661.0,2238.0,1.0
clinvar,alpha,0.895,0.34,0.258,1.523,0.007,0.004,2142.0,2713.0,1.0
clinvar,sigma,1.512,0.188,1.184,1.875,0.005,0.003,1645.0,2401.0,1.0
clinvar,beta[trunc],0.644,0.46,-0.245,1.497,0.006,0.006,5843.0,3569.0,1.0
clinvar,beta[clinvar_plp],1.796,0.364,1.157,2.525,0.007,0.005,2633.0,3198.0,1.0
clinvar,beta[clinvar_blb],-2.808,0.771,-4.162,-1.293,0.013,0.011,3652.0,3227.0,1.0
clinvar,beta[clinvar_none],2.537,0.417,1.803,3.367,0.008,0.006,2955.0,3272.0,1.0
clinvar,tau,0.008,0.006,0.0,0.019,0.0,0.0,3209.0,1719.0,1.0
insilico_clinvar,alpha,1.292,0.357,0.606,1.942,0.008,0.005,2184.0,2742.0,1.0
insilico_clinvar,sigma,1.402,0.18,1.082,1.751,0.004,0.003,1897.0,2306.0,1.0
insilico_clinvar,beta[trunc],0.654,0.474,-0.258,1.525,0.006,0.007,5939.0,3549.0,1.0
insilico_clinvar,beta[am],0.741,0.163,0.449,1.059,0.003,0.002,3066.0,2396.0,1.0
insilico_clinvar,beta[am_missing],0.694,0.584,-0.344,1.834,0.007,0.008,6834.0,3564.0,1.0
insilico_clinvar,beta[clinvar_plp],1.309,0.378,0.643,2.06,0.007,0.005,2610.0,2692.0,1.0
insilico_clinvar,beta[clinvar_blb],-2.496,0.741,-3.925,-1.167,0.011,0.01,4274.0,3447.0,1.0
insilico_clinvar,beta[clinvar_none],1.991,0.445,1.179,2.849,0.008,0.006,3023.0,2789.0,1.0
insilico_clinvar,tau,0.008,0.006,0.0,0.019,0.0,0.0,4171.0,2163.0,1.0
