model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,1.1584453931612149,0.4064984216934768,0.09769054638101098,0.3855018110687031,-0.6033346834704482,-0.16160750450101288,-31.172306172536036,16.566257456744694,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,1.1358571377521958,0.4011051787634391,0.09595514621185743,0.3767764539288805,-0.6181116645390584,-0.16556562443010492,-6.906779709615083,3.6599250198348217,1.01,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.6121535458258482,0.2039009996160161,0.09059667654597432,0.35989218172882603,-0.5579819809899663,-0.14945945919374098,-3.017850389156896,2.245133869631273,1.01,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.42102426815413346,0.1126727562743759,0.08534712154734912,0.34311652205178683,-0.5541775132311504,-0.14844040532977243,-2.442873409367488,2.115372648372275,1.01,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.31584994393667787,0.07031193759459348,0.08606449660016406,0.344100913527929,-0.552690009493865,-0.14804196682871384,-1.4282946867291475,1.5883151091343857,1.01,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.022588255409019153,-0.03016490320874489,-0.004940344135613347
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.5462918473353665,-0.8357938606538103,-0.02347301969230989
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.7374211250070813,-1.1301394257861184,-0.03896247626889616
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.8425954492245369,-1.2895904183294504,-0.0423573839430379
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.7374211250070813,0.04555316008593907,1.1265320888652917
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.7148328695980622,0.03404400741028466,1.0965030899215082
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.19112927767171484,-0.008009218424758466,0.2958579868098834
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.10517432421745557,-0.1640621664362882,0.00914983582853678
posterior_from_half_A,split_paper_half_B,alternating,27,,153,0.2742614065758057,0.036360394266635065,0.03749734558368817,0.24114633453246562,,,,,,,,,
prior_only,split_paper_half_B,alternating,27,,153,0.22886297938990122,0.02025478896599208,0.022053197490864953,0.2009061953032465,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,27,,153,0.2663038075903266,0.025783503179636454,0.028046682128156204,0.24409827180996355,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,27,,153,0.2711149486187814,0.028685001757829617,0.032299672696964245,0.2527105991190074,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,27,,153,,,,,,,,,,,0.0031464579570243375,-0.06795255239368245,0.07756759879858305
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,27,,153,,,,,,,,,,,0.007957598985479104,-0.0559110272913281,0.07398758142128493
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,27,,153,,,,,,,,,,,0.04539842718590448,-0.021419671598461604,0.11458561555113159
posterior_from_half_A,split_paper_half_B,design,10,,68,0.5156941020370521,0.07177678392051182,0.10251928823959915,0.5437693449542125,,,,,,,,,
prior_only,split_paper_half_B,design,10,,68,1.144820783264615,0.2949038956034808,0.10752711903043673,0.5605556895522958,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,10,,68,0.6895157150403106,0.1596531760152076,0.16114939008054388,0.6578494678757704,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,10,,68,1.0050772520585785,0.2785610587580183,0.15227080493056144,0.6557954537683196,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,10,,68,,,,,,,,,,,-0.48938315002152644,-0.9926394544395832,0.32448644003625277
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,10,,68,,,,,,,,,,,-0.17382161300325852,-0.39956081061248955,0.26760014929135467
posterior_from_half_A,split_delta_nll_vs_prior_only,design,10,,68,,,,,,,,,,,-0.6291266812275627,-1.3097805895397874,0.39024028800203003
