scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,48,42,0.8809523809523809,0.6704883658008658,1.0,,,,,,,,
clinvar_plp_binary,0.25,5,48,42,0.8452380952380952,0.6547619047619048,0.9651162790697675,0.8571428571428571,0.8333333333333334,0.972972972972973,0.45454545454545453,36.0,1.0,6.0,5.0
alphamissense_missense_only,0.25,5,50,44,0.7651515151515151,0.47679924242424243,0.9886981225296443,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,59,53,0.9716981132075472,0.9038292847503374,1.0,,,,,,,,
base_oof_prior,0.25,5,59,53,0.3553459119496855,0.12399483378256963,0.6291208791208791,,,,,,,,
class_oof_prior,0.25,5,59,53,0.49056603773584906,0.2516068580542265,0.723670634920635,,,,,,,,
insilico_oof_prior,0.25,5,59,53,0.7924528301886793,0.5759352779573368,0.9821428571428571,,,,,,,,
clinvar_oof_prior,0.25,5,59,53,0.8569182389937107,0.604537962037962,1.0,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,59,53,0.8616352201257862,0.5940265866209262,1.0,,,,,,,,
clinvar_ordinal,0.5,5,48,38,0.9315789473684211,0.817579365079365,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,48,38,0.9236842105263158,0.7976190476190477,1.0,0.9473684210526315,0.9,0.972972972972973,0.8181818181818182,36.0,1.0,2.0,9.0
alphamissense_missense_only,0.5,5,50,40,0.775,0.5340719696969697,0.955625,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,59,49,0.9673469387755103,0.9088888888888889,1.0,,,,,,,,
base_oof_prior,0.5,5,59,49,0.4061224489795918,0.21197916666666666,0.6154444444444445,,,,,,,,
class_oof_prior,0.5,5,59,49,0.5051020408163265,0.3110374149659864,0.6992291320598005,,,,,,,,
insilico_oof_prior,0.5,5,59,49,0.7836734693877551,0.5988906926406926,0.9500137362637362,,,,,,,,
clinvar_oof_prior,0.5,5,59,49,0.923469387755102,0.7574941892261416,1.0,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,59,49,0.9163265306122449,0.7522058823529412,1.0,,,,,,,,
clinvar_ordinal,0.75,5,48,34,0.8455882352941176,0.718748282967033,0.9565656565656566,,,,,,,,
clinvar_plp_binary,0.75,5,48,34,0.842436974789916,0.7181818181818181,0.9642857142857143,0.9705882352941176,0.7142857142857143,0.8918918918918919,0.9090909090909091,33.0,4.0,1.0,10.0
alphamissense_missense_only,0.75,5,50,36,0.7559523809523809,0.564891544117647,0.9057203331874384,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,59,44,0.9393939393939394,0.8745661308001461,0.9840145118124769,,,,,,,,
base_oof_prior,0.75,5,59,44,0.44696969696969696,0.2764625850340136,0.6341632791327914,,,,,,,,
class_oof_prior,0.75,5,59,44,0.5,0.31898919694436,0.6736048454469507,,,,,,,,
insilico_oof_prior,0.75,5,59,44,0.7303030303030303,0.5637965425531914,0.8807102272727273,,,,,,,,
clinvar_oof_prior,0.75,5,59,44,0.7856060606060606,0.6045861442656979,0.9484834093211751,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,59,44,0.803030303030303,0.6169637681159421,0.9574468085106383,,,,,,,,
