model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,0.884,0.573,-0.133,1.962,0.019,0.014,953.0,1234.0,1.01
base,sigma,0.818,0.41,0.03,1.49,0.015,0.007,699.0,965.0,1.01
base,tau,0.506,0.331,0.0,1.084,0.011,0.005,891.0,1604.0,1.0
base,g0,1.028,0.486,0.094,1.873,0.016,0.017,1139.0,1156.0,1.0
base,g1,-0.865,0.67,-2.113,0.406,0.009,0.014,5053.0,2502.0,1.0
base,g2,-0.385,0.359,-1.026,0.262,0.007,0.012,3547.0,2084.0,1.0
base,p_asc,0.991,0.008,0.976,1.0,0.0,0.0,3778.0,2324.0,1.0
class,alpha,0.885,0.554,-0.054,2.016,0.017,0.01,1131.0,1478.0,1.0
class,sigma,0.827,0.415,0.002,1.482,0.015,0.008,697.0,666.0,1.0
class,beta[trunc],-0.193,0.692,-1.472,1.125,0.01,0.012,5204.0,2841.0,1.0
class,tau,0.499,0.323,0.0,1.045,0.011,0.005,890.0,1354.0,1.0
class,g0,1.047,0.457,0.182,1.89,0.013,0.01,1342.0,1396.0,1.0
class,g1,-0.856,0.664,-2.099,0.398,0.009,0.011,4917.0,3058.0,1.0
class,g2,-0.416,0.374,-1.103,0.259,0.008,0.01,3075.0,2217.0,1.0
class,p_asc,0.991,0.008,0.976,1.0,0.0,0.0,3555.0,1989.0,1.0
insilico,alpha,0.823,0.597,-0.175,2.041,0.018,0.012,1180.0,1766.0,1.0
insilico,sigma,0.852,0.426,0.007,1.537,0.015,0.007,802.0,1347.0,1.0
insilico,beta[trunc],-0.166,0.68,-1.511,1.021,0.01,0.011,4486.0,2967.0,1.0
insilico,beta[am],-0.15,0.297,-0.741,0.388,0.006,0.005,2364.0,2489.0,1.0
insilico,beta[am_missing],0.156,0.774,-1.32,1.575,0.011,0.012,5272.0,3140.0,1.0
insilico,tau,0.471,0.321,0.002,1.022,0.01,0.005,916.0,1331.0,1.0
insilico,g0,1.088,0.483,0.121,1.964,0.013,0.013,1466.0,1686.0,1.0
insilico,g1,-0.83,0.665,-2.075,0.424,0.01,0.012,4265.0,3105.0,1.0
insilico,g2,-0.449,0.38,-1.161,0.202,0.008,0.011,3022.0,1819.0,1.0
insilico,p_asc,0.99,0.009,0.974,1.0,0.0,0.0,3658.0,2019.0,1.0
clinvar,alpha,1.947,1.715,-0.151,5.444,0.786,0.437,7.0,27.0,1.53
clinvar,sigma,0.766,0.439,0.001,1.483,0.04,0.007,107.0,1190.0,1.03
clinvar,beta[trunc],-0.192,0.824,-1.833,1.276,0.075,0.015,130.0,401.0,1.03
clinvar,beta[clinvar_plp],-0.07,0.815,-1.52,1.497,0.249,0.105,12.0,37.0,1.24
clinvar,beta[clinvar_blb],0.161,0.968,-1.704,1.905,0.012,0.017,6418.0,2931.0,1.0
clinvar,beta[clinvar_none],0.044,0.724,-1.315,1.458,0.062,0.013,149.0,177.0,1.02
clinvar,tau,0.453,0.321,0.0,1.03,0.013,0.007,789.0,1425.0,1.01
clinvar,g0,0.453,1.215,-1.81,1.87,0.571,0.3,7.0,28.0,1.53
clinvar,g1,-0.427,1.007,-2.034,1.582,0.389,0.157,8.0,31.0,1.44
clinvar,g2,-0.224,0.438,-1.035,0.612,0.142,0.03,9.0,32.0,1.35
clinvar,p_asc,0.878,0.196,0.508,1.0,0.097,0.057,7.0,29.0,1.53
insilico_clinvar,alpha,1.941,1.857,-0.212,5.801,0.852,0.479,7.0,29.0,1.53
insilico_clinvar,sigma,0.771,0.453,0.0,1.521,0.04,0.008,88.0,171.0,1.05
insilico_clinvar,beta[trunc],-0.178,0.843,-1.745,1.407,0.047,0.017,402.0,1317.0,1.01
insilico_clinvar,beta[am],-0.071,0.437,-0.849,0.824,0.011,0.088,1708.0,46.0,1.1
insilico_clinvar,beta[am_missing],0.125,0.864,-1.436,1.794,0.012,0.017,5396.0,2752.0,1.0
insilico_clinvar,beta[clinvar_plp],0.008,0.821,-1.468,1.655,0.233,0.124,14.0,32.0,1.19
insilico_clinvar,beta[clinvar_blb],0.173,0.97,-1.527,2.046,0.012,0.018,6186.0,2657.0,1.0
insilico_clinvar,beta[clinvar_none],0.055,0.763,-1.358,1.5,0.074,0.025,120.0,148.0,1.03
insilico_clinvar,tau,0.453,0.322,0.0,1.019,0.013,0.006,719.0,1309.0,1.02
insilico_clinvar,g0,0.474,1.221,-1.83,1.851,0.572,0.298,7.0,29.0,1.53
insilico_clinvar,g1,-0.421,1.01,-2.034,1.564,0.389,0.152,8.0,30.0,1.45
insilico_clinvar,g2,-0.241,0.444,-1.041,0.569,0.143,0.011,9.0,32.0,1.37
insilico_clinvar,p_asc,0.877,0.197,0.502,1.0,0.097,0.057,7.0,27.0,1.53
