model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,154,203.0,599,0.36259026139463746,0.06367269809166934,0.04231572428371455,0.3045045907119583,-0.6187834728910072,-0.20970458263251163,-2.084648495448,1.8899993479582036,1.04,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,154,203.0,599,0.36344748276634353,0.06379160291087103,0.04245751260052598,0.3053322359328285,-0.6196389918029003,-0.2099945164206824,-2.098149969109886,1.8975615327976532,1.02,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,154,203.0,599,0.36211908721247066,0.06316749364044165,0.042581215892860944,0.30689089366721606,-0.6211226159767623,-0.21049731392868573,-1.8304188884857981,1.7947225862953489,1.84,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,154,203.0,599,0.3706978229563275,0.0651505146713203,0.043348002992458175,0.3106081630210683,-0.6316001641553242,-0.2140481357654938,-0.8487205466535053,1.307914840285233,1.83,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,154,203.0,599,0.37185702922964775,0.0652847741157955,0.043458725783774306,0.31185139136435386,-0.6319187243734968,-0.21415609523843046,-0.6542717825519815,1.2154825558046929,1.83,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,0.0008572213717060893,-0.0011805709759873076,0.002929267480373565
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,-0.00047117418216681547,-0.0071867971616446265,0.004677439250187047
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,0.008107561561690091,0.003513942565589071,0.013648091064514268
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,0.009266767835010266,0.0045117562715078505,0.01519378857845414
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,-0.008107561561690091,-0.013640843853211343,-0.0033583221171888584
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,-0.007250340189984002,-0.012281794197906638,-0.0030647953826608773
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,-0.008578735743856907,-0.016720857435571196,-0.0017718221924524847
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,154,203.0,599,,,,,,,,,,,0.0011592062733201756,-0.0010008648347192323,0.0034159172714771373
posterior_from_half_A,split_paper_half_B,alternating,19,,87,0.2777861181236582,0.02636402336370046,0.03298435809741599,0.2884489310141857,,,,,,,,,
prior_only,split_paper_half_B,alternating,19,,87,0.26967998419473543,0.024434113439160292,0.03140494026881929,0.280998593885978,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,19,,87,0.2913695601821692,0.029521098031477736,0.033652764217347704,0.29027122084023205,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,19,,87,0.330310697990904,0.04714775695353673,0.0503808503540374,0.3279186417400177,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,19,,87,,,,,,,,,,,-0.05252457986724575,-0.13743996574836917,0.018232964996320218
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,19,,87,,,,,,,,,,,-0.013583442058510926,-0.03990006170534585,0.017927613947038255
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,19,,87,,,,,,,,,,,0.008106133928922829,-0.001111557727434593,0.018021363230076963
