scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,27,25,0.78,0.5581538461538462,0.9235042735042736,,,,,,,,
clinvar_plp_binary,0.25,5,27,25,0.8,0.7083333333333334,0.8913043478260869,0.6,1.0,1.0,0.16666666666666666,15.0,0.0,10.0,2.0
alphamissense_missense_only,0.25,5,27,25,0.9,0.7307692307692307,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,39,37,0.9864864864864865,0.9210526315789473,1.0,,,,,,,,
base_oof_prior,0.25,5,39,37,0.0945945945945946,0.0,0.23684210526315788,,,,,,,,
class_oof_prior,0.25,5,39,37,0.25675675675675674,0.12037037037037036,0.40540540540540543,,,,,,,,
insilico_oof_prior,0.25,5,39,37,0.6486486486486487,0.4864864864864865,0.7894736842105263,,,,,,,,
clinvar_oof_prior,0.25,5,39,37,0.6351351351351351,0.47280405405405407,0.7875852826510722,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,39,37,0.6756756756756757,0.4585328185328185,0.868421052631579,,,,,,,,
clinvar_ordinal,0.5,5,27,24,0.75,0.5576923076923077,0.92,,,,,,,,
clinvar_plp_binary,0.5,5,27,24,0.8125,0.7142857142857143,0.9127470355731223,0.625,1.0,1.0,0.25,15.0,0.0,9.0,3.0
alphamissense_missense_only,0.5,5,27,24,0.875,0.7274170274170274,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,39,35,0.9928571428571429,0.9545454545454546,1.0,,,,,,,,
base_oof_prior,0.5,5,39,35,0.2357142857142857,0.02142857142857143,0.5785714285714286,,,,,,,,
class_oof_prior,0.5,5,39,35,0.2857142857142857,0.02702702702702703,0.5945945945945946,,,,,,,,
insilico_oof_prior,0.5,5,39,35,0.65,0.40167140825035563,0.8817592592592594,,,,,,,,
clinvar_oof_prior,0.5,5,39,35,0.5214285714285715,0.21052631578947367,0.7520270270270267,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,39,35,0.6071428571428571,0.3944736842105263,0.8201470588235291,,,,,,,,
clinvar_ordinal,0.75,5,27,22,0.7,0.4362987012987013,0.9168478260869565,,,,,,,,
clinvar_plp_binary,0.75,5,27,22,0.7181818181818181,0.45,0.8913043478260869,0.6363636363636364,0.8,0.9333333333333333,0.3333333333333333,14.0,1.0,8.0,4.0
alphamissense_missense_only,0.75,5,27,22,0.7454545454545455,0.5177525252525252,0.9272727272727272,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,39,32,0.9330357142857143,0.7836009538950716,1.0,,,,,,,,
base_oof_prior,0.75,5,39,32,0.33482142857142855,0.05878151260504202,0.6068965517241379,,,,,,,,
class_oof_prior,0.75,5,39,32,0.34375,0.13391369047619048,0.5670758928571428,,,,,,,,
insilico_oof_prior,0.75,5,39,32,0.5357142857142857,0.3257155987394958,0.7567857142857143,,,,,,,,
clinvar_oof_prior,0.75,5,39,32,0.5223214285714286,0.2821824596774194,0.7543916034155594,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,39,32,0.53125,0.2978832442067736,0.7428571428571429,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,23,19,0.6710526315789473,0.34833333333333333,0.9439473684210512,,,,,,,,
split_alternating_prior_only,0.75,5,23,19,0.6842105263157895,0.40566950464396284,0.9508928571428571,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,23,19,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,23,19,0.5328947368421053,0.20238095238095238,0.8636363636363636,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,23,19,0.5,0.19047619047619047,0.8472619047619045,,,,,,,,
