model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,1.555,1.82,-0.182,5.443,0.808,0.575,9.0,25.0,1.36
base,sigma,1.067,0.448,0.152,1.868,0.033,0.041,232.0,81.0,1.03
base,tau,0.51,0.388,0.001,1.217,0.071,0.045,39.0,74.0,1.08
base,g0,1.259,2.114,-3.086,3.249,0.948,0.666,9.0,27.0,1.35
base,g1,-1.316,1.767,-3.194,2.49,0.774,0.532,9.0,26.0,1.36
base,g2,-0.297,0.443,-0.815,0.682,0.184,0.118,9.0,27.0,1.35
base,p_asc,0.912,0.162,0.557,1.0,0.072,0.053,9.0,26.0,1.35
class,alpha,0.68,0.453,-0.135,1.572,0.013,0.009,1281.0,1400.0,1.0
class,sigma,0.998,0.402,0.187,1.732,0.017,0.008,552.0,602.0,1.01
class,beta[trunc],-0.203,0.616,-1.364,0.949,0.012,0.009,2679.0,2843.0,1.0
class,tau,0.432,0.326,0.0,1.02,0.014,0.01,561.0,890.0,1.01
class,g0,2.357,0.447,1.57,3.246,0.01,0.007,1819.0,2151.0,1.0
class,g1,-2.175,0.536,-3.144,-1.139,0.009,0.009,3898.0,3163.0,1.0
class,g2,-0.515,0.199,-0.895,-0.171,0.005,0.008,2632.0,1269.0,1.0
class,p_asc,0.993,0.005,0.983,1.0,0.0,0.0,2686.0,1888.0,1.0
insilico,alpha,1.04,0.512,0.115,2.045,0.014,0.009,1305.0,1883.0,1.0
insilico,sigma,1.048,0.421,0.192,1.841,0.018,0.015,537.0,250.0,1.01
insilico,beta[trunc],-0.301,0.627,-1.495,0.847,0.013,0.009,2279.0,3056.0,1.0
insilico,beta[am],0.565,0.399,-0.152,1.37,0.009,0.006,1839.0,2490.0,1.0
insilico,beta[am_missing],0.426,0.936,-1.392,2.105,0.013,0.016,5059.0,2844.0,1.0
insilico,tau,0.431,0.317,0.0,1.0,0.011,0.008,864.0,1232.0,1.0
insilico,g0,2.137,0.48,1.245,3.063,0.013,0.007,1389.0,2437.0,1.0
insilico,g1,-2.197,0.566,-3.294,-1.201,0.009,0.009,3810.0,2382.0,1.0
insilico,g2,-0.424,0.192,-0.801,-0.082,0.004,0.003,2436.0,2981.0,1.0
insilico,p_asc,0.993,0.005,0.984,1.0,0.0,0.0,2056.0,1283.0,1.0
clinvar,alpha,0.99,0.649,-0.174,2.302,0.02,0.011,1064.0,1668.0,1.01
clinvar,sigma,1.14,0.425,0.269,1.973,0.017,0.012,638.0,386.0,1.01
clinvar,beta[trunc],-0.459,0.667,-1.71,0.791,0.013,0.009,2566.0,2883.0,1.0
clinvar,beta[clinvar_plp],0.64,0.719,-0.67,2.035,0.014,0.01,2806.0,2565.0,1.0
clinvar,beta[clinvar_blb],-0.582,0.67,-1.836,0.663,0.018,0.01,1323.0,1925.0,1.0
clinvar,beta[clinvar_none],0.411,0.689,-0.857,1.727,0.014,0.01,2302.0,2477.0,1.0
clinvar,tau,0.422,0.322,0.0,1.002,0.014,0.009,601.0,971.0,1.0
clinvar,g0,2.028,0.52,1.059,3.046,0.016,0.01,1059.0,1871.0,1.0
clinvar,g1,-2.235,0.559,-3.262,-1.196,0.009,0.009,3842.0,3066.0,1.0
clinvar,g2,-0.417,0.221,-0.825,-0.066,0.008,0.021,1423.0,850.0,1.0
clinvar,p_asc,0.993,0.005,0.984,1.0,0.0,0.0,1891.0,1493.0,1.0
insilico_clinvar,alpha,1.359,0.712,0.04,2.679,0.022,0.013,1016.0,1573.0,1.0
insilico_clinvar,sigma,1.225,0.415,0.47,2.036,0.015,0.012,759.0,498.0,1.01
insilico_clinvar,beta[trunc],-0.461,0.678,-1.74,0.782,0.012,0.01,3049.0,2888.0,1.0
insilico_clinvar,beta[am],0.46,0.438,-0.412,1.249,0.01,0.007,1901.0,2576.0,1.0
insilico_clinvar,beta[am_missing],0.4,0.927,-1.278,2.174,0.015,0.014,3960.0,2999.0,1.0
insilico_clinvar,beta[clinvar_plp],0.402,0.75,-1.028,1.776,0.014,0.011,2821.0,3133.0,1.0
insilico_clinvar,beta[clinvar_blb],-0.581,0.661,-1.806,0.673,0.016,0.01,1719.0,2176.0,1.0
insilico_clinvar,beta[clinvar_none],0.295,0.735,-1.016,1.737,0.014,0.011,2696.0,2767.0,1.0
insilico_clinvar,tau,0.425,0.318,0.0,1.006,0.012,0.011,824.0,727.0,1.0
insilico_clinvar,g0,1.864,0.534,0.915,2.903,0.016,0.009,1179.0,1915.0,1.0
insilico_clinvar,g1,-2.209,0.574,-3.301,-1.116,0.009,0.01,3850.0,2542.0,1.0
insilico_clinvar,g2,-0.362,0.241,-0.766,0.021,0.012,0.036,1228.0,803.0,1.0
insilico_clinvar,p_asc,0.994,0.005,0.984,1.0,0.0,0.0,2476.0,1974.0,1.0
