model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,233,323.0,876,0.3462585146742931,0.0519509932520499,0.03324906492936973,0.19033465558032145,-0.3759307869991986,-0.13861374908760404,-0.07275583523730594,0.9424270950838157,1.02,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,233,323.0,876,0.3492419164779479,0.0525704170764303,0.03341049238186823,0.19086842527016532,-0.37629006117371866,-0.13874622118619992,-0.0027581820499249753,0.8991856832610396,1.03,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,233,323.0,876,0.34782536306161393,0.05194744498316962,0.033536098884326966,0.1911133102579991,-0.37420240773932323,-0.13797645856141713,0.01875820738673189,0.8958330656092997,1.19,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,233,323.0,876,0.35598783873641937,0.054289834942277876,0.03343006246206772,0.19072109292963665,-0.37458374383031573,-0.13811706536209128,0.2520026664557943,0.7766368913647544,1.61,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,233,323.0,876,0.3527998458582307,0.05324930493102477,0.03347219139186579,0.18986881721050347,-0.3734610308668854,-0.13770309699772146,0.1903077775844633,0.8052592770602598,1.04,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,0.0029834018036548034,-0.0011489891741002728,0.008202034540888047
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,0.0015668483873208488,-0.007357100693130425,0.011336158340125834
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,0.009729324062126298,-0.0024645650850404206,0.024574172393694128
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,0.006541331183937605,-0.0065548993056698075,0.020521634265038037
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,-0.009729324062126298,-0.024230278727946822,0.0024672957979065655
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,-0.006745922258471495,-0.016257806079320092,0.002205484956695905
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,-0.008162475674805448,-0.019764808693128137,0.005502960420190182
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,323.0,876,,,,,,,,,,,-0.003187992878188693,-0.009044806728921755,0.0037927882420500073
posterior_from_half_A,split_paper_half_B,alternating,23,,252,0.41622541531012885,0.015163231973851193,0.021746040084833215,0.3066518194737571,,,,,,,,,
prior_only,split_paper_half_B,alternating,23,,252,0.420421405025894,0.01580378536371702,0.022213913514164737,0.30776909646532474,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,23,,252,0.4547169159845427,0.02633913891995328,0.0354364365210721,0.35282125096802774,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,23,,252,0.4817637593220207,0.041250753751730415,0.05605698380667066,0.4055326478651576,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,23,,252,,,,,,,,,,,-0.06553834401189186,-0.21353022480522932,0.0020526736118711897
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,23,,252,,,,,,,,,,,-0.03849150067441392,-0.09739175526251571,0.01066613383233574
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,23,,252,,,,,,,,,,,-0.004195989715765133,-0.021768445877140188,0.010522181168617101
posterior_from_half_A,split_paper_half_B,design,9,,146,0.7327839139863048,0.11506787286388222,0.12158942589508064,0.6906327716872165,,,,,,,,,
prior_only,split_paper_half_B,design,9,,146,0.7525503578606557,0.12139029366722527,0.12686971726205018,0.7079937193777655,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,9,,146,1.310490853333084,0.20285564323484723,0.2125721857067319,1.2663213087336775,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,9,,146,1.1674349734752776,0.18452184965288862,0.19218963413759488,1.1349321478649332,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,9,,146,,,,,,,,,,,-0.4346510594889728,-1.0755076779844248,-0.06039014436219346
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,9,,146,,,,,,,,,,,-0.5777069393467791,-1.1706388964081849,-0.19661284814473923
posterior_from_half_A,split_delta_nll_vs_prior_only,design,9,,146,,,,,,,,,,,-0.019766443874350958,-0.07742956646084975,0.007347636398104202
