scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,52,26,0.9023668639053254,0.8124813988095239,0.9687534722222222,,,,,,,,
clinvar_plp_binary,0.25,5,52,26,0.8461538461538461,0.75,0.9285714285714286,0.6923076923076923,1.0,1.0,0.7647058823529411,18.0,0.0,8.0,26.0
alphamissense_missense_only,0.25,5,52,26,0.9023668639053254,0.8033328096634548,0.9807613927291347,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,65,39,0.9092702169625246,0.823345019896744,0.9752460317460317,,,,,,,,
base_oof_prior,0.25,5,65,39,0.44970414201183434,0.2997447632459074,0.6017340217921612,,,,,,,,
class_oof_prior,0.25,5,65,39,0.5088757396449705,0.36974680724680725,0.6470825426944972,,,,,,,,
insilico_oof_prior,0.25,5,65,39,0.727810650887574,0.5963191699604744,0.8504121621621622,,,,,,,,
clinvar_oof_prior,0.25,5,65,39,0.6538461538461539,0.519696607740086,0.7871938299855921,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,65,39,0.7564102564102564,0.6283219461697722,0.8723312225336517,,,,,,,,
split_design_posterior_from_half_A,0.25,5,11,8,0.5833333333333334,0.16666666666666666,1.0,,,,,,,,
split_design_prior_only,0.25,5,11,8,0.5625,0.15,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.25,5,11,8,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.25,5,11,8,0.7083333333333334,0.25,1.0,,,,,,,,
split_design_clinvar_ordinal,0.25,5,11,8,0.625,0.32261904761904764,0.9375,,,,,,,,
clinvar_ordinal,0.5,5,52,21,0.9700460829493087,0.9318070409982174,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,52,21,0.9285714285714286,0.8421052631578947,1.0,0.8571428571428571,1.0,1.0,0.9117647058823529,18.0,0.0,3.0,31.0
alphamissense_missense_only,0.5,5,52,21,0.9216589861751152,0.8090633291439743,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,65,32,0.8882575757575758,0.784616504226324,0.9723957528957529,,,,,,,,
base_oof_prior,0.5,5,65,32,0.4318181818181818,0.28932994488117825,0.5672514619883041,,,,,,,,
class_oof_prior,0.5,5,65,32,0.540719696969697,0.40630710285882704,0.6850002371916509,,,,,,,,
insilico_oof_prior,0.5,5,65,32,0.7443181818181818,0.5929712512729591,0.8683812804771857,,,,,,,,
clinvar_oof_prior,0.5,5,65,32,0.6571969696969697,0.5097410192147035,0.7979027886624869,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,65,32,0.7670454545454546,0.6268288015352769,0.8918445920303605,,,,,,,,
split_design_posterior_from_half_A,0.5,5,11,5,0.5666666666666667,0.20833333333333334,0.9683333333333318,,,,,,,,
split_design_prior_only,0.5,5,11,5,0.6,0.22162698412698412,0.9486111111111073,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,11,5,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,11,5,0.7,0.3333333333333333,1.0,,,,,,,,
split_design_clinvar_ordinal,0.5,5,11,5,0.7,0.3569940476190476,1.0,,,,,,,,
clinvar_ordinal,0.75,5,52,18,0.9444444444444444,0.8810540874615975,0.9895833333333334,,,,,,,,
clinvar_plp_binary,0.75,5,52,18,0.9150326797385621,0.8186274509803921,0.9868505398110661,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.9411764705882353,16.0,2.0,2.0,32.0
alphamissense_missense_only,0.75,5,52,18,0.9477124183006536,0.8609009906045751,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,65,28,0.8774131274131274,0.7732778091473743,0.9655254204017536,,,,,,,,
base_oof_prior,0.75,5,65,28,0.41312741312741313,0.27487276237276237,0.5534006342494714,,,,,,,,
class_oof_prior,0.75,5,65,28,0.5540540540540541,0.39676079545454546,0.7007880116959064,,,,,,,,
insilico_oof_prior,0.75,5,65,28,0.7422779922779923,0.5938701447377668,0.8827222515856237,,,,,,,,
clinvar_oof_prior,0.75,5,65,28,0.6544401544401545,0.5209047619047619,0.7924842664092664,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,65,28,0.7577220077220077,0.6138525402807506,0.8833241434403674,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,23,19,0.5789473684210527,0.0,0.9047619047619048,,,,,,,,
split_alternating_prior_only,0.75,5,23,19,0.5921052631578947,0.08701298701298703,0.9047619047619048,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,23,19,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,23,19,0.42105263157894735,0.051381578947368424,0.7625000000000001,,,,,,,,
split_design_posterior_from_half_A,0.75,5,11,5,0.5666666666666667,0.2,0.9333333333333333,,,,,,,,
split_design_prior_only,0.75,5,11,5,0.6,0.21428571428571427,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,11,5,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,11,5,0.7,0.32142857142857145,1.0,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,23,19,0.5,0.18325358851674642,0.8809523809523809,,,,,,,,
split_design_clinvar_ordinal,0.75,5,11,5,0.7,0.35714285714285715,1.0,,,,,,,,
