model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,-7.442,0.77,-8.884,-6.011,0.019,0.012,1682.0,2317.0,1.0
base,sigma,2.947,0.441,2.172,3.809,0.01,0.007,1756.0,2399.0,1.0
base,tau,0.714,0.483,0.003,1.557,0.015,0.009,1053.0,1368.0,1.0
base,g0,4.202,0.446,3.432,5.088,0.009,0.006,2525.0,2972.0,1.0
base,g1,-2.312,0.577,-3.404,-1.27,0.012,0.008,2423.0,2751.0,1.0
base,g2,-0.109,0.267,-0.586,0.392,0.005,0.006,2866.0,2124.0,1.0
base,p_asc,0.927,0.01,0.909,0.945,0.0,0.0,2386.0,2555.0,1.0
class,alpha,-7.492,0.756,-8.95,-6.115,0.017,0.013,1944.0,2563.0,1.0
class,sigma,2.843,0.448,2.056,3.725,0.009,0.006,2333.0,2848.0,1.0
class,beta[trunc],1.145,0.919,-0.702,2.783,0.016,0.012,3116.0,3115.0,1.0
class,tau,0.704,0.462,0.0,1.476,0.013,0.006,1175.0,1475.0,1.0
class,g0,4.218,0.458,3.397,5.076,0.009,0.008,3025.0,2504.0,1.0
class,g1,-2.331,0.591,-3.417,-1.176,0.012,0.009,2617.0,2337.0,1.0
class,g2,-0.101,0.265,-0.558,0.421,0.005,0.005,3382.0,2384.0,1.0
class,p_asc,0.926,0.01,0.909,0.945,0.0,0.0,1890.0,2538.0,1.0
insilico,alpha,-6.884,0.828,-8.434,-5.339,0.018,0.012,2215.0,2896.0,1.0
insilico,sigma,2.672,0.466,1.817,3.556,0.01,0.007,2261.0,2425.0,1.0
insilico,beta[trunc],1.142,0.945,-0.672,2.884,0.018,0.015,2883.0,2346.0,1.0
insilico,beta[am],1.1,0.674,-0.099,2.413,0.014,0.01,2261.0,2625.0,1.0
insilico,beta[am_missing],0.008,1.008,-1.876,1.925,0.013,0.017,6478.0,2917.0,1.0
insilico,tau,0.696,0.47,0.0,1.504,0.014,0.007,958.0,840.0,1.0
insilico,g0,4.182,0.451,3.376,5.048,0.008,0.007,3366.0,2626.0,1.0
insilico,g1,-2.262,0.592,-3.326,-1.094,0.011,0.009,3089.0,2790.0,1.0
insilico,g2,-0.089,0.258,-0.53,0.41,0.004,0.005,4176.0,2889.0,1.0
insilico,p_asc,0.925,0.01,0.907,0.943,0.0,0.0,2806.0,2595.0,1.0
clinvar,alpha,-6.941,0.828,-8.463,-5.38,0.02,0.011,1663.0,2480.0,1.0
clinvar,sigma,2.576,0.478,1.693,3.489,0.012,0.007,1608.0,2105.0,1.0
clinvar,beta[trunc],1.066,0.921,-0.676,2.788,0.017,0.013,2900.0,2756.0,1.0
clinvar,beta[clinvar_plp],-0.268,0.936,-2.038,1.491,0.014,0.016,4675.0,2718.0,1.0
clinvar,beta[clinvar_blb],-1.329,0.851,-2.927,0.162,0.02,0.012,1828.0,2677.0,1.0
clinvar,beta[clinvar_none],0.977,0.923,-0.709,2.798,0.017,0.014,2894.0,2729.0,1.0
clinvar,tau,0.726,0.475,0.0,1.536,0.015,0.006,957.0,1134.0,1.0
clinvar,g0,4.177,0.463,3.269,4.987,0.009,0.008,2747.0,2527.0,1.0
clinvar,g1,-2.283,0.594,-3.314,-1.083,0.013,0.009,1986.0,2209.0,1.0
clinvar,g2,-0.086,0.271,-0.582,0.407,0.006,0.006,2930.0,1869.0,1.0
clinvar,p_asc,0.926,0.01,0.908,0.946,0.0,0.0,1854.0,2511.0,1.0
insilico_clinvar,alpha,-6.5,0.884,-8.21,-4.879,0.02,0.013,1873.0,2499.0,1.0
insilico_clinvar,sigma,2.471,0.494,1.589,3.449,0.012,0.008,1800.0,1777.0,1.0
insilico_clinvar,beta[trunc],0.97,0.904,-0.686,2.665,0.017,0.012,2890.0,3069.0,1.0
insilico_clinvar,beta[am],0.999,0.694,-0.273,2.313,0.017,0.01,1650.0,2546.0,1.0
insilico_clinvar,beta[am_missing],0.014,0.984,-1.793,1.846,0.016,0.015,3906.0,2948.0,1.0
insilico_clinvar,beta[clinvar_plp],-0.464,0.925,-2.12,1.298,0.015,0.014,3666.0,2982.0,1.0
insilico_clinvar,beta[clinvar_blb],-1.071,0.85,-2.543,0.59,0.017,0.011,2585.0,2938.0,1.0
insilico_clinvar,beta[clinvar_none],1.0,0.918,-0.657,2.729,0.016,0.013,3259.0,3099.0,1.0
insilico_clinvar,tau,0.746,0.485,0.001,1.57,0.015,0.006,1072.0,1777.0,1.0
insilico_clinvar,g0,4.171,0.447,3.334,5.005,0.008,0.007,3309.0,2996.0,1.0
insilico_clinvar,g1,-2.26,0.581,-3.359,-1.148,0.012,0.008,2503.0,2759.0,1.0
insilico_clinvar,g2,-0.081,0.268,-0.533,0.448,0.005,0.005,3041.0,1965.0,1.0
insilico_clinvar,p_asc,0.925,0.01,0.907,0.946,0.0,0.0,1651.0,2402.0,1.0
