model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.025733787085299328,0.0008374245793562131,0.030322844689313806,0.18234239125825746,-0.49036374823462864,-0.0010568769769581604,-2.4814934047168107,2.2756418781786576,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.01791760947957911,0.0005266851573937352,0.03041763022431324,0.18230756140363732,-0.48928642280206824,-0.0010545550262624499,-2.2447709396178643,2.15065074408598,1.01,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.011728559861295222,0.00037543239626235554,0.030427864617121915,0.1828390478254105,-0.48617371154836186,-0.0010478462251493899,-2.066988346415614,2.0544868179149143,1.02,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.011997614398675936,0.0003724538763400394,0.03031221215258809,0.18196292584692322,-0.48569371903018904,-0.0010468117011997802,-2.0346604948442124,2.0398956163877116,1.01,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.00737408721599526,0.00030036385383268885,0.03037239418450543,0.1825798549090931,-0.5030733864722022,-0.0010842699563272866,-1.808545881122966,1.9031646943453115,1.01,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.00781617760572022,-0.01025237307836354,-0.0023282891497046158
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.014005227224004107,-0.014156884423467535,-0.0034165606501911482
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.013736172686623391,-0.018332948966031763,-0.006031112990220332
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.018359699869304066,-0.022089663606399024,-0.004232243761076692
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,0.013736172686623391,0.006151512060358578,0.018501562629644766
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,0.005919995080903172,0.003566018628452878,0.008144748536882069
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.0002690545373807152,-0.004253227606164844,0.007672750222417628
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.004623527182680677,-0.0055782464037640485,0.0009099749710668766
posterior_from_half_A,split_paper_half_B,alternating,23,,252,0.45391312127957995,0.0261879675066264,0.0227687982405257,0.30471724219036755,,,,,,,,,
prior_only,split_paper_half_B,alternating,23,,252,0.4537834611326042,0.026126302679083658,0.02272092880903663,0.30445118212223987,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,23,,252,5.310549371667412,0.7166598460424257,0.8440458040854529,5.783985329639134,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,23,,252,3.5385320360503725,0.42977906399060595,0.2592854903570926,1.91427706391976,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,23,,252,,,,,,,,,,,-3.0846189147707923,-4.490566317235284,-1.1627163466850692
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,23,,252,,,,,,,,,,,-4.856636250387832,-5.933127698549712,-4.090478098949928
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,23,,252,,,,,,,,,,,0.00012966014697575755,-0.0010287097707164209,0.0012992086249369423
posterior_from_half_A,split_paper_half_B,design,11,,160,0.7968065501387418,0.1448214083670479,0.17801763190569067,0.8269786387179927,,,,,,,,,
prior_only,split_paper_half_B,design,11,,160,0.796806414882454,0.14481999825520708,0.1785393429979159,0.8284977723910348,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,11,,160,0.818275800201229,0.1661996414052679,0.17331447624343577,0.7945374074631949,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,11,,160,1.4386951133589387,0.3162054064270982,0.1503707249003328,0.9720598615799677,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,11,,160,,,,,,,,,,,-0.641888563220197,-0.9623290609541763,0.21028328106320207
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,11,,160,,,,,,,,,,,-0.021469250062487254,-0.4075636896484575,0.5759967506398472
posterior_from_half_A,split_delta_nll_vs_prior_only,design,11,,160,,,,,,,,,,,1.3525628785870936e-07,-0.003144364689827151,0.0012706245182397822
