scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,52,26,0.9023668639053254,0.8124813988095239,0.9687534722222222,,,,,,,,
clinvar_plp_binary,0.25,5,52,26,0.8461538461538461,0.75,0.9285714285714286,0.6923076923076923,1.0,1.0,0.7647058823529411,18.0,0.0,8.0,26.0
alphamissense_missense_only,0.25,5,52,26,0.9023668639053254,0.8033328096634548,0.9807613927291347,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,65,39,0.9743589743589743,0.922813327697943,1.0,,,,,,,,
base_oof_prior,0.25,5,65,39,0.46449704142011833,0.3185002640380215,0.620343745438622,,,,,,,,
class_oof_prior,0.25,5,65,39,0.6518737672583826,0.5101520430788723,0.7800019723865877,,,,,,,,
insilico_oof_prior,0.25,5,65,39,0.908284023668639,0.8229443076433044,0.9756996879089902,,,,,,,,
clinvar_oof_prior,0.25,5,65,39,0.9289940828402367,0.8643750315608746,0.9790031783681215,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,65,39,0.9497041420118343,0.8947303539914876,0.9870078752642706,,,,,,,,
split_design_posterior_from_half_A,0.25,5,11,8,0.6666666666666666,0.22444444444444447,1.0,,,,,,,,
split_design_prior_only,0.25,5,11,8,0.75,0.2222222222222222,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.25,5,11,8,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.25,5,11,8,0.7083333333333334,0.25,1.0,,,,,,,,
split_design_clinvar_ordinal,0.25,5,11,8,0.625,0.32261904761904764,0.9375,,,,,,,,
clinvar_ordinal,0.5,5,52,21,0.9700460829493087,0.9318070409982174,1.0,,,,,,,,
clinvar_plp_binary,0.5,5,52,21,0.9285714285714286,0.8421052631578947,1.0,0.8571428571428571,1.0,1.0,0.9117647058823529,18.0,0.0,3.0,31.0
alphamissense_missense_only,0.5,5,52,21,0.9216589861751152,0.8090633291439743,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,65,32,0.9867424242424242,0.95365666418298,1.0,,,,,,,,
base_oof_prior,0.5,5,65,32,0.3835227272727273,0.24850942975942975,0.5351355737541196,,,,,,,,
class_oof_prior,0.5,5,65,32,0.5984848484848485,0.4497150893187968,0.7315702087286526,,,,,,,,
insilico_oof_prior,0.5,5,65,32,0.9147727272727273,0.8151067907697005,0.9922805662805663,,,,,,,,
clinvar_oof_prior,0.5,5,65,32,0.9204545454545454,0.8319498069498069,0.9816787672765933,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,65,32,0.9393939393939394,0.8683804104856737,0.9942536945812808,,,,,,,,
split_design_posterior_from_half_A,0.5,5,11,5,0.6666666666666666,0.25,1.0,,,,,,,,
split_design_prior_only,0.5,5,11,5,0.7333333333333333,0.4,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,11,5,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,11,5,0.7,0.3333333333333333,1.0,,,,,,,,
split_design_clinvar_ordinal,0.5,5,11,5,0.7,0.3569940476190476,1.0,,,,,,,,
clinvar_ordinal,0.75,5,52,18,0.9444444444444444,0.8810540874615975,0.9895833333333334,,,,,,,,
clinvar_plp_binary,0.75,5,52,18,0.9150326797385621,0.8186274509803921,0.9868505398110661,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.9411764705882353,16.0,2.0,2.0,32.0
alphamissense_missense_only,0.75,5,52,18,0.9477124183006536,0.8609009906045751,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,65,28,0.9768339768339769,0.9412850935828877,1.0,,,,,,,,
base_oof_prior,0.75,5,65,28,0.42277992277992277,0.2855606725146199,0.5680156862745097,,,,,,,,
class_oof_prior,0.75,5,65,28,0.6013513513513513,0.45544633651604804,0.7441957937709279,,,,,,,,
insilico_oof_prior,0.75,5,65,28,0.9092664092664092,0.8180634403326792,0.9779777086308917,,,,,,,,
clinvar_oof_prior,0.75,5,65,28,0.8996138996138996,0.8153357388540577,0.9729907539118066,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,65,28,0.9256756756756757,0.853395852749301,0.988509012539185,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,23,19,0.5789473684210527,0.18181818181818182,1.0,,,,,,,,
split_alternating_prior_only,0.75,5,23,19,0.618421052631579,0.15584415584415584,1.0,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,23,19,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,23,19,0.42105263157894735,0.051381578947368424,0.7625000000000001,,,,,,,,
split_design_posterior_from_half_A,0.75,5,11,5,0.6666666666666666,0.2857142857142857,1.0,,,,,,,,
split_design_prior_only,0.75,5,11,5,0.7333333333333333,0.42857142857142855,1.0,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,11,5,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,11,5,0.7,0.32142857142857145,1.0,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,23,19,0.5,0.18325358851674642,0.8809523809523809,,,,,,,,
split_design_clinvar_ordinal,0.75,5,11,5,0.7,0.35714285714285715,1.0,,,,,,,,
