model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,1.821,0.493,0.909,2.737,0.012,0.007,1576.0,2687.0,1.0
base,sigma,4.735,0.392,4.005,5.458,0.01,0.005,1664.0,2308.0,1.0
base,tau,4.587,0.269,4.072,5.084,0.006,0.004,2306.0,3077.0,1.0
class,alpha,0.739,0.514,-0.227,1.684,0.013,0.008,1443.0,2004.0,1.0
class,sigma,4.156,0.395,3.428,4.898,0.01,0.006,1554.0,2080.0,1.0
class,beta[trunc],3.796,0.728,2.447,5.153,0.012,0.01,3855.0,3619.0,1.0
class,tau,4.557,0.27,4.059,5.073,0.005,0.004,2590.0,2618.0,1.0
insilico,alpha,0.566,0.449,-0.291,1.412,0.01,0.007,2067.0,2399.0,1.0
insilico,sigma,3.113,0.341,2.492,3.789,0.008,0.005,1795.0,2459.0,1.0
insilico,beta[trunc],3.784,0.678,2.528,5.094,0.011,0.01,3654.0,2785.0,1.0
insilico,beta[am],2.827,0.362,2.151,3.516,0.007,0.005,2724.0,2948.0,1.0
insilico,beta[am_missing],1.993,0.883,0.359,3.679,0.012,0.013,5726.0,3185.0,1.0
insilico,tau,4.461,0.268,3.979,4.973,0.005,0.003,3049.0,3186.0,1.0
clinvar,alpha,-1.448,0.46,-2.251,-0.551,0.01,0.006,2218.0,3038.0,1.0
clinvar,sigma,2.385,0.315,1.853,3.028,0.008,0.004,1622.0,2815.0,1.0
clinvar,beta[trunc],2.44,0.662,1.286,3.774,0.01,0.01,4680.0,3280.0,1.0
clinvar,beta[clinvar_plp],2.432,0.576,1.355,3.525,0.009,0.008,4137.0,3205.0,1.0
clinvar,beta[clinvar_blb],-3.156,0.624,-4.299,-1.925,0.01,0.009,3661.0,3270.0,1.0
clinvar,beta[clinvar_none],4.658,0.604,3.558,5.803,0.009,0.008,4783.0,3736.0,1.0
clinvar,tau,4.414,0.267,3.879,4.873,0.005,0.003,2972.0,3384.0,1.0
insilico_clinvar,alpha,-0.712,0.474,-1.629,0.158,0.009,0.006,2799.0,3028.0,1.0
insilico_clinvar,sigma,2.172,0.304,1.63,2.759,0.008,0.004,1572.0,2546.0,1.0
insilico_clinvar,beta[trunc],2.459,0.662,1.264,3.715,0.009,0.011,5033.0,3034.0,1.0
insilico_clinvar,beta[am],2.045,0.366,1.378,2.749,0.006,0.005,3791.0,3129.0,1.0
insilico_clinvar,beta[am_missing],1.383,0.886,-0.237,3.094,0.01,0.016,7339.0,2924.0,1.0
insilico_clinvar,beta[clinvar_plp],0.821,0.651,-0.396,2.04,0.01,0.009,4471.0,3207.0,1.0
insilico_clinvar,beta[clinvar_blb],-2.401,0.658,-3.643,-1.2,0.011,0.01,3566.0,2708.0,1.0
insilico_clinvar,beta[clinvar_none],4.196,0.637,3.097,5.491,0.009,0.009,4632.0,3036.0,1.0
insilico_clinvar,tau,4.416,0.262,3.923,4.912,0.004,0.003,3460.0,3446.0,1.0
