model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.9783041863067381,0.38905490342500565,0.19818038595277687,0.6157773083232092,-0.9277740898208657,-0.0019996239095570667,14.776144302151067,-41.37662575113827,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.7967067375465056,0.3012458032986916,0.1866876951781406,0.5885419705927021,-0.9084074909865683,-0.0019578832374465335,-7.521053155838866,7.944006572036713,1.01,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.20212344890707598,0.03439148119904444,0.17672964033409994,0.5691932268372402,-0.8783183810009827,-0.0018930324247275815,-1.8867203994585267,3.5203043507072316,1.01,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.07863040771734803,0.006509126788012952,0.1822463809184448,0.5779204224553762,-0.8928246423359361,-0.001924297651167842,0.87181308105478,3.1336218306000627,1.01,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,233,389.0,180486,0.03200791576904802,0.0021866112884593564,0.177889112732594,0.5690175772703291,-0.8744929006329705,-0.0018847873981706366,0.6861478292055903,2.268470639461622,1.01,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.18159744876023257,-0.21829736840122668,-0.08214655179394008
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.7761807373996622,-0.7835888251008596,-0.2315554560067794
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.8996737785893901,-0.9170316909880546,-0.30596436692081946
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.9462962705376902,-0.9658531572412665,-0.2522986690865556
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,0.8996737785893901,0.34811121209502116,0.9250887723694513
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,0.7180763298291575,0.2605520812815319,0.7585569281227305
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,0.12349304118972797,0.058917141568309794,0.2657836396809784
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,233,389.0,180486,,,,,,,,,,,-0.0466224919483,-0.05027927444871158,-0.0019284528297170576
posterior_from_half_A,split_paper_half_B,alternating,23,,252,1.3854327251460972,0.3192557759804334,0.1749649071931484,0.7456377365391119,,,,,,,,,
prior_only,split_paper_half_B,alternating,23,,252,0.670976762486169,0.12559409873849858,0.10670845072972057,0.5185713059384718,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,23,,252,5.310549371667412,0.7166598460424257,0.8440458040854529,5.783985329639134,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,23,,252,3.5385320360503725,0.42977906399060595,0.2592854903570926,1.91427706391976,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,23,,252,,,,,,,,,,,-2.1530993109042753,-3.360056888184078,-0.7360859931191849
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,23,,252,,,,,,,,,,,-3.9251166465213148,-5.442884253788228,-3.029760615344977
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,23,,252,,,,,,,,,,,0.7144559626599281,0.05636653990292244,1.030242717792071
posterior_from_half_A,split_paper_half_B,design,11,,160,1.1439158299872674,0.27937798873452835,0.11688319468035298,0.6888691269785032,,,,,,,,,
prior_only,split_paper_half_B,design,11,,160,0.7347758471446468,0.12336033240445703,0.08822149068890288,0.6178955201036502,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,11,,160,0.818275800201229,0.1661996414052679,0.17331447624343577,0.7945374074631949,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,11,,160,1.4386951133589387,0.3162054064270982,0.1503707249003328,0.9720598615799677,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,11,,160,,,,,,,,,,,-0.2947792833716715,-0.917634479735072,0.07881496369019443
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,11,,160,,,,,,,,,,,0.3256400297860383,-0.35669277296882734,0.5660123243653596
posterior_from_half_A,split_delta_nll_vs_prior_only,design,11,,160,,,,,,,,,,,0.4091399828426205,-0.0648311152185909,0.7163407219054649
