model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,2.092,0.313,1.517,2.699,0.007,0.004,1868.0,2647.0,1.0
base,sigma,3.16,0.26,2.698,3.667,0.007,0.004,1396.0,2084.0,1.0
base,tau,0.011,0.008,0.0,0.025,0.0,0.0,3230.0,1748.0,1.0
class,alpha,1.412,0.314,0.864,2.031,0.008,0.004,1678.0,2450.0,1.0
class,sigma,2.955,0.244,2.51,3.417,0.006,0.003,1573.0,2540.0,1.0
class,beta[trunc],2.598,0.555,1.591,3.666,0.011,0.008,2496.0,3008.0,1.0
class,tau,0.011,0.008,0.0,0.025,0.0,0.0,2726.0,2030.0,1.0
insilico,alpha,1.215,0.272,0.727,1.767,0.008,0.005,1278.0,1625.0,1.0
insilico,sigma,2.248,0.198,1.891,2.622,0.006,0.003,1173.0,1785.0,1.0
insilico,beta[trunc],2.348,0.489,1.456,3.268,0.012,0.007,1781.0,2559.0,1.0
insilico,beta[am],1.961,0.244,1.505,2.418,0.008,0.004,970.0,1843.0,1.01
insilico,beta[am_missing],1.952,0.757,0.542,3.369,0.012,0.012,4257.0,2955.0,1.0
insilico,tau,0.011,0.008,0.0,0.025,0.0,0.0,2911.0,1969.0,1.0
clinvar,alpha,-0.12,0.321,-0.736,0.463,0.006,0.004,2427.0,2935.0,1.0
clinvar,sigma,1.83,0.174,1.509,2.15,0.004,0.002,2091.0,3244.0,1.0
clinvar,beta[trunc],0.757,0.493,-0.212,1.645,0.007,0.008,4822.0,3281.0,1.0
clinvar,beta[clinvar_plp],2.451,0.446,1.629,3.294,0.008,0.006,3073.0,3207.0,1.0
clinvar,beta[clinvar_blb],-2.814,0.482,-3.745,-1.905,0.01,0.007,2417.0,2686.0,1.0
clinvar,beta[clinvar_none],3.003,0.467,2.074,3.827,0.008,0.007,3662.0,3017.0,1.0
clinvar,tau,0.011,0.008,0.0,0.025,0.0,0.0,3003.0,1972.0,1.0
insilico_clinvar,alpha,0.354,0.332,-0.231,1.008,0.006,0.005,2935.0,2907.0,1.0
insilico_clinvar,sigma,1.748,0.17,1.434,2.073,0.004,0.002,2112.0,2916.0,1.0
insilico_clinvar,beta[trunc],0.861,0.488,-0.022,1.801,0.007,0.007,4709.0,3378.0,1.0
insilico_clinvar,beta[am],1.2,0.248,0.77,1.702,0.005,0.004,2956.0,2583.0,1.0
insilico_clinvar,beta[am_missing],1.206,0.791,-0.248,2.696,0.009,0.012,7559.0,3279.0,1.0
insilico_clinvar,beta[clinvar_plp],1.333,0.494,0.455,2.294,0.008,0.007,3464.0,3107.0,1.0
insilico_clinvar,beta[clinvar_blb],-2.278,0.509,-3.192,-1.292,0.011,0.008,2225.0,2679.0,1.0
insilico_clinvar,beta[clinvar_none],2.481,0.482,1.564,3.364,0.007,0.007,4154.0,2934.0,1.0
insilico_clinvar,tau,0.01,0.008,0.0,0.025,0.0,0.0,3005.0,1932.0,1.0
