label_set,scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
anchored,clinvar_ordinal,0.25,5,52,26,0.9023668639053254,0.8066649175412294,0.9677529325513197,,,,,,,,
anchored,clinvar_plp_binary,0.25,5,52,26,0.8461538461538461,0.75,0.9310344827586207,0.6923076923076923,1.0,1.0,0.7647058823529411,18.0,0.0,8.0,26.0
anchored,alphamissense_missense_only,0.25,5,52,26,0.9023668639053254,0.8029259259259259,0.9792002436281858,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.25,5,65,39,0.9911242603550295,0.9707515830997612,1.0,,,,,,,,
anchored,base_oof_prior,0.25,5,65,39,0.5295857988165681,0.38605897435897435,0.6705156539379099,,,,,,,,
anchored,class_oof_prior,0.25,5,65,39,0.6597633136094675,0.5232643610570031,0.7824039575289575,,,,,,,,
anchored,insilico_oof_prior,0.25,5,65,39,0.9191321499013807,0.8428794531305775,0.9786611851398437,,,,,,,,
anchored,clinvar_oof_prior,0.25,5,65,39,0.9289940828402367,0.8544825292397661,0.9862650409920379,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.25,5,65,39,0.9358974358974359,0.872287012987013,0.9827755764974655,,,,,,,,
anchored,clinvar_ordinal,0.5,5,52,21,0.9700460829493087,0.9242266414141413,1.0,,,,,,,,
anchored,clinvar_plp_binary,0.5,5,52,21,0.9285714285714286,0.85,1.0,0.8571428571428571,1.0,1.0,0.9117647058823529,18.0,0.0,3.0,31.0
anchored,alphamissense_missense_only,0.5,5,52,21,0.9216589861751152,0.8044290271132376,1.0,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.5,5,65,32,0.9952651515151515,0.9810597076073831,1.0,,,,,,,,
anchored,base_oof_prior,0.5,5,65,32,0.6079545454545454,0.4793754362145303,0.7457598878034734,,,,,,,,
anchored,class_oof_prior,0.5,5,65,32,0.7244318181818182,0.6009606261859582,0.843007448184156,,,,,,,,
anchored,insilico_oof_prior,0.5,5,65,32,0.9228219696969697,0.8275862068965517,0.9942096036923623,,,,,,,,
anchored,clinvar_oof_prior,0.5,5,65,32,0.9337121212121212,0.8585863377609109,0.9900433371801842,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.5,5,65,32,0.9398674242424242,0.8579376741553465,0.9933826224771434,,,,,,,,
anchored,clinvar_ordinal,0.75,5,52,18,0.9444444444444444,0.8870951704545454,0.9892569583783506,,,,,,,,
anchored,clinvar_plp_binary,0.75,5,52,18,0.9150326797385621,0.8291141917293233,0.9861111111111112,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.9411764705882353,16.0,2.0,2.0,32.0
anchored,alphamissense_missense_only,0.75,5,52,18,0.9477124183006536,0.8514579954788932,1.0,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.75,5,65,28,0.9951737451737451,0.983586735231472,1.0,,,,,,,,
anchored,base_oof_prior,0.75,5,65,28,0.6640926640926641,0.5335367503431527,0.7911990665584415,,,,,,,,
anchored,class_oof_prior,0.75,5,65,28,0.7118725868725869,0.5776160714285714,0.8291642245389873,,,,,,,,
anchored,insilico_oof_prior,0.75,5,65,28,0.8976833976833977,0.8058005574573289,0.972981981981982,,,,,,,,
anchored,clinvar_oof_prior,0.75,5,65,28,0.8861003861003861,0.7987238624092072,0.9687591488208186,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.75,5,65,28,0.888030888030888,0.7959770114942529,0.9715616531165312,,,,,,,,
literature,clinvar_ordinal,0.25,5,25,23,0.8260869565217391,0.651856884057971,0.9583333333333334,,,,,,,,
literature,clinvar_plp_binary,0.25,5,25,23,0.8260869565217391,0.7272727272727273,0.9318181818181818,0.6521739130434783,1.0,1.0,0.2,15.0,0.0,8.0,2.0
literature,alphamissense_missense_only,0.25,5,25,23,0.9130434782608695,0.7619047619047619,1.0,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.25,5,37,35,1.0,1.0,1.0,,,,,,,,
literature,base_oof_prior,0.25,5,37,35,0.7214285714285714,0.4166666666666667,0.9714285714285714,,,,,,,,
literature,class_oof_prior,0.25,5,37,35,0.8928571428571429,0.75,0.9861111111111112,,,,,,,,
literature,insilico_oof_prior,0.25,5,37,35,0.9571428571428572,0.8857142857142857,1.0,,,,,,,,
literature,clinvar_oof_prior,0.25,5,37,35,0.9071428571428571,0.7746031746031746,1.0,,,,,,,,
literature,insilico_clinvar_oof_prior,0.25,5,37,35,0.9285714285714286,0.7714285714285715,1.0,,,,,,,,
literature,clinvar_ordinal,0.5,5,25,22,0.803030303030303,0.6428571428571429,0.9565217391304348,,,,,,,,
literature,clinvar_plp_binary,0.5,5,25,22,0.8409090909090909,0.7380952380952381,0.9318181818181818,0.6818181818181818,1.0,1.0,0.3,15.0,0.0,7.0,3.0
literature,alphamissense_missense_only,0.5,5,25,22,0.8939393939393939,0.7391304347826086,1.0,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.5,5,37,33,0.946969696969697,0.8451322115384615,1.0,,,,,,,,
literature,base_oof_prior,0.5,5,37,33,0.7348484848484849,0.4826339285714286,0.9583333333333334,,,,,,,,
literature,class_oof_prior,0.5,5,37,33,0.6590909090909091,0.041666666666666664,0.9511701454775459,,,,,,,,
literature,insilico_oof_prior,0.5,5,37,33,0.7083333333333334,0.027777777777777776,0.9924242424242424,,,,,,,,
literature,clinvar_oof_prior,0.5,5,37,33,0.6704545454545454,0.027777777777777776,0.9714285714285714,,,,,,,,
literature,insilico_clinvar_oof_prior,0.5,5,37,33,0.6856060606060606,0.07291666666666667,1.0,,,,,,,,
literature,clinvar_ordinal,0.75,5,25,20,0.75,0.4889233954451346,0.940095238095238,,,,,,,,
literature,clinvar_plp_binary,0.75,5,25,20,0.75,0.5073728354978355,0.921546052631579,0.7,0.8,0.9333333333333333,0.4,14.0,1.0,6.0,4.0
literature,alphamissense_missense_only,0.75,5,25,20,0.78,0.5690217391304347,0.9585,,,,,,,,
