model,parameter,mean,sd,hdi_3%,hdi_97%,r_hat
base,alpha,-5.466,0.037,-5.534,-5.399,1.0
class,alpha,-3.577,0.059,-3.686,-3.467,1.0
class,beta[trunc],3.358,0.08,3.21,3.509,1.0
insilico,alpha,-0.185,0.097,-0.376,-0.013,1.0
insilico,beta[trunc],-0.705,0.354,-1.331,-0.034,1.0
insilico,beta[am],3.051,0.056,2.951,3.162,1.01
insilico,beta[am_missing],2.217,0.373,1.553,2.921,1.0
clinvar,alpha,0.587,0.097,0.409,0.771,1.0
clinvar,beta[trunc],-0.137,0.128,-0.382,0.101,1.0
clinvar,beta[clinvar_plp],1.26,0.103,1.076,1.456,1.0
clinvar,beta[clinvar_blb],-1.634,0.04,-1.708,-1.559,1.0
clinvar,beta[clinvar_none],1.395,0.142,1.129,1.653,1.0
insilico_clinvar,alpha,0.906,0.129,0.678,1.168,1.0
insilico_clinvar,beta[trunc],-0.863,0.42,-1.675,-0.121,1.0
insilico_clinvar,beta[am],1.523,0.113,1.311,1.733,1.0
insilico_clinvar,beta[am_missing],0.829,0.452,0.015,1.686,1.0
insilico_clinvar,beta[clinvar_plp],0.438,0.126,0.206,0.673,1.0
insilico_clinvar,beta[clinvar_blb],-1.132,0.066,-1.249,-1.0,1.0
insilico_clinvar,beta[clinvar_none],1.053,0.16,0.743,1.342,1.0
