scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,19,17,0.6911764705882353,0.4117647058823529,0.9117647058823529,,,,,,,,
clinvar_plp_binary,0.25,5,19,17,0.7352941176470589,0.6176470588235294,0.8608134920634919,0.47058823529411764,1.0,1.0,0.18181818181818182,8.0,0.0,9.0,2.0
alphamissense_missense_only,0.25,5,18,16,0.90625,0.6470588235294118,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,27,24,1.0,1.0,1.0,,,,,,,,
base_oof_prior,0.25,5,27,24,0.5416666666666666,0.0,1.0,,,,,,,,
class_oof_prior,0.25,5,27,24,0.3611111111111111,0.1527777777777778,0.5796923076923076,,,,,,,,
insilico_oof_prior,0.25,5,27,24,0.625,0.16,0.9583333333333334,,,,,,,,
clinvar_oof_prior,0.25,5,27,24,0.4583333333333333,0.16,0.8076923076923077,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,27,24,0.5277777777777778,0.2610205314009662,0.84,,,,,,,,
clinvar_ordinal,0.5,5,19,16,0.6458333333333334,0.3973214285714286,0.8583333333333333,,,,,,,,
clinvar_plp_binary,0.5,5,19,16,0.75,0.625,0.875,0.5,1.0,1.0,0.2727272727272727,8.0,0.0,8.0,3.0
alphamissense_missense_only,0.5,5,18,15,0.8666666666666667,0.6490196078431373,1.0,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,27,22,1.0,1.0,1.0,,,,,,,,
base_oof_prior,0.5,5,27,22,0.4090909090909091,0.07142857142857142,0.8044685990338165,,,,,,,,
class_oof_prior,0.5,5,27,22,0.41818181818181815,0.1388888888888889,0.7184999999999999,,,,,,,,
insilico_oof_prior,0.5,5,27,22,0.6909090909090909,0.3611111111111111,0.9215934065934066,,,,,,,,
clinvar_oof_prior,0.5,5,27,22,0.5,0.20833333333333334,0.7783816425120773,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,27,22,0.6181818181818182,0.37297258297258296,0.8364525691699605,,,,,,,,
clinvar_ordinal,0.75,5,19,13,0.6730769230769231,0.4211904761904762,0.8928571428571429,,,,,,,,
clinvar_plp_binary,0.75,5,19,13,0.6858974358974359,0.43428571428571433,0.8668749999999998,0.5384615384615384,0.8333333333333334,0.875,0.45454545454545453,7.0,1.0,6.0,5.0
alphamissense_missense_only,0.75,5,18,12,0.75,0.5063311688311688,0.961038961038961,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,27,19,0.9473684210526315,0.8186688311688312,1.0,,,,,,,,
base_oof_prior,0.75,5,27,19,0.27631578947368424,0.06338502506265664,0.5395670890188433,,,,,,,,
class_oof_prior,0.75,5,27,19,0.28289473684210525,0.07142857142857142,0.5357804232804232,,,,,,,,
insilico_oof_prior,0.75,5,27,19,0.5460526315789473,0.27265512265512265,0.8001086956521739,,,,,,,,
clinvar_oof_prior,0.75,5,27,19,0.4605263157894737,0.2166358024691358,0.7171052631578947,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,27,19,0.4868421052631579,0.2351182864450128,0.728289641943734,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,15,12,0.6944444444444444,0.23076923076923078,1.0,,,,,,,,
split_alternating_prior_only,0.75,5,15,12,0.6666666666666666,0.3076923076923077,1.0,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,15,12,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,15,12,0.3472222222222222,0.0,0.8461538461538461,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,15,12,0.5555555555555556,0.17857142857142858,0.9230769230769231,,,,,,,,
