model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,0.614,0.481,-0.245,1.527,0.015,0.009,1112.0,1567.0,1.0
base,sigma,1.031,0.408,0.19,1.76,0.014,0.009,898.0,685.0,1.0
base,tau,0.454,0.322,0.0,1.01,0.012,0.007,723.0,1004.0,1.01
base,g0,1.403,0.499,0.432,2.338,0.012,0.008,1657.0,2265.0,1.0
base,g1,-1.688,0.619,-2.891,-0.59,0.01,0.011,4282.0,2921.0,1.0
base,g2,-0.486,0.28,-0.964,0.015,0.009,0.016,1664.0,972.0,1.01
base,p_asc,0.989,0.009,0.973,1.0,0.0,0.0,3444.0,2314.0,1.0
class,alpha,0.642,0.489,-0.221,1.633,0.017,0.013,968.0,911.0,1.0
class,sigma,1.026,0.448,0.03,1.728,0.018,0.011,623.0,421.0,1.0
class,beta[trunc],-0.234,0.64,-1.438,0.919,0.014,0.009,2176.0,2878.0,1.0
class,tau,0.436,0.318,0.0,1.012,0.012,0.008,761.0,1301.0,1.0
class,g0,1.441,0.506,0.497,2.414,0.014,0.013,1338.0,1054.0,1.0
class,g1,-1.658,0.6,-2.801,-0.548,0.009,0.01,4789.0,2502.0,1.0
class,g2,-0.499,0.289,-0.976,-0.01,0.012,0.026,1381.0,582.0,1.0
class,p_asc,0.989,0.009,0.972,1.0,0.0,0.0,2553.0,1727.0,1.0
insilico,alpha,0.987,0.546,-0.059,2.002,0.017,0.01,980.0,1779.0,1.0
insilico,sigma,1.08,0.436,0.222,1.931,0.017,0.01,638.0,557.0,1.0
insilico,beta[trunc],-0.31,0.681,-1.574,0.977,0.017,0.01,1663.0,2247.0,1.0
insilico,beta[am],0.543,0.417,-0.205,1.339,0.01,0.007,1601.0,2264.0,1.0
insilico,beta[am_missing],0.203,1.012,-1.727,2.066,0.016,0.015,4022.0,2947.0,1.0
insilico,tau,0.432,0.321,0.0,1.01,0.011,0.007,794.0,1701.0,1.0
insilico,g0,1.205,0.548,0.184,2.247,0.018,0.011,951.0,1495.0,1.0
insilico,g1,-1.694,0.628,-2.897,-0.547,0.011,0.01,3493.0,3251.0,1.0
insilico,g2,-0.38,0.271,-0.882,0.095,0.008,0.01,1339.0,1565.0,1.0
insilico,p_asc,0.99,0.009,0.974,1.0,0.0,0.0,2425.0,1583.0,1.0
clinvar,alpha,0.874,0.692,-0.315,2.296,0.019,0.014,1305.0,1408.0,1.0
clinvar,sigma,1.094,0.44,0.244,1.961,0.017,0.013,649.0,439.0,1.0
clinvar,beta[trunc],-0.402,0.732,-1.791,0.956,0.013,0.012,3259.0,2675.0,1.0
clinvar,beta[clinvar_plp],1.144,0.753,-0.238,2.53,0.013,0.012,3260.0,3175.0,1.0
clinvar,beta[clinvar_blb],-0.46,0.707,-1.835,0.845,0.018,0.012,1650.0,2184.0,1.0
clinvar,beta[clinvar_none],0.255,0.741,-1.117,1.679,0.014,0.011,2723.0,2747.0,1.0
clinvar,tau,0.449,0.329,0.0,1.037,0.012,0.007,816.0,1443.0,1.0
clinvar,g0,1.021,0.639,-0.132,2.271,0.019,0.022,1241.0,951.0,1.0
clinvar,g1,-1.66,0.653,-2.842,-0.379,0.012,0.012,2956.0,2033.0,1.0
clinvar,g2,-0.35,0.306,-0.887,0.186,0.009,0.015,1590.0,1239.0,1.0
clinvar,p_asc,0.99,0.009,0.973,1.0,0.0,0.0,2819.0,1885.0,1.0
insilico_clinvar,alpha,1.045,0.729,-0.233,2.464,0.021,0.013,1204.0,1649.0,1.0
insilico_clinvar,sigma,1.159,0.444,0.217,1.939,0.016,0.009,736.0,750.0,1.01
insilico_clinvar,beta[trunc],-0.332,0.727,-1.67,1.021,0.013,0.01,3342.0,2822.0,1.0
insilico_clinvar,beta[am],0.361,0.461,-0.509,1.234,0.01,0.008,2056.0,2055.0,1.0
insilico_clinvar,beta[am_missing],0.263,0.988,-1.502,2.223,0.015,0.016,4390.0,2800.0,1.0
insilico_clinvar,beta[clinvar_plp],0.955,0.774,-0.554,2.328,0.014,0.011,2916.0,3051.0,1.0
insilico_clinvar,beta[clinvar_blb],-0.399,0.698,-1.695,0.858,0.017,0.011,1783.0,2184.0,1.0
insilico_clinvar,beta[clinvar_none],0.12,0.766,-1.216,1.62,0.015,0.011,2473.0,2824.0,1.0
insilico_clinvar,tau,0.429,0.315,0.0,1.001,0.01,0.006,866.0,1202.0,1.01
insilico_clinvar,g0,0.977,0.637,-0.258,2.128,0.018,0.017,1266.0,1642.0,1.0
insilico_clinvar,g1,-1.685,0.65,-2.911,-0.422,0.01,0.012,4193.0,2906.0,1.0
insilico_clinvar,g2,-0.303,0.28,-0.832,0.214,0.007,0.007,1850.0,2348.0,1.0
insilico_clinvar,p_asc,0.989,0.009,0.973,1.0,0.0,0.0,2974.0,2127.0,1.0
