model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,81,124.0,582,0.4683909861553073,0.06813331089498888,0.04736849838290892,0.3124089761317444,-0.7504217323671105,-0.15988366806447027,0.3368115245120329,0.7254256618656589,1.02,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,81,124.0,582,0.4663168109282221,0.06733875650989261,0.04737199510706015,0.3124048497598364,-0.7510887011330484,-0.16002577137542612,0.2275001804951745,0.7902507949313066,1.03,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,81,124.0,582,0.4726920617083021,0.06810176427833041,0.04876732238548732,0.32080471708709285,-0.7746570710684719,-0.16504721101802494,0.47159578705705757,0.6303996703531868,1.05,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,81,124.0,582,0.46916103616812366,0.06875018247373489,0.046563729185426325,0.30864356337405074,-0.749639017045119,-0.15971690397524874,0.4435526000836351,0.6722486309540018,1.03,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,81,124.0,582,0.4739510191524187,0.06960192948389964,0.04909354524608969,0.3197518518666146,-0.7730511496084429,-0.16470505593032117,0.5648519479289362,0.5911739516715739,1.02,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,-0.0020741752270851846,-0.007980679461115034,0.0033061703038851247
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,0.004301075552994835,-0.010563309835400266,0.02281355308865368
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,0.0007700500128163862,-0.012748841627595115,0.0118873285383161
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,0.005560032997111456,-0.013500236437333163,0.02426484522169995
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,-0.0007700500128163862,-0.012070201824341365,0.012511100629591229
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,-0.002844225239901571,-0.012984752014591023,0.009864248186587871
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,0.003531025540178449,-0.01701131222776858,0.02884018917079765
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,81,124.0,582,,,,,,,,,,,0.004789982984295071,-0.01299085491601542,0.0252084108898793
posterior_from_half_A,split_paper_half_B,alternating,15,,213,0.44917355738118386,0.014297965429709363,0.025916836472191233,0.3412337685542088,,,,,,,,,
prior_only,split_paper_half_B,alternating,15,,213,0.4617961789151535,0.018097195359091503,0.027778787090601418,0.3463765931800926,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,15,,213,0.4840214339074101,0.025304089113860315,0.031686998915320556,0.3607963885408923,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,15,,213,0.5098545543937454,0.036410536745305776,0.06095705802836157,0.44718145474114823,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,15,,213,,,,,,,,,,,-0.06068099701256159,-0.22070073203333532,3.2382948929502876e-05
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,15,,213,,,,,,,,,,,-0.03484787652622622,-0.07878935256988212,0.014860929352744332
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,15,,213,,,,,,,,,,,-0.012622621533969678,-0.03509939706774465,0.0034690210110680177
posterior_from_half_A,split_paper_half_B,design,5,,44,0.6970790751478771,0.11153890325297035,0.09290404392367249,0.6015647809173879,,,,,,,,,
prior_only,split_paper_half_B,design,5,,44,0.7629300272355427,0.13520842691997223,0.1060705389940376,0.6402391404113177,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,5,,44,1.232512326887062,0.2268414925952273,0.16812175505482108,0.9650335437978155,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,5,,44,1.4746166583315505,0.25649851513303784,0.19187497526381744,1.1271899181206309,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,5,,44,,,,,,,,,,,-0.7775375831836733,-1.2483678769608777,-0.0995884513184246
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,5,,44,,,,,,,,,,,-0.5354332517391848,-0.8830580885744087,0.06225795094113021
posterior_from_half_A,split_delta_nll_vs_prior_only,design,5,,44,,,,,,,,,,,-0.06585095208766562,-0.11638139632790037,0.013931957175179905
