scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,161,156,0.7019230769230769,0.39737542331881953,0.9308531626807676,,,,,,,,
clinvar_plp_binary,0.25,5,161,156,0.6942307692307692,0.400940892520931,0.9066601602629957,0.7884615384615384,0.6,0.984,0.08333333333333333,123.0,2.0,33.0,3.0
alphamissense_missense_only,0.25,5,150,145,0.5910344827586207,0.1853595890410959,0.9264016639519658,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,213,202,0.9041404140414041,0.8095837917125046,0.9714347961406785,,,,,,,,
base_oof_prior,0.25,5,213,202,0.5598559855985599,0.35269000545374735,0.760474484665661,,,,,,,,
class_oof_prior,0.25,5,213,202,0.6323132313231323,0.4923126093684469,0.7689785269057013,,,,,,,,
insilico_oof_prior,0.25,5,213,202,0.6476147614761476,0.4618353355175343,0.8065547534322329,,,,,,,,
clinvar_oof_prior,0.25,5,213,202,0.6804680468046804,0.4996754286863935,0.8313039788741023,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,213,202,0.6714671467146714,0.48046840595534696,0.8411592639593909,,,,,,,,
split_alternating_posterior_from_half_A,0.25,5,132,126,0.5859788359788359,0.2812139423076923,0.8367428571428569,,,,,,,,
split_alternating_prior_only,0.25,5,132,126,0.6534391534391535,0.3539017318813831,0.9180224867724868,,,,,,,,
split_alternating_pooled_rate_half_A,0.25,5,132,126,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.25,5,132,126,0.5502645502645502,0.27494021164021165,0.8258454078851742,,,,,,,,
split_alternating_clinvar_ordinal,0.25,5,132,126,0.6891534391534392,0.47629921259842517,0.8664509780534352,,,,,,,,
clinvar_ordinal,0.5,5,161,141,0.6627659574468086,0.5365579660575807,0.7752695538635791,,,,,,,,
clinvar_plp_binary,0.5,5,161,141,0.6578014184397163,0.5476170733633421,0.7607181677018633,0.8156028368794326,0.5,0.92,0.2777777777777778,115.0,10.0,26.0,10.0
alphamissense_missense_only,0.5,5,150,130,0.5771153846153846,0.4160036567164179,0.7264488400799035,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,213,177,0.8217200251098556,0.7182297898610288,0.9054737574466235,,,,,,,,
base_oof_prior,0.5,5,213,177,0.5251098556183302,0.4170152104398928,0.6339982247284879,,,,,,,,
class_oof_prior,0.5,5,213,177,0.557909604519774,0.4614749560353644,0.6558346447514134,,,,,,,,
insilico_oof_prior,0.5,5,213,177,0.5466101694915254,0.44078431558694714,0.657677571470675,,,,,,,,
clinvar_oof_prior,0.5,5,213,177,0.626647834274953,0.5250978687355091,0.7253425947937715,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,213,177,0.5616760828625236,0.4499171594758177,0.6753445626324098,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,132,113,0.5752212389380531,0.4173482430512477,0.7176348907019705,,,,,,,,
split_alternating_prior_only,0.5,5,132,113,0.6155100139729855,0.4697686306160882,0.7436248253376805,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,132,113,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,132,113,0.5393572426641826,0.3723038743162582,0.6833770442760271,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,132,113,0.6197019096413601,0.49747292712675256,0.7419565217391304,,,,,,,,
clinvar_ordinal,0.75,5,161,100,0.5479508196721311,0.4809315554656586,0.6173980840878175,,,,,,,,
clinvar_plp_binary,0.75,5,161,100,0.5443442622950819,0.480589058148434,0.6169474897540983,0.81,0.2786885245901639,0.648,0.4722222222222222,81.0,44.0,19.0,17.0
alphamissense_missense_only,0.75,5,150,90,0.5277777777777778,0.43390369710934223,0.6313939782340973,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,213,124,0.792950344327655,0.7292199163904385,0.849867283458187,,,,,,,,
base_oof_prior,0.75,5,213,124,0.4653860094237042,0.38755449273833154,0.5415538267288267,,,,,,,,
class_oof_prior,0.75,5,213,124,0.49601304820587166,0.41989325759209295,0.573352683683379,,,,,,,,
insilico_oof_prior,0.75,5,213,124,0.5074302283436027,0.4277825245121669,0.585753532088299,,,,,,,,
clinvar_oof_prior,0.75,5,213,124,0.550833635375136,0.468226457058796,0.6292283175012733,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,213,124,0.5366980790141356,0.4564068400870013,0.6082639428682471,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,132,91,0.5456982042347897,0.43748710881934566,0.6620377935124667,,,,,,,,
split_alternating_prior_only,0.75,5,132,91,0.5546770302867864,0.4456346660210042,0.6710736282194848,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,132,91,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,132,91,0.5569552398820692,0.4427033588206134,0.6815898624016002,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,132,91,0.6399088716161887,0.5434000838122606,0.7272928770421123,,,,,,,,
