scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,207,160,0.8271276595744681,0.7612962794306255,0.8815905054745061,,,,,,,,
clinvar_plp_binary,0.25,5,207,160,0.816156914893617,0.7485880054637913,0.8772782212030015,0.78125,0.851063829787234,0.946969696969697,0.5333333333333333,125.0,7.0,35.0,40.0
alphamissense_missense_only,0.25,5,189,147,0.8428085519922255,0.7714558080808082,0.9049388450747864,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,259,206,0.9342370397508701,0.8963208268582967,0.9651166180758017,,,,,,,,
base_oof_prior,0.25,5,259,206,0.48278072907125846,0.3789092388393172,0.5745517162242408,,,,,,,,
class_oof_prior,0.25,5,259,206,0.5183183733284484,0.43212420301862325,0.6025018576301793,,,,,,,,
insilico_oof_prior,0.25,5,259,206,0.7763326616596447,0.6982651262729292,0.8502628904735012,,,,,,,,
clinvar_oof_prior,0.25,5,259,206,0.7614947792636014,0.6711696001738374,0.8483127432315144,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,259,206,0.7878732368565672,0.702984919094523,0.8667133839562954,,,,,,,,
split_alternating_posterior_from_half_A,0.25,5,132,126,0.667989417989418,0.4196594704198473,0.9011383489173229,,,,,,,,
split_alternating_prior_only,0.25,5,132,126,0.6970899470899471,0.42338501291989666,0.9302325581395349,,,,,,,,
split_alternating_pooled_rate_half_A,0.25,5,132,126,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.25,5,132,126,0.6593915343915344,0.37325581395348834,0.9238041698719845,,,,,,,,
split_alternating_clinvar_ordinal,0.25,5,132,126,0.6891534391534392,0.4795513425349831,0.8721668157423971,,,,,,,,
clinvar_ordinal,0.5,5,207,128,0.8143295094936709,0.7569345404652347,0.8720177813031855,,,,,,,,
clinvar_plp_binary,0.5,5,207,128,0.8109177215189873,0.756424559533362,0.8660089205058717,0.875,0.7468354430379747,0.8484848484848485,0.7866666666666666,112.0,20.0,16.0,59.0
alphamissense_missense_only,0.5,5,189,118,0.8460253043685844,0.776261249241935,0.9048559933232553,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,259,163,0.9300869120654397,0.8999904427179677,0.9567382226053854,,,,,,,,
base_oof_prior,0.5,5,259,163,0.5184049079754601,0.4446676899820529,0.5952021908117026,,,,,,,,
class_oof_prior,0.5,5,259,163,0.48101993865030673,0.408753336839843,0.5600622702497148,,,,,,,,
insilico_oof_prior,0.5,5,259,163,0.7703859918200409,0.7016846112723261,0.8346213787103927,,,,,,,,
clinvar_oof_prior,0.5,5,259,163,0.7047546012269938,0.6288758596604341,0.7744106202974095,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,259,163,0.7606083844580777,0.6885285267616998,0.8311526717097496,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,132,113,0.5905915230554262,0.44535480859010274,0.7240150900236128,,,,,,,,
split_alternating_prior_only,0.5,5,132,113,0.5894271075919888,0.4357389534146393,0.7457156380921689,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,132,113,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,132,113,0.5384257102934327,0.3781091969373219,0.6930307760927743,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,132,113,0.6197019096413601,0.5001933934631545,0.741222893037679,,,,,,,,
clinvar_ordinal,0.75,5,207,84,0.6958478513356562,0.6395786397521774,0.7484542228384723,,,,,,,,
clinvar_plp_binary,0.75,5,207,84,0.6946864111498258,0.6350738573648025,0.7525713164077483,0.8690476190476191,0.5203252032520326,0.553030303030303,0.8533333333333334,73.0,59.0,11.0,64.0
alphamissense_missense_only,0.75,5,189,78,0.7341187341187341,0.6648459238701586,0.807614978103331,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,259,106,0.9168824762609447,0.8812745737886557,0.9490306447815929,,,,,,,,
base_oof_prior,0.75,5,259,106,0.5334196571710446,0.4616309071027013,0.6090621042634022,,,,,,,,
class_oof_prior,0.75,5,259,106,0.46750524109014674,0.39767669769149916,0.5382871833696314,,,,,,,,
insilico_oof_prior,0.75,5,259,106,0.690035762732766,0.6249802834613674,0.752323557194822,,,,,,,,
clinvar_oof_prior,0.75,5,259,106,0.5951412011345418,0.5244224429970011,0.6627586381387292,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,259,106,0.6801701812800592,0.6135715816054463,0.7494103237256597,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,132,91,0.555883141248995,0.42771421448107666,0.6604194972826086,,,,,,,,
split_alternating_prior_only,0.75,5,132,91,0.5026802465826856,0.3936453001242838,0.6242824277130117,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,132,91,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,132,91,0.5510586974001608,0.43226493464653903,0.6617071935157042,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,132,91,0.6399088716161887,0.5459549869513195,0.728308475378788,,,,,,,,
