model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.8251633370963274,0.27120177931268524,0.16913266365281276,0.6026505372120262,-1.155182307398005,-0.09877560210408484,12.441325011285844,-18.927242833617594,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.8121110463912162,0.26552846794043233,0.16908574084517777,0.6024004823315681,-1.1534027765891268,-0.0986234406435223,6.721859362395923,-10.285704051935754,1.01,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.5544989515768418,0.1415791121421579,0.16335809621823383,0.5917014916751809,-1.1360304668750698,-0.09713799515067213,-0.37739840312750156,1.0387524747318277,1.02,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.445703569652,0.09822159199891645,0.16578783775609768,0.5938616215827895,-1.1437372729967308,-0.09779697720925401,-0.18276631799891735,2.2678240515752535,1.02,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.4207021613456414,0.0980958307567599,0.16614314259050947,0.5960497406040878,-1.1411126854590712,-0.09757255790102279,-0.12939963385561187,1.566843352656994,1.01,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.013052290705111142,-0.027077753587838583,0.0029239278011367865
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.2706643855194856,-0.4991864171618117,0.022867575956115996
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.3794597674443274,-0.5354174683387694,-0.13418913037423613
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.4044611757506859,-0.5916241319686487,-0.1697278292831541
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.3794597674443274,0.14148634918132863,0.5416083594637315
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.36640747673921625,0.14804971443046122,0.5333840701579188
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.10879538192484182,-0.034194476921147875,0.331200293023749
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.025001408306358525,-0.08244379217331803,0.05979050107915348
posterior_from_half_A,split_paper_half_B,alternating,132,,3774,0.7345580565552521,0.13560677872372404,0.15024426586936762,0.6777271400814375,,,,,,,,,
prior_only,split_paper_half_B,alternating,132,,3774,0.549711101397106,0.05113909602941295,0.10074762184796178,0.5617163050415596,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,132,,3774,0.8818447245711318,0.21210130883105713,0.25806999543058357,0.8862734334077086,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,132,,3774,0.5766607906065193,0.045794139254207035,0.10950046122800411,0.62922052480635,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,132,,3774,,,,,,,,,,,0.1578972659487328,-0.011938655867053739,0.2690452715301477
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,132,,3774,,,,,,,,,,,-0.14728666801587975,-0.30026707064458935,-0.03900528372598712
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,132,,3774,,,,,,,,,,,0.18484695515814603,0.04662369594881233,0.2856718082612876
