scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,207,160,0.8271276595744681,0.7612962794306255,0.8815905054745061,,,,,,,,
clinvar_plp_binary,0.25,5,207,160,0.816156914893617,0.7485880054637913,0.8772782212030015,0.78125,0.851063829787234,0.946969696969697,0.5333333333333333,125.0,7.0,35.0,40.0
alphamissense_missense_only,0.25,5,189,147,0.8428085519922255,0.7714558080808082,0.9049388450747864,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,259,206,0.9933137937351163,0.9866228830349052,0.9979931638919536,,,,,,,,
base_oof_prior,0.25,5,259,206,0.488642608536362,0.390096365883914,0.580928539640155,,,,,,,,
class_oof_prior,0.25,5,259,206,0.5108078402637846,0.4199280097109934,0.592830118961788,,,,,,,,
insilico_oof_prior,0.25,5,259,206,0.777248580326067,0.7014159527965336,0.8500549175714242,,,,,,,,
clinvar_oof_prior,0.25,5,259,206,0.7810954387250412,0.6985495833974242,0.8632373411300958,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,259,206,0.7952921780545887,0.7154555933602077,0.8685957577435198,,,,,,,,
split_alternating_posterior_from_half_A,0.25,5,132,126,0.593915343915344,0.33062881562881563,0.8288349121010412,,,,,,,,
split_alternating_prior_only,0.25,5,132,126,0.6997354497354498,0.42338501291989666,0.9302325581395349,,,,,,,,
split_alternating_pooled_rate_half_A,0.25,5,132,126,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.25,5,132,126,0.6593915343915344,0.37325581395348834,0.9238041698719845,,,,,,,,
split_alternating_clinvar_ordinal,0.25,5,132,126,0.6891534391534392,0.4795513425349831,0.8721668157423971,,,,,,,,
clinvar_ordinal,0.5,5,207,128,0.8143295094936709,0.7569345404652347,0.8720177813031855,,,,,,,,
clinvar_plp_binary,0.5,5,207,128,0.8109177215189873,0.756424559533362,0.8660089205058717,0.875,0.7468354430379747,0.8484848484848485,0.7866666666666666,112.0,20.0,16.0,59.0
alphamissense_missense_only,0.5,5,189,118,0.8460253043685844,0.776261249241935,0.9048559933232553,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,259,163,0.9973159509202454,0.9933279220779221,1.0,,,,,,,,
base_oof_prior,0.5,5,259,163,0.5267126789366053,0.45106058870258553,0.6050596571328596,,,,,,,,
class_oof_prior,0.5,5,259,163,0.47379856850715746,0.4016908027081305,0.5497214173670939,,,,,,,,
insilico_oof_prior,0.5,5,259,163,0.7674463190184049,0.6985029664398344,0.8308843460121356,,,,,,,,
clinvar_oof_prior,0.5,5,259,163,0.7221370143149284,0.6474392716543198,0.7920752152103825,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,259,163,0.7638675869120655,0.6909998294703731,0.8296487344660181,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,132,113,0.5463437354448067,0.4071163738926897,0.6775422461869247,,,,,,,,
split_alternating_prior_only,0.5,5,132,113,0.5922217047042385,0.4381818842341104,0.7517064144736842,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,132,113,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,132,113,0.5384257102934327,0.3781091969373219,0.6930307760927743,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,132,113,0.6197019096413601,0.5001933934631545,0.741222893037679,,,,,,,,
clinvar_ordinal,0.75,5,207,84,0.6958478513356562,0.6395786397521774,0.7484542228384723,,,,,,,,
clinvar_plp_binary,0.75,5,207,84,0.6946864111498258,0.6350738573648025,0.7525713164077483,0.8690476190476191,0.5203252032520326,0.553030303030303,0.8533333333333334,73.0,59.0,11.0,64.0
alphamissense_missense_only,0.75,5,189,78,0.7341187341187341,0.6648459238701586,0.807614978103331,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,259,106,0.9977802441731409,0.9940183923073076,1.0,,,,,,,,
base_oof_prior,0.75,5,259,106,0.5305216426193119,0.45780994335375386,0.6024908533991321,,,,,,,,
class_oof_prior,0.75,5,259,106,0.4690467381921322,0.3996494924335573,0.5409114951639391,,,,,,,,
insilico_oof_prior,0.75,5,259,106,0.6892341842397336,0.6204341613469229,0.7521272990319736,,,,,,,,
clinvar_oof_prior,0.75,5,259,106,0.6240596867677889,0.5574301202100023,0.6909114826260983,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,259,106,0.6820816376865212,0.6168867186205402,0.7487619820655534,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,132,91,0.5574912891986062,0.4313938364456282,0.66826383583179,,,,,,,,
split_alternating_prior_only,0.75,5,132,91,0.5053604931653712,0.39538856457490734,0.627326481181135,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,132,91,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,132,91,0.5510586974001608,0.43226493464653903,0.6617071935157042,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,132,91,0.6399088716161887,0.5459549869513195,0.728308475378788,,,,,,,,
