scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,207,160,0.8271276595744681,0.7617757299995624,0.8877557895586218,,,,,,,,
clinvar_plp_binary,0.25,5,207,160,0.816156914893617,0.7546567870193793,0.8761910184291172,0.78125,0.851063829787234,0.946969696969697,0.5333333333333333,125.0,7.0,35.0,40.0
alphamissense_missense_only,0.25,5,189,147,0.8428085519922255,0.7715594260126258,0.907272741168369,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,259,206,0.9392745924161935,0.9077520030944124,0.9650064872311462,,,,,,,,
base_oof_prior,0.25,5,259,206,0.5338889906576296,0.4549602146670181,0.6224125791738087,,,,,,,,
class_oof_prior,0.25,5,259,206,0.5719454112474812,0.4821701633032806,0.6623329101225744,,,,,,,,
insilico_oof_prior,0.25,5,259,206,0.7846217255907676,0.7058621309543692,0.8513233747481482,,,,,,,,
clinvar_oof_prior,0.25,5,259,206,0.7921780545887526,0.7137547953964195,0.8626723115995284,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,259,206,0.814297490382854,0.7345778298665088,0.8850956356753643,,,,,,,,
clinvar_ordinal,0.5,5,207,128,0.8143295094936709,0.7561999329898268,0.8695849236641221,,,,,,,,
clinvar_plp_binary,0.5,5,207,128,0.8109177215189873,0.7533453774866775,0.8688228460904596,0.875,0.7468354430379747,0.8484848484848485,0.7866666666666666,112.0,20.0,16.0,59.0
alphamissense_missense_only,0.5,5,189,118,0.8460253043685844,0.776850230441122,0.9054167452696712,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,259,163,0.968941717791411,0.9509649828202932,0.9843448947505458,,,,,,,,
base_oof_prior,0.5,5,259,163,0.5145385991820041,0.4327452271231073,0.5873171179744152,,,,,,,,
class_oof_prior,0.5,5,259,163,0.5270002556237219,0.45565691212556314,0.5998573452504026,,,,,,,,
insilico_oof_prior,0.5,5,259,163,0.8032016871165644,0.7438789021123196,0.8549087742842536,,,,,,,,
clinvar_oof_prior,0.5,5,259,163,0.7439928425357873,0.6727054489463504,0.8124575747036424,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,259,163,0.7877044989775052,0.7212483820860816,0.8541411608928682,,,,,,,,
clinvar_ordinal,0.75,5,207,84,0.6958478513356562,0.6401588247417987,0.7499521072796935,,,,,,,,
clinvar_plp_binary,0.75,5,207,84,0.6946864111498258,0.6388461538461538,0.7513962109138327,0.8690476190476191,0.5203252032520326,0.553030303030303,0.8533333333333334,73.0,59.0,11.0,64.0
alphamissense_missense_only,0.75,5,189,78,0.7341187341187341,0.6621402990276113,0.8021017950479259,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,259,106,0.953816746824516,0.925705879590495,0.9782162519035106,,,,,,,,
base_oof_prior,0.75,5,259,106,0.538876556912073,0.4686401148963949,0.6126492879763257,,,,,,,,
class_oof_prior,0.75,5,259,106,0.5180663460352695,0.4487494663610134,0.5904470609919442,,,,,,,,
insilico_oof_prior,0.75,5,259,106,0.6924096682698236,0.6296866781506417,0.752846247970047,,,,,,,,
clinvar_oof_prior,0.75,5,259,106,0.6487853002836355,0.5829758377908738,0.7152349520443602,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,259,106,0.6708903687261067,0.5978479196448498,0.7358999807221025,,,,,,,,
