scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,100,98,0.4387755102040816,0.40404040404040403,0.46938775510204084,,,,,,,,
clinvar_plp_binary,0.25,5,100,98,0.4387755102040816,0.40379560915275203,0.46938775510204084,0.8775510204081632,0.0,0.9772727272727273,0.0,86.0,2.0,12.0,0.0
alphamissense_missense_only,0.25,5,86,84,0.47619047619047616,0.20238095238095238,0.7563025210084033,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,155,153,0.9934640522875817,0.9798657718120806,1.0,,,,,,,,
base_oof_prior,0.25,5,155,153,0.6339869281045751,0.5546666666666666,0.7142857142857143,,,,,,,,
class_oof_prior,0.25,5,155,153,0.42483660130718953,0.0915032679738562,0.7647058823529411,,,,,,,,
insilico_oof_prior,0.25,5,155,153,0.5392156862745098,0.2662337662337662,0.8079470198675497,,,,,,,,
clinvar_oof_prior,0.25,5,155,153,0.696078431372549,0.42207792207792205,0.9411764705882353,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,155,153,0.8169934640522876,0.7058823529411765,0.9205298013245033,,,,,,,,
clinvar_ordinal,0.5,5,100,97,0.4381443298969072,0.4030612244897959,0.4696969696969697,,,,,,,,
clinvar_plp_binary,0.5,5,100,97,0.4381443298969072,0.4020618556701031,0.46811870100783876,0.8762886597938144,0.0,0.9659090909090909,0.0,85.0,3.0,12.0,0.0
alphamissense_missense_only,0.5,5,86,83,0.5180722891566265,0.23809523809523808,0.7302310924369746,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,155,151,0.9834437086092715,0.9343567506319184,1.0,,,,,,,,
base_oof_prior,0.5,5,155,151,0.43211920529801323,0.20261437908496732,0.6623376623376623,,,,,,,,
class_oof_prior,0.5,5,155,151,0.5529801324503312,0.1437908496732026,0.8100087109899148,,,,,,,,
insilico_oof_prior,0.5,5,155,151,0.5860927152317881,0.31155303030303033,0.891003787878788,,,,,,,,
clinvar_oof_prior,0.5,5,155,151,0.5529801324503312,0.35947712418300654,0.8226407284768212,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,155,151,0.6672185430463576,0.3870796783625731,0.8631238859180036,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,84,83,0.5903614457831325,0.4819277108433735,0.6951219512195121,,,,,,,,
split_alternating_prior_only,0.5,5,84,83,0.1566265060240964,0.08433734939759036,0.23170731707317074,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,84,83,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,84,83,0.6024096385542169,0.4939759036144578,0.7073170731707317,,,,,,,,
