model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,7.073,0.645,5.907,8.343,0.013,0.011,2687.0,2306.0,1.0
base,sigma,1.218,0.437,0.251,1.958,0.016,0.009,764.0,754.0,1.01
base,tau,0.521,0.353,0.0,1.139,0.014,0.006,600.0,1537.0,1.01
base,g0,-2.539,0.167,-2.851,-2.229,0.003,0.002,3232.0,3205.0,1.0
base,g1,1.355,0.284,0.854,1.913,0.004,0.004,4075.0,2917.0,1.0
base,g2,0.173,0.101,-0.016,0.361,0.001,0.002,4826.0,3064.0,1.0
base,p_asc,0.568,0.026,0.518,0.615,0.0,0.0,4761.0,3095.0,1.0
class,alpha,2.191,2.778,0.161,7.489,1.372,0.803,7.0,32.0,1.53
class,sigma,0.658,0.459,0.002,1.537,0.175,0.099,9.0,29.0,1.4
class,beta[trunc],0.282,0.554,-0.585,1.521,0.154,0.133,18.0,32.0,1.16
class,tau,0.478,0.272,0.003,0.909,0.012,0.016,459.0,470.0,1.02
class,g0,1.079,2.097,-2.716,2.591,1.041,0.6,7.0,28.0,1.53
class,g1,-0.629,1.178,-1.805,1.678,0.571,0.322,7.0,32.0,1.53
class,g2,-0.079,0.178,-0.336,0.297,0.073,0.035,8.0,32.0,1.48
class,p_asc,0.891,0.188,0.55,1.0,0.093,0.054,7.0,30.0,1.53
insilico,alpha,3.737,3.287,0.041,7.828,1.62,0.009,6.0,149.0,1.73
insilico,sigma,0.749,0.485,0.0,1.594,0.151,0.034,11.0,236.0,1.28
insilico,beta[trunc],0.469,0.673,-0.635,1.9,0.142,0.095,30.0,211.0,1.12
insilico,beta[am],0.379,0.615,-0.46,1.642,0.192,0.075,13.0,139.0,1.26
insilico,beta[am_missing],-0.074,0.778,-1.596,1.163,0.257,0.041,10.0,139.0,1.32
insilico,tau,0.489,0.311,0.001,1.008,0.016,0.023,393.0,156.0,1.03
insilico,g0,-0.123,2.427,-2.811,2.545,1.206,0.003,6.0,111.0,1.73
insilico,g1,0.028,1.343,-1.712,1.788,0.655,0.004,6.0,114.0,1.73
insilico,g2,-0.002,0.178,-0.299,0.302,0.073,0.002,7.0,124.0,1.6
insilico,p_asc,0.783,0.217,0.536,1.0,0.108,0.0,6.0,145.0,1.73
clinvar,alpha,3.707,2.787,0.236,7.579,1.351,0.011,6.0,130.0,1.74
clinvar,sigma,0.776,0.495,0.002,1.644,0.161,0.04,11.0,120.0,1.29
clinvar,beta[trunc],0.43,0.741,-0.693,1.959,0.215,0.082,14.0,129.0,1.21
clinvar,beta[clinvar_plp],0.32,1.101,-1.346,2.286,0.454,0.021,7.0,168.0,1.62
clinvar,beta[clinvar_blb],0.075,0.91,-1.675,1.752,0.013,0.028,4922.0,1820.0,1.01
clinvar,beta[clinvar_none],0.001,0.665,-1.3,1.237,0.08,0.059,90.0,168.0,1.04
clinvar,tau,0.484,0.309,0.0,1.003,0.013,0.024,660.0,229.0,1.03
clinvar,g0,-0.119,2.407,-2.805,2.516,1.196,0.002,6.0,131.0,1.73
clinvar,g1,0.03,1.331,-1.703,1.755,0.65,0.003,6.0,134.0,1.73
clinvar,g2,0.001,0.193,-0.316,0.324,0.083,0.002,6.0,119.0,1.67
clinvar,p_asc,0.785,0.216,0.54,1.0,0.107,0.0,6.0,120.0,1.73
insilico_clinvar,alpha,5.253,2.532,0.405,7.967,1.212,0.652,7.0,29.0,1.53
insilico_clinvar,sigma,0.903,0.499,0.006,1.72,0.126,0.008,16.0,880.0,1.17
insilico_clinvar,beta[trunc],0.595,0.804,-0.718,2.273,0.132,0.017,40.0,2169.0,1.06
insilico_clinvar,beta[am],0.404,0.644,-0.708,1.745,0.054,0.057,118.0,1777.0,1.08
insilico_clinvar,beta[am_missing],-0.289,0.819,-1.847,1.177,0.161,0.011,26.0,1954.0,1.1
insilico_clinvar,beta[clinvar_plp],0.577,1.03,-1.241,2.419,0.37,0.098,8.0,35.0,1.42
insilico_clinvar,beta[clinvar_blb],0.102,0.911,-1.555,1.891,0.011,0.017,6788.0,2737.0,1.01
insilico_clinvar,beta[clinvar_none],0.069,0.789,-1.382,1.586,0.123,0.014,41.0,2551.0,1.06
insilico_clinvar,tau,0.506,0.329,0.0,1.073,0.013,0.01,1529.0,2372.0,1.02
insilico_clinvar,g0,-1.326,2.086,-2.863,2.448,1.036,0.596,7.0,27.0,1.53
insilico_clinvar,g1,0.681,1.162,-1.568,1.843,0.563,0.316,7.0,30.0,1.53
insilico_clinvar,g2,0.076,0.169,-0.258,0.347,0.066,0.029,8.0,30.0,1.45
insilico_clinvar,p_asc,0.676,0.188,0.53,1.0,0.093,0.053,7.0,34.0,1.53
