model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,871,1228.0,4780,0.18724837106266737,0.023494109446281504,0.021670757895304756,0.1511448779310995,-0.3013757685785184,-0.07742456983565284,2.1406181295377347,0.3002857574424511,1.83,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,871,1228.0,4780,0.18689731364201614,0.02341029247831524,0.021671577163915563,0.15109550231349483,-0.2990810935510301,-0.07683505918005543,2.103234005436682,0.31210467388302476,1.84,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,871,1228.0,4780,0.18748902136193035,0.02354607020498544,0.021667904884996307,0.15103064923740364,-0.29926938724384544,-0.07688343253879544,2.192539953025782,0.282588873220264,1.83,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,871,1228.0,4780,0.18733216256945023,0.023564309671969715,0.021747256807029488,0.15135300001710433,-0.299293937294758,-0.07688973953932278,2.1571797156421373,0.296482954138631,1.83,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,871,1228.0,4780,0.1877455978940341,0.02357511921273814,0.02169315477946294,0.1510971246995397,-0.3000391039153942,-0.07708117565023098,2.2499092742029796,0.264800401839512,1.83,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,-0.00035105742065124197,-0.0011794190459012493,0.00035271113374027793
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,0.00024065029926297605,-0.000413719208518269,0.0008659012964093271
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,8.379150678286514e-05,-0.0009654306973651608,0.0011146934994804142
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,0.0004972268313667359,-0.00046723990350903483,0.0014296413675232021
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,-8.379150678286514e-05,-0.0010783478247139936,0.0009310425018379537
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,-0.0004348489274341071,-0.0015408695437294736,0.00081590370447188
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,0.0001568587924801109,-0.0008515281021536744,0.0013259337649735414
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1228.0,4780,,,,,,,,,,,0.00041343532458387077,-0.00041490509755901076,0.0014746871812409263
posterior_from_half_A,split_paper_half_B,alternating,84,,1645,0.1831077773470401,0.019820172655577638,0.02733367573214077,0.22412338968361076,,,,,,,,,
prior_only,split_paper_half_B,alternating,84,,1645,0.25713062256185004,0.03965515363659281,0.04107875221021603,0.2758108455296301,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,84,,1645,0.11511627196031538,0.006888939632263863,0.012676576159651922,0.15523723810818296,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,84,,1645,0.11892814840515603,0.007303048536477285,0.013165983346257161,0.1630390509228947,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,84,,1645,,,,,,,,,,,0.06417962894188406,0.04268682790279465,0.08548902260177639
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,84,,1645,,,,,,,,,,,0.06799150538672472,0.0458127025713916,0.09083915666126442
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,84,,1645,,,,,,,,,,,-0.07402284521480991,-0.09063548805102294,-0.0501360966335691
posterior_from_half_A,split_paper_half_B,design,37,,559,0.25618463633637983,0.029626815555330026,0.039935433732747695,0.34498780782771443,,,,,,,,,
prior_only,split_paper_half_B,design,37,,559,0.3190542098507519,0.046664382948555086,0.0459891769345907,0.368660804001676,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,37,,559,0.23854987377858722,0.02524960820577994,0.03766796941633792,0.35750369219577977,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,37,,559,0.25590172341407696,0.027168895966743333,0.03871731760096011,0.36738624849052837,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,37,,559,,,,,,,,,,,0.00028291292230286827,-0.11343039501813786,0.06809352695101116
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,37,,559,,,,,,,,,,,0.017634762557792606,-0.06946215004497229,0.07788622052601758
posterior_from_half_A,split_delta_nll_vs_prior_only,design,37,,559,,,,,,,,,,,-0.06286957351437207,-0.09134483672389138,-0.009037393090674764
