scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,176,122,0.817167577413479,0.7534814149487921,0.8853505103791388,,,,,,,,
clinvar_plp_binary,0.25,5,176,122,0.8119307832422586,0.7454545454545455,0.8750534568781183,0.9016393442622951,0.7222222222222222,0.88,0.7647058823529411,110.0,15.0,12.0,39.0
alphamissense_missense_only,0.25,5,157,104,0.8203918722786647,0.7495860342824029,0.8850652177110853,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,231,177,0.8983050847457628,0.8523710848821406,0.9369398928993085,,,,,,,,
base_oof_prior,0.25,5,231,177,0.45741786984724836,0.3703806564670527,0.544555525928674,,,,,,,,
class_oof_prior,0.25,5,231,177,0.6598660807700356,0.5876316700280795,0.7298686769767231,,,,,,,,
insilico_oof_prior,0.25,5,231,177,0.8703703703703703,0.8195643049782344,0.9149685293077293,,,,,,,,
clinvar_oof_prior,0.25,5,231,177,0.8830299225779452,0.8278888700268527,0.9282550090716206,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,231,177,0.8926553672316384,0.8470408163265306,0.9325340692190549,,,,,,,,
clinvar_ordinal,0.5,5,176,96,0.7505859375,0.6917917340511446,0.8133429179544908,,,,,,,,
clinvar_plp_binary,0.5,5,176,96,0.75,0.6881340579710146,0.8124761434816651,0.9375,0.5625,0.72,0.8823529411764706,90.0,35.0,6.0,45.0
alphamissense_missense_only,0.5,5,157,78,0.8278967867575463,0.757011597135741,0.8931471861860342,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,231,150,0.9022222222222223,0.8623848854513823,0.9398395061728395,,,,,,,,
base_oof_prior,0.5,5,231,150,0.4726748971193416,0.39684435462496687,0.5471643022613888,,,,,,,,
class_oof_prior,0.5,5,231,150,0.6731687242798354,0.6019310329766983,0.7419262758051827,,,,,,,,
insilico_oof_prior,0.5,5,231,150,0.8924279835390947,0.8429645938335778,0.9344908798319543,,,,,,,,
clinvar_oof_prior,0.5,5,231,150,0.865679012345679,0.8180471359742016,0.9085335976346895,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,231,150,0.9116872427983539,0.8717956795887338,0.9466110227590209,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,84,83,0.0963855421686747,0.03694670280036134,0.1608950617283949,,,,,,,,
split_alternating_prior_only,0.5,5,84,83,0.012048192771084338,0.0,0.036585365853658534,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,84,83,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,84,83,0.5060240963855421,0.39759036144578314,0.6144578313253012,,,,,,,,
split_design_posterior_from_half_A,0.5,5,38,37,0.0,0.0,0.0,,,,,,,,
split_design_prior_only,0.5,5,38,37,0.05405405405405406,0.0,0.13513513513513514,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,38,37,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,38,37,0.02702702702702703,0.0,0.06756756756756757,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,84,83,0.35542168674698793,0.30120481927710846,0.4014453477868112,,,,,,,,
split_design_clinvar_ordinal,0.5,5,38,37,0.8108108108108109,0.7187687687687688,0.8965540540540535,,,,,,,,
clinvar_ordinal,0.75,5,176,68,0.676130174291939,0.616550079491256,0.7380298457411134,,,,,,,,
clinvar_plp_binary,0.75,5,176,68,0.67619825708061,0.6174123983705672,0.7303983536734531,0.9264705882352942,0.42592592592592593,0.504,0.9019607843137255,63.0,62.0,5.0,46.0
alphamissense_missense_only,0.75,5,157,56,0.7920792079207921,0.7157727490071529,0.8636429015069792,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,231,117,0.8346078872394662,0.7775030767440764,0.8827564104619197,,,,,,,,
base_oof_prior,0.75,5,231,117,0.4709851551956815,0.3912809759566008,0.5450076352912546,,,,,,,,
class_oof_prior,0.75,5,231,117,0.6506972559604138,0.5759150770441672,0.7150994435075543,,,,,,,,
insilico_oof_prior,0.75,5,231,117,0.8354325985904933,0.7824781394379315,0.884137712404087,,,,,,,,
clinvar_oof_prior,0.75,5,231,117,0.8102414155045734,0.7556860908617107,0.8627011927204714,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,231,117,0.8576248313090419,0.8041785704621799,0.9020030421805301,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,84,80,0.3875,0.10007421150278294,1.0,,,,,,,,
split_alternating_prior_only,0.75,5,84,80,0.3703125,0.012195121951219513,0.900886075949364,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,84,80,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,84,80,0.7,0.4490449603291214,0.951660391566265,,,,,,,,
split_design_posterior_from_half_A,0.75,5,38,31,0.5276497695852534,0.27608847091605715,0.7968840005760368,,,,,,,,
split_design_prior_only,0.75,5,38,31,0.5161290322580645,0.24733072916666668,0.764993159562212,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,38,31,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,38,31,0.5668202764976958,0.26465505557061536,0.8779569892473118,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,84,80,0.48125,0.31906626506024094,0.8450484866294445,,,,,,,,
split_design_clinvar_ordinal,0.75,5,38,31,0.6152073732718893,0.3965285034250552,0.8157626088069636,,,,,,,,
