model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,-5.399,0.342,-6.018,-4.755,0.005,0.005,4273.0,3001.0,1.0
base,sigma,1.467,0.262,0.987,1.959,0.005,0.004,2508.0,2916.0,1.0
base,tau,3.013,0.308,2.458,3.627,0.006,0.004,3133.0,3219.0,1.0
base,g0,3.572,0.216,3.168,3.985,0.004,0.003,2842.0,2876.0,1.0
base,g1,-1.537,0.34,-2.181,-0.899,0.004,0.005,7456.0,3383.0,1.0
base,g2,-0.087,0.131,-0.343,0.155,0.002,0.002,5734.0,2820.0,1.0
base,p_asc,0.989,0.002,0.985,0.993,0.0,0.0,1418.0,1519.0,1.0
class,alpha,-5.505,0.347,-6.153,-4.862,0.007,0.005,2707.0,2634.0,1.0
class,sigma,1.365,0.249,0.911,1.844,0.005,0.004,2099.0,2629.0,1.0
class,beta[trunc],2.034,0.636,0.85,3.235,0.01,0.01,3933.0,2874.0,1.0
class,tau,2.868,0.301,2.308,3.438,0.006,0.004,2383.0,2376.0,1.0
class,g0,3.517,0.215,3.122,3.917,0.004,0.004,2525.0,2122.0,1.0
class,g1,-1.532,0.338,-2.171,-0.911,0.005,0.005,4460.0,2851.0,1.0
class,g2,-0.063,0.128,-0.298,0.183,0.002,0.002,4423.0,3391.0,1.0
class,p_asc,0.989,0.002,0.986,0.993,0.0,0.0,1259.0,1487.0,1.0
insilico,alpha,-4.676,0.278,-5.226,-4.175,0.005,0.005,3445.0,2565.0,1.0
insilico,sigma,0.374,0.262,0.0,0.831,0.008,0.005,977.0,1816.0,1.0
insilico,beta[trunc],2.136,0.519,1.151,3.077,0.01,0.008,2753.0,2882.0,1.0
insilico,beta[am],1.987,0.273,1.454,2.476,0.006,0.004,1952.0,2563.0,1.0
insilico,beta[am_missing],2.306,0.822,0.714,3.82,0.019,0.014,1791.0,2137.0,1.0
insilico,tau,2.436,0.288,1.882,2.964,0.007,0.004,1641.0,2782.0,1.0
insilico,g0,3.391,0.212,3.018,3.807,0.004,0.003,2999.0,2413.0,1.0
insilico,g1,-1.514,0.336,-2.171,-0.908,0.005,0.005,4511.0,3121.0,1.0
insilico,g2,0.028,0.134,-0.231,0.271,0.002,0.002,3420.0,2843.0,1.0
insilico,p_asc,0.99,0.002,0.987,0.994,0.0,0.0,1086.0,2201.0,1.0
clinvar,alpha,-5.347,0.391,-6.119,-4.66,0.01,0.007,1591.0,1939.0,1.0
clinvar,sigma,0.284,0.204,0.001,0.642,0.007,0.004,944.0,1517.0,1.0
clinvar,beta[trunc],1.307,0.506,0.31,2.235,0.014,0.008,1408.0,2078.0,1.0
clinvar,beta[clinvar_plp],1.425,0.468,0.558,2.286,0.012,0.007,1539.0,1873.0,1.0
clinvar,beta[clinvar_blb],-3.143,0.622,-4.339,-2.0,0.013,0.01,2333.0,2343.0,1.0
clinvar,beta[clinvar_none],3.706,0.661,2.448,4.916,0.02,0.011,1089.0,1835.0,1.0
clinvar,tau,2.318,0.269,1.839,2.841,0.008,0.004,1210.0,2174.0,1.0
clinvar,g0,3.2,0.212,2.801,3.598,0.007,0.003,1072.0,1957.0,1.0
clinvar,g1,-1.488,0.324,-2.044,-0.829,0.007,0.005,2331.0,2499.0,1.0
clinvar,g2,0.035,0.129,-0.21,0.274,0.002,0.002,2862.0,2832.0,1.0
clinvar,p_asc,0.992,0.002,0.989,0.996,0.0,0.0,624.0,1736.0,1.0
insilico_clinvar,alpha,-4.089,0.51,-5.017,-3.137,0.01,0.008,2424.0,3015.0,1.0
insilico_clinvar,sigma,0.238,0.18,0.0,0.567,0.005,0.003,1432.0,2293.0,1.0
insilico_clinvar,beta[trunc],1.522,0.504,0.62,2.541,0.011,0.008,1938.0,2325.0,1.0
insilico_clinvar,beta[am],1.45,0.352,0.783,2.111,0.008,0.005,2052.0,2653.0,1.0
insilico_clinvar,beta[am_missing],1.364,0.736,-0.0,2.786,0.014,0.011,2691.0,2718.0,1.0
insilico_clinvar,beta[clinvar_plp],-0.103,0.627,-1.293,1.064,0.014,0.009,2045.0,2690.0,1.0
insilico_clinvar,beta[clinvar_blb],-2.372,0.702,-3.609,-0.985,0.011,0.01,4132.0,3112.0,1.0
insilico_clinvar,beta[clinvar_none],2.622,0.661,1.38,3.841,0.013,0.01,2418.0,2828.0,1.0
insilico_clinvar,tau,2.183,0.273,1.684,2.691,0.007,0.004,1333.0,2072.0,1.0
insilico_clinvar,g0,3.127,0.203,2.744,3.509,0.004,0.003,2403.0,2804.0,1.0
insilico_clinvar,g1,-1.47,0.318,-2.03,-0.83,0.005,0.005,3810.0,2804.0,1.0
insilico_clinvar,g2,0.108,0.135,-0.123,0.377,0.002,0.002,3664.0,3075.0,1.0
insilico_clinvar,p_asc,0.992,0.002,0.989,0.995,0.0,0.0,1408.0,2471.0,1.0
