scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,176,122,0.817167577413479,0.7534814149487921,0.8853505103791388,,,,,,,,
clinvar_plp_binary,0.25,5,176,122,0.8119307832422586,0.7454545454545455,0.8750534568781183,0.9016393442622951,0.7222222222222222,0.88,0.7647058823529411,110.0,15.0,12.0,39.0
alphamissense_missense_only,0.25,5,157,104,0.8203918722786647,0.7495860342824029,0.8850652177110853,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,231,177,0.9630675873613727,0.9328678641640517,0.9835823042832864,,,,,,,,
base_oof_prior,0.25,5,231,177,0.43670223896212595,0.3398197298032032,0.5360294840158286,,,,,,,,
class_oof_prior,0.25,5,231,177,0.5993931784892237,0.51575975061621,0.6708874089253188,,,,,,,,
insilico_oof_prior,0.25,5,231,177,0.886691776522285,0.8408834249330618,0.9276900223056889,,,,,,,,
clinvar_oof_prior,0.25,5,231,177,0.875915463486085,0.8190051135162878,0.9262318387114328,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,231,177,0.8807281858129316,0.833373462853032,0.9223230861134086,,,,,,,,
clinvar_ordinal,0.5,5,176,96,0.7505859375,0.6917917340511446,0.8133429179544908,,,,,,,,
clinvar_plp_binary,0.5,5,176,96,0.75,0.6881340579710146,0.8124761434816651,0.9375,0.5625,0.72,0.8823529411764706,90.0,35.0,6.0,45.0
alphamissense_missense_only,0.5,5,157,78,0.8278967867575463,0.757011597135741,0.8931471861860342,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,231,150,0.9643621399176955,0.9409868636958078,0.9857630926873351,,,,,,,,
base_oof_prior,0.5,5,231,150,0.44592592592592595,0.36606498857211595,0.5246444043263675,,,,,,,,
class_oof_prior,0.5,5,231,150,0.6553086419753087,0.5780232527601121,0.7235922643029815,,,,,,,,
insilico_oof_prior,0.5,5,231,150,0.8976131687242799,0.8482203595724004,0.9376794852425717,,,,,,,,
clinvar_oof_prior,0.5,5,231,150,0.8558024691358025,0.8034467767767959,0.9024492181699973,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,231,150,0.9002469135802469,0.8541453240636914,0.9405826270223145,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,84,83,0.5180722891566265,0.4146341463414634,0.6265060240963856,,,,,,,,
split_alternating_prior_only,0.5,5,84,83,0.23493975903614459,0.1686746987951807,0.3132530120481928,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,84,83,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,84,83,0.5060240963855421,0.39759036144578314,0.6144578313253012,,,,,,,,
split_design_posterior_from_half_A,0.5,5,38,37,0.02702702702702703,0.0,0.08333333333333333,,,,,,,,
split_design_prior_only,0.5,5,38,37,0.0,0.0,0.0,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,38,37,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,38,37,0.02702702702702703,0.0,0.06756756756756757,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,84,83,0.35542168674698793,0.30120481927710846,0.4014453477868112,,,,,,,,
split_design_clinvar_ordinal,0.5,5,38,37,0.8108108108108109,0.7187687687687688,0.8965540540540535,,,,,,,,
clinvar_ordinal,0.75,5,176,68,0.676130174291939,0.616550079491256,0.7380298457411134,,,,,,,,
clinvar_plp_binary,0.75,5,176,68,0.67619825708061,0.6174123983705672,0.7303983536734531,0.9264705882352942,0.42592592592592593,0.504,0.9019607843137255,63.0,62.0,5.0,46.0
alphamissense_missense_only,0.75,5,157,56,0.7920792079207921,0.7157727490071529,0.8636429015069792,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,231,117,0.9364972259709102,0.9051699503684765,0.9619773287010313,,,,,,,,
base_oof_prior,0.75,5,231,117,0.4209776578197631,0.34415615911186775,0.49018901200789533,,,,,,,,
class_oof_prior,0.75,5,231,117,0.6107362423151896,0.5307671818727491,0.6857122552185623,,,,,,,,
insilico_oof_prior,0.75,5,231,117,0.8373069425701004,0.7847579558444809,0.8858540862452164,,,,,,,,
clinvar_oof_prior,0.75,5,231,117,0.7807767281451492,0.7183836889782006,0.8357883211950198,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,231,117,0.8438296596191333,0.7854524592135327,0.8933255126295578,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,84,80,0.565625,0.20499188311688313,0.9878048780487805,,,,,,,,
split_alternating_prior_only,0.75,5,84,80,0.471875,0.20313786008230453,0.8956901021808744,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,84,80,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,84,80,0.7,0.4490449603291214,0.951660391566265,,,,,,,,
split_design_posterior_from_half_A,0.75,5,38,31,0.4930875576036866,0.17831017548759484,0.8249769585253455,,,,,,,,
split_design_prior_only,0.75,5,38,31,0.5069124423963134,0.18349877450980395,0.8111878219029547,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,38,31,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,38,31,0.5668202764976958,0.26465505557061536,0.8779569892473118,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,84,80,0.48125,0.31906626506024094,0.8450484866294445,,,,,,,,
split_design_clinvar_ordinal,0.75,5,38,31,0.6152073732718893,0.3965285034250552,0.8157626088069636,,,,,,,,
