model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,3.66,0.392,2.965,4.455,0.01,0.006,1587.0,2206.0,1.0
base,sigma,5.711,0.352,5.063,6.371,0.009,0.005,1688.0,2834.0,1.0
base,tau,6.046,0.27,5.532,6.564,0.004,0.004,3814.0,3478.0,1.0
class,alpha,1.936,0.392,1.251,2.696,0.011,0.006,1352.0,2399.0,1.0
class,sigma,4.892,0.34,4.305,5.578,0.009,0.004,1450.0,2624.0,1.0
class,beta[trunc],4.755,0.551,3.718,5.793,0.01,0.008,3004.0,3125.0,1.0
class,tau,5.974,0.272,5.483,6.507,0.004,0.003,3645.0,3612.0,1.0
insilico,alpha,0.333,0.336,-0.338,0.923,0.014,0.007,549.0,1232.0,1.0
insilico,sigma,3.036,0.292,2.51,3.579,0.011,0.005,684.0,1355.0,1.01
insilico,beta[trunc],4.781,0.443,3.999,5.66,0.011,0.006,1546.0,2497.0,1.0
insilico,beta[am],2.27,0.246,1.823,2.735,0.008,0.005,865.0,1677.0,1.0
insilico,beta[am_missing],6.163,0.639,4.937,7.311,0.013,0.009,2270.0,2470.0,1.0
insilico,tau,5.585,0.269,5.111,6.089,0.006,0.003,2163.0,3071.0,1.0
clinvar,alpha,-3.171,0.24,-3.606,-2.72,0.006,0.003,1475.0,2541.0,1.0
clinvar,sigma,0.526,0.181,0.198,0.893,0.007,0.004,602.0,892.0,1.0
clinvar,beta[trunc],1.895,0.327,1.269,2.486,0.006,0.005,3378.0,3187.0,1.0
clinvar,beta[clinvar_plp],1.421,0.258,0.947,1.906,0.005,0.004,2490.0,2935.0,1.0
clinvar,beta[clinvar_blb],-3.889,0.481,-4.802,-3.032,0.008,0.008,3246.0,2991.0,1.0
clinvar,beta[clinvar_none],10.098,0.513,9.158,11.071,0.011,0.007,2071.0,2868.0,1.0
clinvar,tau,6.58,0.263,6.068,7.069,0.005,0.004,2908.0,3127.0,1.0
insilico_clinvar,alpha,-1.578,0.322,-2.148,-0.934,0.01,0.005,1127.0,1722.0,1.01
insilico_clinvar,sigma,0.522,0.235,0.002,0.876,0.012,0.006,371.0,785.0,1.01
insilico_clinvar,beta[trunc],2.157,0.33,1.56,2.81,0.005,0.004,3667.0,3224.0,1.0
insilico_clinvar,beta[am],1.372,0.176,1.051,1.718,0.004,0.003,1636.0,2237.0,1.0
insilico_clinvar,beta[am_missing],2.576,0.65,1.338,3.743,0.012,0.009,3171.0,3132.0,1.0
insilico_clinvar,beta[clinvar_plp],-0.385,0.362,-1.066,0.278,0.008,0.005,2232.0,2763.0,1.0
insilico_clinvar,beta[clinvar_blb],-3.395,0.525,-4.399,-2.431,0.013,0.008,1716.0,2258.0,1.0
insilico_clinvar,beta[clinvar_none],7.959,0.581,6.895,9.089,0.012,0.008,2478.0,2986.0,1.0
insilico_clinvar,tau,6.453,0.268,5.989,6.978,0.005,0.004,2352.0,2956.0,1.0
