model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,1.1838970974355114,0.46414688149296884,0.17516358426768944,0.5660665091913376,-0.8050456718223322,-0.05336525817606292,21.45719344830496,-26.634580022074662,1.01,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.9753267008845827,0.3801964359827687,0.1737282074597357,0.5598565086593063,-0.8047928583453103,-0.05334849955360971,-0.21451588145109188,-1.6391784325460386,1.02,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.28339074976290246,0.06392425539122222,0.16919319614623737,0.5497321243340223,-0.8050407831124177,-0.053364934110887656,0.2569944142770477,2.738993659128852,1.01,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.1592160902360895,0.051139254599844135,0.19332558696067917,0.5796238542672525,-0.8615758432805747,-0.05711255761533249,2.8392104496734607,2.3810400940458356,1.02,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.15353076826967255,0.04909238632720442,0.1867065173536341,0.5601372363454173,-0.8327876886046995,-0.055204234447514045,2.297915786335868,1.7507712508414834,1.02,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.20857039655092877,-0.24915052416741235,-0.061083581533724056
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.9005063476726091,-1.0866300915576066,-0.23133938868007525
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-1.024681007199422,-1.2470112215842946,-0.188567749817101
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-1.030366329165839,-1.251900775607091,-0.22222440312234393
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,1.024681007199422,0.22297488016702666,1.2555095150802047
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,0.8161106106484932,0.15379230976601216,0.9984657297127064
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,0.12417465952681293,-0.035031308306954036,0.16300419445652686
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.005685321966416985,-0.022349277406443675,-0.001323459664444422
posterior_from_half_A,split_paper_half_B,alternating,84,,1645,0.7050146405587356,0.2461020352352381,0.21267599027861597,0.6526140108738682,,,,,,,,,
prior_only,split_paper_half_B,alternating,84,,1645,0.5022772472704304,0.1460985026897971,0.14561339213018087,0.5145821790362113,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,84,,1645,0.40580831967470377,0.09732635013284086,0.09555152092448889,0.4162035570613319,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,84,,1645,0.2792453763623488,0.05248511953613035,0.071350984749271,0.34391196541858665,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,84,,1645,,,,,,,,,,,0.4257692641963869,0.28748829200006587,0.525903564165675
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,84,,1645,,,,,,,,,,,0.2992063208840319,0.14697118398445483,0.41118196820485603
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,84,,1645,,,,,,,,,,,0.2027373932883052,0.101295716088327,0.2983646124187358
posterior_from_half_A,split_paper_half_B,design,38,,565,0.8184334900508107,0.27610580731414214,0.22669774959468497,0.7688933964610076,,,,,,,,,
prior_only,split_paper_half_B,design,38,,565,0.577280594406419,0.1601557973807773,0.15168254956985383,0.6019025663707833,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,38,,565,1.2339032231542133,0.4654374446882107,0.4277439549279311,1.1987020420326997,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,38,,565,0.4706544274405537,0.0928473666802214,0.11225780928338908,0.5656581266596988,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,38,,565,,,,,,,,,,,0.34777906261025693,-0.07096094988898656,0.5737155705796277
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,38,,565,,,,,,,,,,,-0.4154697331034026,-0.6031820509829454,-0.28042988433733107
posterior_from_half_A,split_delta_nll_vs_prior_only,design,38,,565,,,,,,,,,,,0.24115289564439168,0.06771845740642936,0.3811674166484963
