scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,176,122,0.817167577413479,0.7534814149487921,0.8853505103791388,,,,,,,,
clinvar_plp_binary,0.25,5,176,122,0.8119307832422586,0.7454545454545455,0.8750534568781183,0.9016393442622951,0.7222222222222222,0.88,0.7647058823529411,110.0,15.0,12.0,39.0
alphamissense_missense_only,0.25,5,157,104,0.8203918722786647,0.7495860342824029,0.8850652177110853,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,231,177,0.9950826532747437,0.9882801498287198,0.9994790628115653,,,,,,,,
base_oof_prior,0.25,5,231,177,0.4265536723163842,0.3383031721309883,0.5224478110449733,,,,,,,,
class_oof_prior,0.25,5,231,177,0.5883029922577945,0.5031742218398092,0.6591168882359264,,,,,,,,
insilico_oof_prior,0.25,5,231,177,0.8847039129525005,0.8363347465515096,0.9260083454869551,,,,,,,,
clinvar_oof_prior,0.25,5,231,177,0.8789495710399665,0.8285146992043854,0.9256696837205444,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,231,177,0.9060472902280812,0.8614200278685866,0.9448536500148645,,,,,,,,
clinvar_ordinal,0.5,5,176,96,0.7505859375,0.6917917340511446,0.8133429179544908,,,,,,,,
clinvar_plp_binary,0.5,5,176,96,0.75,0.6881340579710146,0.8124761434816651,0.9375,0.5625,0.72,0.8823529411764706,90.0,35.0,6.0,45.0
alphamissense_missense_only,0.5,5,157,78,0.8278967867575463,0.757011597135741,0.8931471861860342,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,231,150,0.9994238683127572,0.9979033347391068,1.0,,,,,,,,
base_oof_prior,0.5,5,231,150,0.43333333333333335,0.35676507425299697,0.5092537009105637,,,,,,,,
class_oof_prior,0.5,5,231,150,0.6435390946502058,0.57298837902483,0.7142272786883416,,,,,,,,
insilico_oof_prior,0.5,5,231,150,0.8966255144032922,0.8465111130360855,0.9379125829822763,,,,,,,,
clinvar_oof_prior,0.5,5,231,150,0.857366255144033,0.8069592606191615,0.9026499019507358,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,231,150,0.9025514403292181,0.8569189088994433,0.9402491754649941,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,84,83,0.5903614457831325,0.49382716049382713,0.6951219512195121,,,,,,,,
split_alternating_prior_only,0.5,5,84,83,0.23493975903614459,0.1686746987951807,0.3132530120481928,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,84,83,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,84,83,0.5060240963855421,0.39759036144578314,0.6144578313253012,,,,,,,,
split_design_posterior_from_half_A,0.5,5,38,37,0.16216216216216217,0.05405405405405406,0.2777777777777778,,,,,,,,
split_design_prior_only,0.5,5,38,37,0.0,0.0,0.0,,,,,,,,
split_design_pooled_rate_half_A,0.5,5,38,37,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.5,5,38,37,0.02702702702702703,0.0,0.06756756756756757,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,84,83,0.35542168674698793,0.30120481927710846,0.4014453477868112,,,,,,,,
split_design_clinvar_ordinal,0.5,5,38,37,0.8108108108108109,0.7187687687687688,0.8965540540540535,,,,,,,,
clinvar_ordinal,0.75,5,176,68,0.676130174291939,0.616550079491256,0.7380298457411134,,,,,,,,
clinvar_plp_binary,0.75,5,176,68,0.67619825708061,0.6174123983705672,0.7303983536734531,0.9264705882352942,0.42592592592592593,0.504,0.9019607843137255,63.0,62.0,5.0,46.0
alphamissense_missense_only,0.75,5,157,56,0.7920792079207921,0.7157727490071529,0.8636429015069792,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,231,117,0.9982006297795771,0.995127381468258,0.9998499399759904,,,,,,,,
base_oof_prior,0.75,5,231,117,0.41445494077073025,0.33831294853792593,0.48317693046602367,,,,,,,,
class_oof_prior,0.75,5,231,117,0.6028639976008398,0.5276939947220186,0.6773904440529548,,,,,,,,
insilico_oof_prior,0.75,5,231,117,0.8351327035537562,0.7804371257441864,0.8850382653061225,,,,,,,,
clinvar_oof_prior,0.75,5,231,117,0.7850502324186535,0.7243827761226966,0.8407411435665568,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,231,117,0.8357324936272305,0.7794835298499184,0.8839376799664814,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,84,80,0.609375,0.24268261316872433,0.9878048780487805,,,,,,,,
split_alternating_prior_only,0.75,5,84,80,0.471875,0.20313786008230453,0.8956901021808744,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,84,80,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,84,80,0.7,0.4490449603291214,0.951660391566265,,,,,,,,
split_design_posterior_from_half_A,0.75,5,38,31,0.4838709677419355,0.1875,0.7867794962812711,,,,,,,,
split_design_prior_only,0.75,5,38,31,0.5069124423963134,0.18349877450980395,0.8111878219029547,,,,,,,,
split_design_pooled_rate_half_A,0.75,5,38,31,0.5,0.5,0.5,,,,,,,,
split_design_clinvar_class_rate_half_A,0.75,5,38,31,0.5668202764976958,0.26465505557061536,0.8779569892473118,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,84,80,0.48125,0.31906626506024094,0.8450484866294445,,,,,,,,
split_design_clinvar_ordinal,0.75,5,38,31,0.6152073732718893,0.3965285034250552,0.8157626088069636,,,,,,,,
