model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,2.558,0.156,2.265,2.842,0.005,0.003,830.0,1762.0,1.0
base,sigma,2.613,0.136,2.371,2.877,0.005,0.003,850.0,1556.0,1.0
base,tau,0.008,0.006,0.0,0.019,0.0,0.0,3277.0,1801.0,1.0
class,alpha,1.869,0.16,1.593,2.197,0.007,0.003,571.0,1187.0,1.01
class,sigma,2.417,0.127,2.177,2.652,0.005,0.002,791.0,1658.0,1.01
class,beta[trunc],2.307,0.296,1.785,2.878,0.01,0.005,958.0,2098.0,1.0
class,tau,0.008,0.006,0.0,0.02,0.0,0.0,3107.0,1799.0,1.0
insilico,alpha,1.317,0.135,1.066,1.565,0.005,0.002,863.0,1678.0,1.0
insilico,sigma,1.814,0.101,1.624,2.0,0.003,0.002,1124.0,1890.0,1.0
insilico,beta[trunc],2.282,0.245,1.797,2.733,0.006,0.004,1649.0,2356.0,1.0
insilico,beta[am],1.425,0.118,1.202,1.644,0.004,0.002,902.0,1584.0,1.01
insilico,beta[am_missing],2.789,0.343,2.136,3.415,0.007,0.004,2231.0,3102.0,1.0
insilico,tau,0.008,0.006,0.0,0.02,0.0,0.0,3400.0,2007.0,1.0
clinvar,alpha,-0.195,0.224,-0.608,0.229,0.008,0.005,750.0,1252.0,1.0
clinvar,sigma,1.755,0.104,1.563,1.95,0.003,0.002,1255.0,2191.0,1.0
clinvar,beta[trunc],0.798,0.257,0.332,1.3,0.007,0.004,1383.0,2403.0,1.0
clinvar,beta[clinvar_plp],1.691,0.252,1.219,2.16,0.009,0.005,737.0,1608.0,1.01
clinvar,beta[clinvar_blb],-2.925,0.534,-3.865,-1.881,0.017,0.009,989.0,1677.0,1.0
clinvar,beta[clinvar_none],4.064,0.314,3.441,4.634,0.01,0.005,1027.0,1950.0,1.0
clinvar,tau,0.008,0.006,0.0,0.019,0.0,0.0,2916.0,1359.0,1.0
insilico_clinvar,alpha,0.838,0.244,0.402,1.313,0.009,0.004,812.0,1808.0,1.01
insilico_clinvar,sigma,1.604,0.095,1.432,1.782,0.003,0.002,1052.0,1754.0,1.0
insilico_clinvar,beta[trunc],0.995,0.272,0.493,1.516,0.008,0.005,1038.0,1387.0,1.01
insilico_clinvar,beta[am],1.225,0.132,0.975,1.463,0.005,0.002,624.0,1445.0,1.0
insilico_clinvar,beta[am_missing],0.748,0.405,0.001,1.513,0.01,0.006,1698.0,2565.0,1.0
insilico_clinvar,beta[clinvar_plp],0.347,0.276,-0.146,0.873,0.01,0.005,728.0,1353.0,1.01
insilico_clinvar,beta[clinvar_blb],-2.383,0.513,-3.306,-1.4,0.017,0.009,883.0,1634.0,1.0
insilico_clinvar,beta[clinvar_none],2.658,0.353,1.973,3.287,0.01,0.005,1184.0,1916.0,1.0
insilico_clinvar,tau,0.008,0.006,0.0,0.019,0.0,0.0,2711.0,1507.0,1.0
