model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,1.3464869480715185,0.5183978327364994,0.13996755306503758,0.4806327639640016,-0.9706760929847841,-0.06434464791321433,17.246522861630837,-13.45253961949334,1.03,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,1.1558607206288636,0.45361552765933827,0.1373670022536407,0.4695963694201275,-0.8794848948335936,-0.05829972151580023,-3.7873712221055755,2.0624509013049863,1.03,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.43372398430562936,0.12328277775153534,0.13462939718925845,0.4509610664959235,-0.8610836020960485,-0.05707992769281185,-1.9586732546789352,2.3906891373319574,1.02,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.27769844765995133,0.0625730494994969,0.1316172345238204,0.4399447771511195,-0.8638150715487413,-0.057260992665452495,-1.307716697273537,2.445999741333098,1.02,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,871,1449.0,21859,0.21227582925155983,0.04352555964298899,0.13224661457639,0.4396126887644107,-0.8650138424158561,-0.05734045737044583,-0.6997843956965618,1.8497207424177715,1.03,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.19062622744265478,-0.22584004888295336,-0.0604521131117651
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.9127629637658892,-1.0949308624841132,-0.2458691919225457
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-1.0687885004115671,-1.2860289026090845,-0.24493715068768376
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-1.1342111188199586,-1.3624972720156099,-0.28548226445884023
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,1.0687885004115671,0.26656733503519797,1.2952816936295164
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,0.8781622729689124,0.19851997126823243,1.060213118507365
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,0.15602553664567803,-0.0029313498804970474,0.19224330609815998
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,871,1449.0,21859,,,,,,,,,,,-0.06542261840839148,-0.07915125284418709,-0.02148367407418781
posterior_from_half_A,split_paper_half_B,alternating,84,,1645,0.2907829450378112,0.072256881750956,0.09176997751017117,0.38487599579097853,,,,,,,,,
prior_only,split_paper_half_B,alternating,84,,1645,0.2723527907208094,0.05603340681881882,0.0712658367823169,0.31606844421769337,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,84,,1645,0.40580831967470377,0.09732635013284086,0.09555152092448889,0.4162035570613319,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,84,,1645,0.2792453763623488,0.05248511953613035,0.071350984749271,0.34391196541858665,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,84,,1645,,,,,,,,,,,0.011537568675462415,-0.11420832726264371,0.1535283288055962
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,84,,1645,,,,,,,,,,,-0.11502537463689255,-0.23216893922486798,0.02981632280443937
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,84,,1645,,,,,,,,,,,0.018430154317001787,-0.10492916689161512,0.1710648688025812
posterior_from_half_A,split_paper_half_B,design,38,,565,0.44731792744442656,0.08865444338093612,0.15056509079441946,0.7268555551800042,,,,,,,,,
prior_only,split_paper_half_B,design,38,,565,0.392227271066483,0.08160696513561588,0.09075699767321577,0.46106154239332914,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,38,,565,1.2339032231542133,0.4654374446882107,0.4277439549279311,1.1987020420326997,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,38,,565,0.4706544274405537,0.0928473666802214,0.11225780928338908,0.5656581266596988,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,38,,565,,,,,,,,,,,-0.02333649999612711,-0.2252296750308551,0.13285836934577297
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,38,,565,,,,,,,,,,,-0.7865852957097866,-0.9813610929597645,-0.4353076871175249
posterior_from_half_A,split_delta_nll_vs_prior_only,design,38,,565,,,,,,,,,,,0.055090656377943616,-0.0836612076257303,0.22712513700960987
