scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,176,122,0.817167577413479,0.753320811419985,0.8777255999316456,,,,,,,,
clinvar_plp_binary,0.25,5,176,122,0.8119307832422586,0.7410565476190476,0.8772545098210642,0.9016393442622951,0.7222222222222222,0.88,0.7647058823529411,110.0,15.0,12.0,39.0
alphamissense_missense_only,0.25,5,157,104,0.8203918722786647,0.7540628453651216,0.8858493466733074,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,231,177,0.9685080560786775,0.9439765932688865,0.9860251400078694,,,,,,,,
base_oof_prior,0.25,5,231,177,0.4483155471856037,0.3622004908871524,0.5425742728875104,,,,,,,,
class_oof_prior,0.25,5,231,177,0.5982423101067169,0.5207684779191996,0.6758840597637846,,,,,,,,
insilico_oof_prior,0.25,5,231,177,0.8807281858129316,0.829794111922684,0.924891550706304,,,,,,,,
clinvar_oof_prior,0.25,5,231,177,0.8680163214061519,0.8105608527779354,0.9223961020615498,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,231,177,0.9181837204436074,0.875278168644507,0.9531680029154519,,,,,,,,
clinvar_ordinal,0.5,5,176,96,0.7505859375,0.6883521759689181,0.8092830501765923,,,,,,,,
clinvar_plp_binary,0.5,5,176,96,0.75,0.6871655996184329,0.8057739596018629,0.9375,0.5625,0.72,0.8823529411764706,90.0,35.0,6.0,45.0
alphamissense_missense_only,0.5,5,157,78,0.8278967867575463,0.7654202979038506,0.8899891866705228,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,231,150,0.9806584362139917,0.9664734797656054,0.9917411800339815,,,,,,,,
base_oof_prior,0.5,5,231,150,0.45753086419753086,0.38016001855287573,0.5345471692248671,,,,,,,,
class_oof_prior,0.5,5,231,150,0.6304115226337449,0.5578233107156201,0.6991783150968763,,,,,,,,
insilico_oof_prior,0.5,5,231,150,0.8806172839506173,0.8298944924609185,0.92675586840516,,,,,,,,
clinvar_oof_prior,0.5,5,231,150,0.8268724279835391,0.7716074267934944,0.8818101435130035,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,231,150,0.9004938271604939,0.8565903565681084,0.9413932593895489,,,,,,,,
clinvar_ordinal,0.75,5,176,68,0.676130174291939,0.6217121517994407,0.7307441234158302,,,,,,,,
clinvar_plp_binary,0.75,5,176,68,0.67619825708061,0.6187245410984906,0.7317578321889228,0.9264705882352942,0.42592592592592593,0.504,0.9019607843137255,63.0,62.0,5.0,46.0
alphamissense_missense_only,0.75,5,157,56,0.7920792079207921,0.7109917960046827,0.8591046994137104,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,231,117,0.9684360473834158,0.947775216990093,0.9846608250459019,,,,,,,,
base_oof_prior,0.75,5,231,117,0.4734218023691708,0.3936523696774345,0.5455040976133555,,,,,,,,
class_oof_prior,0.75,5,231,117,0.605300644774329,0.5275304937116398,0.6766722755029886,,,,,,,,
insilico_oof_prior,0.75,5,231,117,0.8045059229269755,0.7462741371692132,0.8591119497069647,,,,,,,,
clinvar_oof_prior,0.75,5,231,117,0.7727170490328386,0.7054575459265108,0.8283990957213725,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,231,117,0.8340080971659919,0.7808571109228816,0.8833318592616957,,,,,,,,
