label_set,scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
anchored,clinvar_ordinal,0.25,5,176,122,0.817167577413479,0.753320811419985,0.8777255999316456,,,,,,,,
anchored,clinvar_plp_binary,0.25,5,176,122,0.8119307832422586,0.7410565476190476,0.8772545098210642,0.9016393442622951,0.7222222222222222,0.88,0.7647058823529411,110.0,15.0,12.0,39.0
anchored,alphamissense_missense_only,0.25,5,157,104,0.8203918722786647,0.7540628453651216,0.8858493466733074,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.25,5,231,177,0.9685080560786775,0.9439765932688865,0.9860251400078694,,,,,,,,
anchored,base_oof_prior,0.25,5,231,177,0.4483155471856037,0.3622004908871524,0.5425742728875104,,,,,,,,
anchored,class_oof_prior,0.25,5,231,177,0.5982423101067169,0.5207684779191996,0.6758840597637846,,,,,,,,
anchored,insilico_oof_prior,0.25,5,231,177,0.8807281858129316,0.829794111922684,0.924891550706304,,,,,,,,
anchored,clinvar_oof_prior,0.25,5,231,177,0.8680163214061519,0.8105608527779354,0.9223961020615498,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.25,5,231,177,0.9181837204436074,0.875278168644507,0.9531680029154519,,,,,,,,
anchored,clinvar_ordinal,0.5,5,176,96,0.7505859375,0.6883521759689181,0.8092830501765923,,,,,,,,
anchored,clinvar_plp_binary,0.5,5,176,96,0.75,0.6871655996184329,0.8057739596018629,0.9375,0.5625,0.72,0.8823529411764706,90.0,35.0,6.0,45.0
anchored,alphamissense_missense_only,0.5,5,157,78,0.8278967867575463,0.7654202979038506,0.8899891866705228,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.5,5,231,150,0.9806584362139917,0.9664734797656054,0.9917411800339815,,,,,,,,
anchored,base_oof_prior,0.5,5,231,150,0.45753086419753086,0.38016001855287573,0.5345471692248671,,,,,,,,
anchored,class_oof_prior,0.5,5,231,150,0.6304115226337449,0.5578233107156201,0.6991783150968763,,,,,,,,
anchored,insilico_oof_prior,0.5,5,231,150,0.8806172839506173,0.8298944924609185,0.92675586840516,,,,,,,,
anchored,clinvar_oof_prior,0.5,5,231,150,0.8268724279835391,0.7716074267934944,0.8818101435130035,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.5,5,231,150,0.9004938271604939,0.8565903565681084,0.9413932593895489,,,,,,,,
anchored,clinvar_ordinal,0.75,5,176,68,0.676130174291939,0.6217121517994407,0.7307441234158302,,,,,,,,
anchored,clinvar_plp_binary,0.75,5,176,68,0.67619825708061,0.6187245410984906,0.7317578321889228,0.9264705882352942,0.42592592592592593,0.504,0.9019607843137255,63.0,62.0,5.0,46.0
anchored,alphamissense_missense_only,0.75,5,157,56,0.7920792079207921,0.7109917960046827,0.8591046994137104,,,,,,,,
anchored,insilico_posterior_mean_in_sample_LEAKY,0.75,5,231,117,0.9684360473834158,0.947775216990093,0.9846608250459019,,,,,,,,
anchored,base_oof_prior,0.75,5,231,117,0.4734218023691708,0.3936523696774345,0.5455040976133555,,,,,,,,
anchored,class_oof_prior,0.75,5,231,117,0.605300644774329,0.5275304937116398,0.6766722755029886,,,,,,,,
anchored,insilico_oof_prior,0.75,5,231,117,0.8045059229269755,0.7462741371692132,0.8591119497069647,,,,,,,,
anchored,clinvar_oof_prior,0.75,5,231,117,0.7727170490328386,0.7054575459265108,0.8283990957213725,,,,,,,,
anchored,insilico_clinvar_oof_prior,0.75,5,231,117,0.8340080971659919,0.7808571109228816,0.8833318592616957,,,,,,,,
literature,clinvar_ordinal,0.25,5,98,96,0.4479166666666667,0.41578947368421054,0.4742268041237113,,,,,,,,
literature,clinvar_plp_binary,0.25,5,98,96,0.4479166666666667,0.4175257731958763,0.4742268041237113,0.8958333333333334,0.0,0.9772727272727273,0.0,86.0,2.0,10.0,0.0
literature,alphamissense_missense_only,0.25,5,84,82,0.4878048780487805,0.20481927710843373,0.7789825970548864,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.25,5,153,151,0.8841059602649006,0.7511666666666666,0.9868421052631579,,,,,,,,
literature,base_oof_prior,0.25,5,153,151,0.3956953642384106,0.07236842105263158,0.743498322147651,,,,,,,,
literature,class_oof_prior,0.25,5,153,151,0.5761589403973509,0.3125,0.8260892296967584,,,,,,,,
literature,insilico_oof_prior,0.25,5,153,151,0.7516556291390728,0.609271523178808,0.875,,,,,,,,
literature,clinvar_oof_prior,0.25,5,153,151,0.6125827814569537,0.5131578947368421,0.6986842105263157,,,,,,,,
literature,insilico_clinvar_oof_prior,0.25,5,153,151,0.7019867549668874,0.5263157894736842,0.881578947368421,,,,,,,,
literature,clinvar_ordinal,0.5,5,98,95,0.4473684210526316,0.41227200634417127,0.4739583333333333,,,,,,,,
literature,clinvar_plp_binary,0.5,5,98,95,0.4473684210526316,0.4114583333333333,0.4739583333333333,0.8947368421052632,0.0,0.9659090909090909,0.0,85.0,3.0,10.0,0.0
literature,alphamissense_missense_only,0.5,5,84,81,0.5308641975308642,0.2289156626506024,0.744596679400529,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.5,5,153,149,0.8859060402684564,0.8013392697333095,0.9671052631578947,,,,,,,,
literature,base_oof_prior,0.5,5,153,149,0.5411073825503355,0.10477814569536424,0.9042577988846286,,,,,,,,
literature,class_oof_prior,0.5,5,153,149,0.6786912751677853,0.3889704600906239,0.9243421052631579,,,,,,,,
literature,insilico_oof_prior,0.5,5,153,149,0.587248322147651,0.06578947368421052,0.8461383568999463,,,,,,,,
literature,clinvar_oof_prior,0.5,5,153,149,0.575503355704698,0.2997516556291391,0.7713068432671082,,,,,,,,
literature,insilico_clinvar_oof_prior,0.5,5,153,149,0.584731543624161,0.14734649122807017,0.8439541379465694,,,,,,,,
literature,clinvar_ordinal,0.75,5,98,85,0.4850678733031674,0.42134831460674155,0.5757967607105539,,,,,,,,
literature,clinvar_plp_binary,0.75,5,98,85,0.4855203619909502,0.42134831460674155,0.5791408166603064,0.8941176470588236,0.07692307692307693,0.8636363636363636,0.1,76.0,12.0,9.0,1.0
literature,alphamissense_missense_only,0.75,5,84,73,0.5485678704856787,0.3700607200793079,0.7176356247551899,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.75,5,153,134,0.861351139041634,0.7965243740526426,0.9160663721969233,,,,,,,,
literature,base_oof_prior,0.75,5,153,134,0.4880204241948154,0.35794411146811667,0.6047500404665929,,,,,,,,
literature,class_oof_prior,0.75,5,153,134,0.49803613511390415,0.34568857832988265,0.631414270838968,,,,,,,,
literature,insilico_oof_prior,0.75,5,153,134,0.46975648075412413,0.3166319433237039,0.6148826916857292,,,,,,,,
literature,clinvar_oof_prior,0.75,5,153,134,0.5190494893951296,0.36919860265633647,0.6581154077474469,,,,,,,,
literature,insilico_clinvar_oof_prior,0.75,5,153,134,0.497643362136685,0.3485034551292933,0.6483592771515477,,,,,,,,
