model,parameter,mean,sd,hdi_3%,hdi_97%,r_hat
base,alpha,-1.332,0.016,-1.363,-1.301,1.0
class,alpha,-0.269,0.038,-0.344,-0.197,1.0
class,beta[trunc],1.961,0.053,1.86,2.06,1.0
insilico,alpha,1.639,0.053,1.545,1.745,1.0
insilico,beta[trunc],-0.23,0.099,-0.419,-0.043,1.0
insilico,beta[am],1.721,0.024,1.675,1.765,1.0
insilico,beta[am_missing],1.286,0.094,1.121,1.476,1.0
clinvar,alpha,1.87,0.065,1.748,1.991,1.0
clinvar,beta[trunc],0.251,0.059,0.138,0.362,1.0
clinvar,beta[clinvar_plp],1.362,0.041,1.287,1.438,1.0
clinvar,beta[clinvar_blb],-0.486,0.019,-0.522,-0.453,1.0
clinvar,beta[clinvar_none],2.163,0.075,2.026,2.306,1.0
insilico_clinvar,alpha,1.978,0.065,1.857,2.104,1.0
insilico_clinvar,beta[trunc],0.08,0.114,-0.123,0.31,1.0
insilico_clinvar,beta[am],0.577,0.034,0.512,0.641,1.0
insilico_clinvar,beta[am_missing],0.264,0.128,0.028,0.512,1.0
insilico_clinvar,beta[clinvar_plp],0.774,0.052,0.681,0.875,1.0
insilico_clinvar,beta[clinvar_blb],-0.455,0.019,-0.49,-0.42,1.0
insilico_clinvar,beta[clinvar_none],1.481,0.105,1.286,1.69,1.0
