model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,alpha,7.016,0.665,5.841,8.287,0.011,0.013,3733.0,2089.0,1.0
base,sigma,1.3,0.494,0.339,2.252,0.014,0.01,1325.0,977.0,1.0
base,tau,0.501,0.348,0.002,1.112,0.009,0.005,1517.0,1682.0,1.0
base,g0,-1.879,0.17,-2.204,-1.568,0.003,0.003,3621.0,3139.0,1.0
base,g1,0.736,0.297,0.222,1.33,0.004,0.004,5513.0,3170.0,1.0
base,g2,0.125,0.121,-0.092,0.353,0.002,0.002,5293.0,3010.0,1.0
base,p_asc,0.55,0.027,0.497,0.6,0.0,0.0,4254.0,2676.0,1.0
class,alpha,2.054,2.815,0.035,7.407,1.391,0.814,7.0,30.0,1.53
class,sigma,0.681,0.476,0.002,1.618,0.177,0.113,10.0,29.0,1.34
class,beta[trunc],0.193,0.586,-0.747,1.485,0.152,0.141,23.0,32.0,1.17
class,tau,0.445,0.277,0.002,0.885,0.013,0.024,561.0,59.0,1.03
class,g0,0.803,1.566,-2.049,2.035,0.776,0.446,7.0,28.0,1.53
class,g1,-0.335,0.701,-1.218,1.104,0.317,0.166,7.0,31.0,1.52
class,g2,-0.058,0.159,-0.313,0.277,0.054,0.021,10.0,38.0,1.32
class,p_asc,0.887,0.195,0.531,1.0,0.097,0.056,7.0,30.0,1.53
insilico,alpha,2.018,2.895,-0.113,7.505,1.429,0.838,7.0,29.0,1.53
insilico,sigma,0.642,0.475,0.0,1.551,0.16,0.119,12.0,31.0,1.27
insilico,beta[trunc],0.23,0.566,-0.732,1.462,0.125,0.135,32.0,29.0,1.14
insilico,beta[am],0.033,0.499,-0.69,1.213,0.15,0.145,18.0,30.0,1.25
insilico,beta[am_missing],0.079,0.607,-1.136,1.136,0.163,0.123,19.0,29.0,1.15
insilico,tau,0.437,0.277,0.001,0.874,0.013,0.023,468.0,85.0,1.03
insilico,g0,0.804,1.56,-2.075,1.993,0.773,0.444,7.0,29.0,1.53
insilico,g1,-0.325,0.679,-1.201,1.077,0.306,0.159,7.0,29.0,1.53
insilico,g2,-0.061,0.156,-0.346,0.23,0.048,0.016,11.0,38.0,1.25
insilico,p_asc,0.887,0.196,0.529,1.0,0.097,0.057,7.0,27.0,1.53
clinvar,alpha,2.216,2.456,-0.152,7.031,1.191,0.697,7.0,29.0,1.53
clinvar,sigma,0.677,0.443,0.006,1.56,0.16,0.103,9.0,29.0,1.35
clinvar,beta[trunc],0.16,0.618,-0.846,1.512,0.17,0.153,20.0,32.0,1.16
clinvar,beta[clinvar_plp],-0.072,0.965,-1.389,2.087,0.391,0.231,8.0,33.0,1.44
clinvar,beta[clinvar_blb],-0.011,0.828,-1.659,1.493,0.013,0.034,3928.0,2152.0,1.01
clinvar,beta[clinvar_none],-0.124,0.642,-1.237,1.184,0.114,0.092,41.0,33.0,1.07
clinvar,tau,0.417,0.265,0.001,0.835,0.013,0.018,480.0,89.0,1.02
clinvar,g0,0.807,1.546,-2.017,2.029,0.766,0.44,7.0,30.0,1.53
clinvar,g1,-0.34,0.674,-1.245,1.03,0.302,0.159,7.0,27.0,1.53
clinvar,g2,-0.059,0.158,-0.337,0.244,0.05,0.016,11.0,37.0,1.27
clinvar,p_asc,0.887,0.195,0.533,1.0,0.097,0.056,7.0,28.0,1.53
insilico_clinvar,alpha,2.224,2.554,-0.176,7.276,1.24,0.721,7.0,29.0,1.53
insilico_clinvar,sigma,0.651,0.449,0.001,1.506,0.155,0.106,11.0,31.0,1.28
insilico_clinvar,beta[trunc],0.232,0.638,-0.932,1.481,0.125,0.125,36.0,30.0,1.09
insilico_clinvar,beta[am],0.063,0.453,-0.62,1.168,0.079,0.128,46.0,31.0,1.19
insilico_clinvar,beta[am_missing],0.067,0.7,-1.29,1.381,0.137,0.087,31.0,37.0,1.09
insilico_clinvar,beta[clinvar_plp],-0.085,0.913,-1.477,1.88,0.352,0.206,9.0,27.0,1.39
insilico_clinvar,beta[clinvar_blb],0.017,0.835,-1.522,1.644,0.012,0.016,4975.0,2730.0,1.01
insilico_clinvar,beta[clinvar_none],-0.186,0.747,-1.559,1.208,0.166,0.079,23.0,46.0,1.12
insilico_clinvar,tau,0.441,0.27,0.0,0.879,0.017,0.026,251.0,53.0,1.03
insilico_clinvar,g0,0.806,1.551,-2.022,2.03,0.768,0.441,7.0,29.0,1.53
insilico_clinvar,g1,-0.343,0.689,-1.301,1.025,0.308,0.16,7.0,29.0,1.52
insilico_clinvar,g2,-0.062,0.155,-0.323,0.239,0.049,0.017,11.0,33.0,1.28
insilico_clinvar,p_asc,0.887,0.195,0.531,1.0,0.097,0.056,7.0,33.0,1.53
