model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,325,517.0,3758,0.22066405376627465,0.02756781354961574,0.034035245224718604,0.25350726811146207,-0.5880296149848004,-0.0808971024340452,4.552753252718772,-0.664428681650534,1.83,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,325,517.0,3758,0.22030652299130474,0.02746691030143935,0.03394740358682292,0.2531489865218819,-0.5921583097793932,-0.08146510009471694,4.712333859131003,-0.7266237145307316,1.97,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,325,517.0,3758,0.22321709151441704,0.027977936027567197,0.034441446420127565,0.25586836203312385,-0.5927412501870103,-0.08154529705872388,5.635560626103788,-1.078276735712467,1.83,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,325,517.0,3758,0.22157630058302147,0.02774562321247204,0.03427492588591875,0.2547833210238037,-0.5965893007403488,-0.08207468559945724,4.774303899243795,-0.7502371175290823,1.83,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,325,517.0,3758,0.22278342948480775,0.027933567914158353,0.03439456077494534,0.2556057848443565,-0.5905187529023195,-0.08123954104590186,5.097988992486198,-0.8724101107010549,1.83,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,-0.00035753077496991257,-0.0012126874515714428,0.00041888488987591185
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,0.00255303774814238,0.0005537591875660552,0.005326687388158912
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,0.0009122468167468303,-0.00083724012611445,0.0027467873676217283
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,0.0021193757185331134,6.735817005823559e-05,0.004786345363608186
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,-0.0009122468167468303,-0.002761109213218559,0.0008966168449583309
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,-0.001269777591716743,-0.0028645731665495784,0.00036548289241088237
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,0.0016407909313955495,0.00018341730023605616,0.0033612001175673738
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,325,517.0,3758,,,,,,,,,,,0.001207128901786283,-0.0002315176035668871,0.002726387374918422
posterior_from_half_A,split_paper_half_B,alternating,68,,1490,0.189159582999698,0.021439567389710604,0.027975151093286733,0.24397250036547227,,,,,,,,,
prior_only,split_paper_half_B,alternating,68,,1490,0.23842971241376693,0.032964493529799445,0.035117619824255,0.2724172529557524,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,68,,1490,0.11941289219063791,0.007374196841812049,0.015572426998367006,0.1857012543406726,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,68,,1490,0.12320676175537361,0.007746821509406116,0.016239470640743298,0.1949903845161563,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,68,,1490,,,,,,,,,,,0.06595282124432442,0.03120628341972379,0.1047573953118143
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,68,,1490,,,,,,,,,,,0.06974669080906011,0.0366731758222215,0.1043906580485454
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,68,,1490,,,,,,,,,,,-0.04927012941406889,-0.07814355396374532,-0.016502456505703075
posterior_from_half_A,split_paper_half_B,design,26,,484,0.23332179081463134,0.026779065411427425,0.04199684268108598,0.3344430431953952,,,,,,,,,
prior_only,split_paper_half_B,design,26,,484,0.2889743745541511,0.041095962590595954,0.042355181360382695,0.3330187265849024,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,26,,484,0.18520325834641638,0.016300874011964988,0.029474641395873954,0.2930895649215549,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,26,,484,0.28119374595651636,0.02077477978176535,0.02998547162443782,0.38899904549291187,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,26,,484,,,,,,,,,,,-0.04787195514188501,-0.2239150107817392,0.07071834902770313
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,26,,484,,,,,,,,,,,0.048118532468214965,-0.018099992706974988,0.1097638365675627
posterior_from_half_A,split_delta_nll_vs_prior_only,design,26,,484,,,,,,,,,,,-0.055652583739519756,-0.10406162114745349,0.03283664927233205
