rank,pmid,genes,hard_yield,positive_carrier_rows,possible_yield,gold_rows,cumulative_hard_yield,cumulative_hard_pct,access_class,manual_action,corpus_state,classes,year,journal,publisher,title,doi,doi_url,pubmed_url,pmc_id,is_oa,oa_status,oa_pdf_url,oa_host_type,oa_landing_url,inventory_status,tranches,body_chars,figure_files,supplement_files_on_disk,unfetched_links,predicted_ev
1,33198487,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/CIRCEP.120.008830?download=true and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2020,Circ Arrhythm Electrophysiol,Ovid Technologies (Wolters Kluwer Health),Left Cardiac Sympathetic Denervation Monotherapy in Patients With Congenital Long QT Syndrome.,10.1161/CIRCEP.120.008830,https://doi.org/10.1161/CIRCEP.120.008830,https://pubmed.ncbi.nlm.nih.gov/33198487/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/CIRCEP.120.008830?download=true,publisher,https://doi.org/10.1161/circep.120.008830,,,0,0,0,0,11.7804
2,21936766,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.3109/15622975.2011.604350 to download the PDF and its supplements.,no source on disk [index: stub],,2013,World J Biol Psychiatry,Informa UK Limited,The KCNH2 gene is associated with neurocognition and the risk of schizophrenia.,10.3109/15622975.2011.604350,https://doi.org/10.3109/15622975.2011.604350,https://pubmed.ncbi.nlm.nih.gov/21936766/,,False,closed,,,,,,0,0,0,0,11.1639
3,17852802,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1080/00365510701496488 to download the PDF and its supplements.,no source on disk [index: stub],,2008,Scand J Clin Lab Invest,Informa UK Limited,Potassium channel KCNH2 K897T polymorphism and cardiac repolarization during exercise test: The Finnish Cardiovascular Study.,10.1080/00365510701496488,https://doi.org/10.1080/00365510701496488,https://pubmed.ncbi.nlm.nih.gov/17852802/,,False,closed,,,,,,0,0,0,0,11.1374
4,30571576,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.118.033943 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2018,Circulation,Ovid Technologies (Wolters Kluwer Health),Determination and Interpretation of the QT Interval.,10.1161/CIRCULATIONAHA.118.033943,https://doi.org/10.1161/CIRCULATIONAHA.118.033943,https://pubmed.ncbi.nlm.nih.gov/30571576/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.118.033943,publisher,https://doi.org/10.1161/circulationaha.118.033943,,,0,0,0,0,11.0943
5,9631873,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.97.22.2237 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,1998,Circulation,Ovid Technologies (Wolters Kluwer Health),Age- and sex-related differences in clinical manifestations in patients with congenital long-QT syndrome: findings from the International LQTS Registry.,10.1161/01.cir.97.22.2237,https://doi.org/10.1161/01.cir.97.22.2237,https://pubmed.ncbi.nlm.nih.gov/9631873/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.97.22.2237,publisher,https://doi.org/10.1161/01.cir.97.22.2237,,,0,0,0,0,10.9787
6,38939955,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (green, repository) but nothing usable is on disk: download the PDF at https://doi.org/10.1161/CIRCULATIONAHA.124.068959 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2024,Circulation,Ovid Technologies (Wolters Kluwer Health),"Therapeutic Efficacy of Mexiletine for Long QT Syndrome Type 2: Evidence From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes, Transgenic Rabbits, and Patients.",10.1161/CIRCULATIONAHA.124.068959,https://doi.org/10.1161/CIRCULATIONAHA.124.068959,https://pubmed.ncbi.nlm.nih.gov/38939955/,,True,green,,repository,https://doi.org/10.1161/CIRCULATIONAHA.124.068959,,,0,0,0,0,10.5178
7,39936145,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (green, repository) but nothing usable is on disk: download the PDF at https://www.medrxiv.org/content/medrxiv/early/2024/12/10/2024.12.08.24318665.full.pdf and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2024,medRxiv,openRxiv,Genetic Causes of Sudden Cardiac Arrest in the Community.,10.1101/2024.12.08.24318665,https://doi.org/10.1101/2024.12.08.24318665,https://pubmed.ncbi.nlm.nih.gov/39936145/,PMC11812600,True,green,https://www.medrxiv.org/content/medrxiv/early/2024/12/10/2024.12.08.24318665.full.pdf,repository,https://doi.org/10.1101/2024.12.08.24318665,,,0,0,0,0,10.4474
8,18752142,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1080/00365510701765643 to download the PDF and its supplements.,no source on disk [index: stub],,2008,Scand J Clin Lab Invest,Informa UK Limited,Molecular genetic analysis of long QT syndrome in Norway indicating a high prevalence of heterozygous mutation carriers.,10.1080/00365510701765643,https://doi.org/10.1080/00365510701765643,https://pubmed.ncbi.nlm.nih.gov/18752142/,,False,closed,,,,,,0,0,0,0,10.2976
9,10508990,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1002/(sici)1096-8628(19991029)86:5<470::aid-ajmg13>3.0.co;2-y to download the PDF and its supplements.,no source on disk [index: stub],,1999,Am J Med Genet,Wiley,Sodium channel abnormalities are infrequent in patients with long QT syndrome: identification of two novel SCN5A mutations.,10.1002/(sici)1096-8628(19991029)86:5<470::aid-ajmg13>3.0.co;2-y,https://doi.org/10.1002/(sici)1096-8628(19991029)86:5<470::aid-ajmg13>3.0.co;2-y,https://pubmed.ncbi.nlm.nih.gov/10508990/,,False,closed,,,,,,0,0,0,0,10.1447
10,26481172,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://ajp.psychiatryonline.org/doi/pdf/10.1176/appi.ajp.2015.14050653 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2016,Am J Psychiatry,American Psychiatric Association Publishing,Differential Response to Risperidone in Schizophrenia Patients by KCNH2 Genotype and Drug Metabolizer Status.,10.1176/appi.ajp.2015.14050653,https://doi.org/10.1176/appi.ajp.2015.14050653,https://pubmed.ncbi.nlm.nih.gov/26481172/,,True,bronze,https://ajp.psychiatryonline.org/doi/pdf/10.1176/appi.ajp.2015.14050653,publisher,https://doi.org/10.1176/appi.ajp.2015.14050653,,,0,0,0,0,10.1377
